source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
m4_hourly,boom_hourly,PT-OOD,native,13,L12+RMS,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,0,Emb,2.111678,0.794543,15.866417,1.237806,1.907027,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,1,L1,1.651427,0.544,11.683186,0.750064,1.14058,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,2,L2,1.630381,0.509319,10.885287,0.727762,0.99439,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,3,L3,1.607369,0.50254,10.550767,0.703375,0.9331,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,4,L4,1.692106,0.510736,10.229526,0.793173,0.874242,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,5,L5,1.443403,0.437703,8.979082,0.529616,0.645137,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,6,L6,1.416299,0.445842,8.926684,0.500893,0.635537,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,7,L7,1.448131,0.441208,8.890456,0.534626,0.628899,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,8,L8,1.443963,0.438879,8.933283,0.530209,0.636746,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,9,L9,1.374361,0.41723,8.456276,0.45645,0.549349,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,10,L10,1.27096,0.403944,8.663131,0.346873,0.587249,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,11,L11,1.294604,0.401902,9.120119,0.371929,0.670978,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,12,L12,1.155325,0.342054,8.008045,0.224331,0.467225,0.943638,5.457953
m4_hourly,boom_hourly,PT-OOD,transfer,13,L12+RMS,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
