source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
monash_electricity_hourly,uber_tlc_hourly,PT-ID,native,13,L12+RMS,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,0,Emb,1.427897,10.199356,8.536635,0.771571,1.035403,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,1,L1,1.309551,8.994188,7.580902,0.624741,0.807526,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,2,L2,1.178576,7.987906,6.847927,0.462242,0.632762,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,3,L3,1.062762,6.227921,5.335365,0.318553,0.272119,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,4,L4,1.002382,6.080423,5.185556,0.243641,0.2364,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,5,L5,0.945313,5.48618,4.674567,0.172836,0.114564,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,6,L6,0.927583,5.349561,4.583157,0.150838,0.092769,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,7,L7,0.887914,4.900893,4.230065,0.101622,0.008581,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,8,L8,0.881548,5.004414,4.253396,0.093723,0.014144,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,9,L9,0.873912,4.862485,4.263914,0.08425,0.016652,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,10,L10,0.874353,4.747322,4.153101,0.084797,-0.00977,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,11,L11,0.867293,4.69871,4.033177,0.076038,-0.038363,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,12,L12,0.830341,4.602818,4.07957,0.030192,-0.027302,0.806006,4.194076
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,13,L12+RMS,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
