source_dataset,target_dataset,kind,condition,layer,layer_label,mase,mase_ci_lo,mase_ci_hi,relative_regret_mase,wql,relative_regret_wql
monash_electricity_hourly,uber_tlc_hourly,PT-ID,native,13,L12+RMS,0.805776,0.770208,0.84448,0.0,4.193908,0.0
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,0,Emb,1.427651,1.349949,1.509341,0.771771,8.535562,1.035229
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,1,L1,1.309289,1.23875,1.38455,0.62488,7.581127,0.807652
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,2,L2,1.178239,1.120199,1.238521,0.462241,6.845537,0.632257
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,3,L3,1.062327,0.993501,1.142253,0.318389,5.334558,0.271978
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,4,L4,1.001976,0.961356,1.047354,0.243492,5.185374,0.236406
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,5,L5,0.944952,0.90788,0.988246,0.172723,4.675602,0.114856
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,6,L6,0.927183,0.891186,0.968492,0.150671,4.583953,0.093003
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,7,L7,0.887554,0.85394,0.926168,0.101489,4.232094,0.009105
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,8,L8,0.881215,0.849009,0.9193,0.093622,4.255462,0.014677
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,9,L9,0.873592,0.840859,0.912998,0.084162,4.265517,0.017074
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,10,L10,0.87407,0.838815,0.914419,0.084756,4.15494,-0.009292
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,11,L11,0.867056,0.834233,0.904647,0.076051,4.035717,-0.037719
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,12,L12,0.830082,0.799163,0.865466,0.030165,4.080369,-0.027072
monash_electricity_hourly,uber_tlc_hourly,PT-ID,transfer,13,L12+RMS,0.805776,0.770208,0.84448,0.0,4.193908,0.0
monash_electricity_hourly,m4_hourly,PT-ID,native,13,L12+RMS,0.928172,0.84658,1.016871,0.0,0.772207,0.0
monash_electricity_hourly,m4_hourly,PT-ID,transfer,0,Emb,10.102133,8.431882,11.958328,9.883904,2.552204,2.305079
monash_electricity_hourly,m4_hourly,PT-ID,transfer,1,L1,7.353986,6.234071,8.586848,6.923087,1.999043,1.588741
monash_electricity_hourly,m4_hourly,PT-ID,transfer,2,L2,2.34056,2.087417,2.623465,1.521689,1.205003,0.560467
monash_electricity_hourly,m4_hourly,PT-ID,transfer,3,L3,2.283321,2.051744,2.532128,1.46002,1.331633,0.724452
monash_electricity_hourly,m4_hourly,PT-ID,transfer,4,L4,1.770008,1.589577,1.971371,0.906983,1.274307,0.650215
monash_electricity_hourly,m4_hourly,PT-ID,transfer,5,L5,1.736283,1.572512,1.917099,0.870648,1.299557,0.682913
monash_electricity_hourly,m4_hourly,PT-ID,transfer,6,L6,1.585216,1.435732,1.754306,0.707891,1.261329,0.633409
monash_electricity_hourly,m4_hourly,PT-ID,transfer,7,L7,1.550002,1.397285,1.717515,0.669952,1.240895,0.606946
monash_electricity_hourly,m4_hourly,PT-ID,transfer,8,L8,1.734386,1.55894,1.931042,0.868605,1.154176,0.494646
monash_electricity_hourly,m4_hourly,PT-ID,transfer,9,L9,1.501683,1.328341,1.696205,0.617894,1.054513,0.365584
monash_electricity_hourly,m4_hourly,PT-ID,transfer,10,L10,1.471388,1.309093,1.649469,0.585254,1.074237,0.391126
monash_electricity_hourly,m4_hourly,PT-ID,transfer,11,L11,1.734026,1.521115,1.97367,0.868216,0.91764,0.188335
monash_electricity_hourly,m4_hourly,PT-ID,transfer,12,L12,1.165022,1.066171,1.270894,0.255179,0.89381,0.157475
monash_electricity_hourly,m4_hourly,PT-ID,transfer,13,L12+RMS,0.928172,0.84658,1.016871,0.0,0.772207,0.0
monash_electricity_hourly,wind_farms_hourly,PT-ID,native,13,L12+RMS,4.372748,0.811479,11.313615,0.0,3.003954,0.0
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,0,Emb,5.862012,2.250431,12.836981,0.340578,5.046335,0.679898
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,1,L1,5.189486,1.614961,12.139622,0.186779,4.080182,0.35827
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,2,L2,4.897965,1.332385,11.841873,0.120111,3.51859,0.171319
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,3,L3,5.045669,1.472411,11.988148,0.15389,3.524282,0.173214
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,4,L4,4.717732,1.158971,11.65791,0.078894,3.24645,0.080726
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,5,L5,4.662959,1.107767,11.605863,0.066368,3.297756,0.097805
