source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
monash_electricity_hourly,wind_farms_hourly,PT-ID,native,13,L12+RMS,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,0,Emb,5.8424,27.09005,4.999099,0.34176,0.679751,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,1,L1,5.171152,20.184782,4.046584,0.187602,0.359696,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,2,L2,4.878598,16.611409,3.489735,0.120414,0.172589,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,3,L3,5.026111,16.500387,3.492815,0.154292,0.173623,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,4,L4,4.698429,15.401857,3.218538,0.079037,0.081463,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,5,L5,4.643828,15.610283,3.271031,0.066497,0.099102,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,6,L6,4.628237,15.679479,3.283935,0.062917,0.103438,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,7,L7,4.622746,15.416702,3.282646,0.061656,0.103005,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,8,L8,4.550905,15.177049,3.185376,0.045157,0.070321,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,9,L9,4.597739,15.695977,3.351491,0.055912,0.126137,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,10,L10,4.599677,15.841465,3.339592,0.056358,0.122139,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,11,L11,4.639853,16.487262,3.535207,0.065584,0.187868,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,12,L12,4.51767,15.65225,3.27782,0.037524,0.101383,4.35428,2.976095
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,13,L12+RMS,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
