source_dataset,target_dataset,kind,condition,layer,layer_label,mase,mase_ci_lo,mase_ci_hi,relative_regret_mase,wql,relative_regret_wql
m4_hourly,monash_electricity_hourly,PT-ID,native,13,L12+RMS,0.836712,0.781273,0.895409,0.0,1.161397,0.0
m4_hourly,monash_electricity_hourly,PT-ID,transfer,0,Emb,2.472229,2.352663,2.591137,1.954694,3.838081,2.304712
m4_hourly,monash_electricity_hourly,PT-ID,transfer,1,L1,2.146033,2.049792,2.242469,1.56484,3.151501,1.713544
m4_hourly,monash_electricity_hourly,PT-ID,transfer,2,L2,1.361509,1.303016,1.424966,0.627213,2.01525,0.735195
m4_hourly,monash_electricity_hourly,PT-ID,transfer,3,L3,1.162024,1.107334,1.219698,0.388797,1.660525,0.429766
m4_hourly,monash_electricity_hourly,PT-ID,transfer,4,L4,1.117794,1.063652,1.174185,0.335936,1.579518,0.360016
m4_hourly,monash_electricity_hourly,PT-ID,transfer,5,L5,1.042379,0.989126,1.09854,0.245803,1.508106,0.298528
m4_hourly,monash_electricity_hourly,PT-ID,transfer,6,L6,1.095512,1.040017,1.154256,0.309305,1.621385,0.396065
m4_hourly,monash_electricity_hourly,PT-ID,transfer,7,L7,1.091309,1.031685,1.154571,0.304282,1.568378,0.350424
m4_hourly,monash_electricity_hourly,PT-ID,transfer,8,L8,1.064414,1.006667,1.125783,0.272138,1.524521,0.312661
m4_hourly,monash_electricity_hourly,PT-ID,transfer,9,L9,1.056051,1.000377,1.115201,0.262144,1.496916,0.288893
m4_hourly,monash_electricity_hourly,PT-ID,transfer,10,L10,1.131459,1.071683,1.193902,0.352268,1.565695,0.348114
m4_hourly,monash_electricity_hourly,PT-ID,transfer,11,L11,1.048825,0.993522,1.108017,0.253508,1.382206,0.190124
m4_hourly,monash_electricity_hourly,PT-ID,transfer,12,L12,0.879313,0.828116,0.933916,0.050914,1.223853,0.053777
m4_hourly,monash_electricity_hourly,PT-ID,transfer,13,L12+RMS,0.836712,0.781273,0.895409,0.0,1.161397,0.0
m4_hourly,uber_tlc_hourly,PT-ID,native,13,L12+RMS,0.805776,0.770208,0.84448,0.0,4.193908,0.0
m4_hourly,uber_tlc_hourly,PT-ID,transfer,0,Emb,1.413794,1.334701,1.497961,0.754574,8.383957,0.99908
m4_hourly,uber_tlc_hourly,PT-ID,transfer,1,L1,1.339321,1.266798,1.417331,0.66215,8.294312,0.977705
m4_hourly,uber_tlc_hourly,PT-ID,transfer,2,L2,1.229957,1.145644,1.327464,0.526426,6.72666,0.603912
m4_hourly,uber_tlc_hourly,PT-ID,transfer,3,L3,1.10719,1.035315,1.189668,0.374067,5.633234,0.343194
m4_hourly,uber_tlc_hourly,PT-ID,transfer,4,L4,1.174962,1.081967,1.286732,0.458174,5.503517,0.312265
m4_hourly,uber_tlc_hourly,PT-ID,transfer,5,L5,1.03515,0.971475,1.109025,0.284662,5.174871,0.233902
m4_hourly,uber_tlc_hourly,PT-ID,transfer,6,L6,0.991432,0.940885,1.049607,0.230407,4.724182,0.126439
m4_hourly,uber_tlc_hourly,PT-ID,transfer,7,L7,0.964252,0.902233,1.036081,0.196675,4.47535,0.067107
m4_hourly,uber_tlc_hourly,PT-ID,transfer,8,L8,0.961021,0.891174,1.042122,0.192665,4.29509,0.024126
m4_hourly,uber_tlc_hourly,PT-ID,transfer,9,L9,0.952624,0.896388,1.018412,0.182245,4.410777,0.05171
m4_hourly,uber_tlc_hourly,PT-ID,transfer,10,L10,0.909315,0.86953,0.954026,0.128495,4.287876,0.022406
m4_hourly,uber_tlc_hourly,PT-ID,transfer,11,L11,0.902549,0.859459,0.952477,0.120099,4.324392,0.031113
m4_hourly,uber_tlc_hourly,PT-ID,transfer,12,L12,0.859062,0.824939,0.898114,0.06613,4.174018,-0.004743
m4_hourly,uber_tlc_hourly,PT-ID,transfer,13,L12+RMS,0.805776,0.770208,0.84448,0.0,4.193908,0.0
m4_hourly,wind_farms_hourly,PT-ID,native,13,L12+RMS,4.372748,0.811479,11.313615,0.0,3.003954,0.0
m4_hourly,wind_farms_hourly,PT-ID,transfer,0,Emb,5.893511,2.280508,12.8667,0.347782,5.267482,0.753516
m4_hourly,wind_farms_hourly,PT-ID,transfer,1,L1,5.413876,1.82513,12.391854,0.238095,4.982009,0.658484
m4_hourly,wind_farms_hourly,PT-ID,transfer,2,L2,5.190295,1.602564,12.157367,0.186964,4.30582,0.433384
m4_hourly,wind_farms_hourly,PT-ID,transfer,3,L3,5.137608,1.552309,12.106462,0.174915,3.924427,0.30642
m4_hourly,wind_farms_hourly,PT-ID,transfer,4,L4,5.308455,1.709891,12.286577,0.213986,3.80287,0.265955
m4_hourly,wind_farms_hourly,PT-ID,transfer,5,L5,5.002191,1.430787,11.945162,0.143947,3.571446,0.188915
m4_hourly,wind_farms_hourly,PT-ID,transfer,6,L6,4.951107,1.388775,11.897652,0.132264,3.643383,0.212862
m4_hourly,wind_farms_hourly,PT-ID,transfer,7,L7,5.018934,1.449209,11.973923,0.147776,3.829558,0.274839
m4_hourly,wind_farms_hourly,PT-ID,transfer,8,L8,5.06996,1.494773,12.023063,0.159445,3.874145,0.289682
m4_hourly,wind_farms_hourly,PT-ID,transfer,9,L9,5.010012,1.445651,11.956859,0.145735,3.902387,0.299084
m4_hourly,wind_farms_hourly,PT-ID,transfer,10,L10,4.81625,1.262913,11.764629,0.101424,3.806173,0.267054
m4_hourly,wind_farms_hourly,PT-ID,transfer,11,L11,4.850053,1.296033,11.798519,0.109154,3.771704,0.25558
m4_hourly,wind_farms_hourly,PT-ID,transfer,12,L12,4.659078,1.109487,11.601087,0.065481,3.633847,0.209688
m4_hourly,wind_farms_hourly,PT-ID,transfer,13,L12+RMS,4.372748,0.811479,11.313615,0.0,3.003954,0.0
m4_hourly,sg_carpark,PT-OOD,native,13,L12+RMS,0.59786,0.520924,0.689827,0.0,0.539682,0.0
m4_hourly,sg_carpark,PT-OOD,transfer,0,Emb,2.460147,2.352463,2.569596,3.114924,2.020152,2.743226
m4_hourly,sg_carpark,PT-OOD,transfer,1,L1,1.896597,1.801153,1.995612,2.172312,1.520378,1.817172
m4_hourly,sg_carpark,PT-OOD,transfer,2,L2,1.232295,1.151141,1.326226,1.061179,1.111503,1.05955
m4_hourly,sg_carpark,PT-OOD,transfer,3,L3,1.007798,0.928019,1.103454,0.685677,0.91024,0.686623
m4_hourly,sg_carpark,PT-OOD,transfer,4,L4,0.957022,0.874397,1.053526,0.600748,0.86554,0.603796
m4_hourly,sg_carpark,PT-OOD,transfer,5,L5,0.794581,0.717543,0.884265,0.329043,0.733978,0.360018
m4_hourly,sg_carpark,PT-OOD,transfer,6,L6,0.801518,0.722727,0.894508,0.340646,0.746027,0.382345
m4_hourly,sg_carpark,PT-OOD,transfer,7,L7,0.789109,0.711446,0.880995,0.319891,0.739329,0.369934
m4_hourly,sg_carpark,PT-OOD,transfer,8,L8,0.741859,0.666067,0.830837,0.240859,0.705925,0.308038
m4_hourly,sg_carpark,PT-OOD,transfer,9,L9,0.720026,0.646026,0.804956,0.20434,0.667037,0.235981
m4_hourly,sg_carpark,PT-OOD,transfer,10,L10,0.767376,0.692083,0.855598,0.283538,0.68391,0.267245
m4_hourly,sg_carpark,PT-OOD,transfer,11,L11,0.720852,0.645615,0.809594,0.205722,0.641387,0.188453
m4_hourly,sg_carpark,PT-OOD,transfer,12,L12,0.632145,0.557625,0.718285,0.057347,0.592175,0.097267
m4_hourly,sg_carpark,PT-OOD,transfer,13,L12+RMS,0.59786,0.520924,0.689827,0.0,0.539682,0.0
m4_hourly,coastal_ts,PT-OOD,native,13,L12+RMS,1.130997,0.942115,1.355057,0.0,0.154884,0.0
m4_hourly,coastal_ts,PT-OOD,transfer,0,Emb,2.457217,1.7448,3.253462,1.172612,0.270971,0.749512
m4_hourly,coastal_ts,PT-OOD,transfer,1,L1,1.752181,1.302462,2.286009,0.549236,0.217175,0.402181
m4_hourly,coastal_ts,PT-OOD,transfer,2,L2,1.509376,1.188389,1.884188,0.334554,0.207842,0.341925
m4_hourly,coastal_ts,PT-OOD,transfer,3,L3,1.500851,1.197916,1.840648,0.327016,0.189465,0.223273
m4_hourly,coastal_ts,PT-OOD,transfer,4,L4,1.491372,1.212673,1.805306,0.318635,0.193373,0.248504
m4_hourly,coastal_ts,PT-OOD,transfer,5,L5,1.458998,1.159694,1.803467,0.290011,0.181485,0.171753
m4_hourly,coastal_ts,PT-OOD,transfer,6,L6,1.408331,1.14108,1.71701,0.245212,0.181094,0.169226
m4_hourly,coastal_ts,PT-OOD,transfer,7,L7,1.421092,1.117269,1.77166,0.256495,0.17984,0.161132
m4_hourly,coastal_ts,PT-OOD,transfer,8,L8,1.458094,1.126571,1.843048,0.289211,0.182048,0.175384
m4_hourly,coastal_ts,PT-OOD,transfer,9,L9,1.375022,1.101247,1.684539,0.215761,0.170381,0.100061
m4_hourly,coastal_ts,PT-OOD,transfer,10,L10,1.402585,1.104614,1.748306,0.240132,0.176953,0.142489
m4_hourly,coastal_ts,PT-OOD,transfer,11,L11,1.415719,1.098665,1.77797,0.251744,0.174207,0.124762
m4_hourly,coastal_ts,PT-OOD,transfer,12,L12,1.37679,1.100777,1.680319,0.217325,0.185778,0.199471
m4_hourly,coastal_ts,PT-OOD,transfer,13,L12+RMS,1.130997,0.942115,1.355057,0.0,0.154884,0.0
m4_hourly,boom_hourly,PT-OOD,native,13,L12+RMS,0.947018,0.557852,1.564358,0.0,5.524913,0.0
m4_hourly,boom_hourly,PT-OOD,transfer,0,Emb,2.114544,1.660891,2.752688,1.232844,15.85757,1.870194
m4_hourly,boom_hourly,PT-OOD,transfer,1,L1,1.6544,1.218975,2.301919,0.746957,11.589406,1.097663
m4_hourly,boom_hourly,PT-OOD,transfer,2,L2,1.633919,1.20429,2.265486,0.725331,10.821028,0.958588
m4_hourly,boom_hourly,PT-OOD,transfer,3,L3,1.611054,1.185154,2.245956,0.701186,10.474093,0.895793
m4_hourly,boom_hourly,PT-OOD,transfer,4,L4,1.695878,1.260607,2.332039,0.790755,10.186962,0.843823
m4_hourly,boom_hourly,PT-OOD,transfer,5,L5,1.446768,1.03191,2.069841,0.527709,8.967103,0.623031
m4_hourly,boom_hourly,PT-OOD,transfer,6,L6,1.419747,1.011002,2.040378,0.499176,8.916201,0.613817
m4_hourly,boom_hourly,PT-OOD,transfer,7,L7,1.451696,1.040443,2.069444,0.532912,8.861498,0.603916
m4_hourly,boom_hourly,PT-OOD,transfer,8,L8,1.447523,1.032054,2.069568,0.528506,8.902406,0.61132
m4_hourly,boom_hourly,PT-OOD,transfer,9,L9,1.377743,0.970769,1.992462,0.454822,8.451832,0.529767
m4_hourly,boom_hourly,PT-OOD,transfer,10,L10,1.274365,0.866244,1.884441,0.34566,8.610382,0.558465
m4_hourly,boom_hourly,PT-OOD,transfer,11,L11,1.298053,0.894082,1.927615,0.370673,9.086184,0.644584
m4_hourly,boom_hourly,PT-OOD,transfer,12,L12,1.158768,0.762447,1.778127,0.223597,8.035448,0.454403
m4_hourly,boom_hourly,PT-OOD,transfer,13,L12+RMS,0.947018,0.557852,1.564358,0.0,5.524913,0.0
