source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
monash_electricity_hourly,boom_hourly,PT-OOD,native,13,L12+RMS,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,0,Emb,2.088546,0.778776,15.366471,1.213292,1.815428,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,1,L1,1.487475,0.479006,10.250936,0.57632,0.878165,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,2,L2,1.364177,0.420503,9.345368,0.445657,0.712248,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,3,L3,1.488816,0.458278,8.948099,0.577741,0.639461,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,4,L4,1.236214,0.37778,7.746828,0.310051,0.419365,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,5,L5,1.220463,0.381842,8.124912,0.29336,0.488637,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,6,L6,1.247959,0.404974,8.552952,0.322498,0.567062,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,7,L7,1.25709,0.400643,8.190343,0.332174,0.500625,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,8,L8,1.208063,0.418569,8.651015,0.280219,0.585029,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,9,L9,1.187501,0.355241,7.339848,0.258429,0.344799,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,10,L10,1.173206,0.34111,7.170078,0.243281,0.313694,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,11,L11,1.212484,0.386888,8.037499,0.284905,0.472622,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,12,L12,1.105944,0.338439,7.196866,0.172,0.318602,0.943638,5.457953
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,13,L12+RMS,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
