source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
monash_electricity_hourly,sg_carpark,PT-OOD,native,13,L12+RMS,0.59779,8.80025,0.538593,0.0,0.0,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,0,Emb,2.54182,38.729944,1.95481,3.25203,2.629478,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,1,L1,1.738107,26.359668,1.403727,1.907555,1.606288,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,2,L2,1.084422,16.676901,0.990663,0.814053,0.839356,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,3,L3,0.876236,13.980853,0.843225,0.465792,0.565608,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,4,L4,0.781842,12.25809,0.73991,0.307887,0.373785,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,5,L5,0.699512,10.853988,0.659362,0.170163,0.224232,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,6,L6,0.710662,11.073581,0.67008,0.188816,0.244131,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,7,L7,0.690529,10.752692,0.6586,0.155137,0.222816,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,8,L8,0.690722,10.636637,0.645473,0.155459,0.198444,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,9,L9,0.665042,10.046152,0.625721,0.112501,0.161771,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,10,L10,0.661299,9.884253,0.61241,0.10624,0.137056,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,11,L11,0.651049,9.681207,0.596114,0.089094,0.106799,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,12,L12,0.628614,9.374523,0.572126,0.051564,0.062262,0.59779,0.538593
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,13,L12+RMS,0.59779,8.80025,0.538593,0.0,0.0,0.59779,0.538593
