source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
m4_hourly,coastal_ts,PT-OOD,native,13,L12+RMS,1.127465,0.302806,0.154742,0.0,0.0,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,0,Emb,2.453434,0.526612,0.270377,1.176063,0.747275,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,1,L1,1.749743,0.400254,0.217023,0.551927,0.402481,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,2,L2,1.507098,0.367775,0.207481,0.336714,0.34082,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,3,L3,1.498341,0.365264,0.189388,0.328947,0.223894,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,4,L4,1.489051,0.381202,0.193252,0.320708,0.248863,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,5,L5,1.456764,0.356214,0.181358,0.292071,0.172002,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,6,L6,1.4065,0.355239,0.18097,0.247489,0.169495,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,7,L7,1.419477,0.345162,0.179698,0.258999,0.161276,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,8,L8,1.455964,0.349264,0.181845,0.291361,0.175149,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,9,L9,1.373181,0.333485,0.170257,0.217937,0.100265,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,10,L10,1.399257,0.34272,0.176753,0.241065,0.142243,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,11,L11,1.412904,0.332201,0.173954,0.253169,0.124155,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,12,L12,1.373668,0.333493,0.185425,0.218369,0.198283,1.127465,0.154742
m4_hourly,coastal_ts,PT-OOD,transfer,13,L12+RMS,1.127465,0.302806,0.154742,0.0,0.0,1.127465,0.154742
