source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
m4_hourly,uber_tlc_hourly,PT-ID,native,13,L12+RMS,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,0,Emb,1.414081,10.02712,8.383902,0.754429,0.998987,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,1,L1,1.339599,9.423557,8.298537,0.662021,0.978633,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,2,L2,1.230394,7.702224,6.728755,0.526532,0.604347,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,3,L3,1.107689,6.423429,5.634887,0.374293,0.343535,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,4,L4,1.175477,6.373606,5.504489,0.458397,0.312444,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,5,L5,1.03555,5.906832,5.176494,0.284792,0.23424,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,6,L6,0.991878,5.614794,4.724273,0.230608,0.126416,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,7,L7,0.964614,5.286828,4.474407,0.196782,0.06684,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,8,L8,0.961406,5.063652,4.293553,0.192802,0.023718,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,9,L9,0.953054,5.056217,4.410212,0.18244,0.051534,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,10,L10,0.909673,5.111445,4.287222,0.128618,0.022209,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,11,L11,0.902886,5.025101,4.323969,0.120197,0.030971,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,12,L12,0.859346,4.746947,4.173578,0.066177,-0.004887,0.806006,4.194076
m4_hourly,uber_tlc_hourly,PT-ID,transfer,13,L12+RMS,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
