pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,probe_protocol_version,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,5,L5,3.583845,1.004349,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,6,L6,3.516357,0.976146,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,7,L7,3.396266,0.9544,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,8,L8,3.38149,0.920369,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,9,L9,3.372992,0.930233,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,10,L10,3.58432,1.292512,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,11,L11,3.422283,1.080248,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,12,L12,3.380975,0.991982,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,13,L12+LN,3.240204,0.895545,True,True,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,0,Emb,5.030738,10.159501,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,1,L1,3.846627,7.985113,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,2,L2,2.405486,3.079352,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,3,L3,2.167707,2.713239,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,4,L4,2.139211,3.114232,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,5,L5,2.069471,3.395038,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,6,L6,2.059671,3.580894,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,7,L7,2.082124,3.587614,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,8,L8,2.108778,4.004087,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,9,L9,2.037705,4.606469,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,10,L10,2.050978,4.382343,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,11,L11,1.908047,3.601438,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,12,L12,1.752979,2.716859,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,13,L12+LN,1.630059,2.18655,True,True,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,0,Emb,4.325525,5.825598,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,1,L1,4.651289,6.719126,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,2,L2,3.935603,5.972705,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,3,L3,3.173537,5.063291,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,4,L4,3.00193,4.951932,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,5,L5,2.94174,4.910708,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,6,L6,2.917998,4.832938,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,7,L7,2.889346,4.855446,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,8,L8,2.847814,4.797656,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,9,L9,2.820811,4.769671,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,10,L10,3.819519,5.810713,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,11,L11,3.375713,5.283995,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,12,L12,3.355857,5.013675,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,13,L12+LN,2.960234,4.700036,True,True,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,0,Emb,5.079458,2.680109,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,1,L1,4.467735,2.267437,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,2,L2,3.811117,1.85759,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,3,L3,2.823801,1.383482,False,False,False
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,4,L4,2.774753,1.327349,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,5,L5,2.680617,1.29742,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,6,L6,2.695858,1.321107,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,7,L7,2.530431,1.227437,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,8,L8,2.555509,1.240097,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,9,L9,2.515656,1.217126,True,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,10,L10,2.436592,1.193339,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,11,L11,2.328467,1.258351,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,12,L12,2.241072,1.149097,False,False,True
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,13,L12+LN,2.221479,1.106792,False,True,True
PT-ID,Probe-ID,PT-ID / Probe-ID,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,0,Emb,4.829782,1.352434,False,False,False
