pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,probe_protocol_version,val_selected_layer_label,quantile_loss_at_selected,quantile_loss_at_reference,mase_at_selected,mase_at_reference,transfer_gap,relative_regret_at_selected_supp,n_test_windows,n_test_clusters
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,L12+LN,2.048629,2.048629,1.001643,1.001643,0.0,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,L12+LN,3.240204,3.240204,0.895545,0.895545,-0.000876,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,L12+LN,1.630059,1.630059,2.18655,2.18655,-0.181756,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,L12+LN,2.960234,2.960234,4.700036,4.700036,0.096207,0.049427,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,L9,2.515656,2.221479,1.217126,1.106792,0.227971,0.132424,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,L9,3.243046,3.261968,0.898869,0.954231,0.0,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,m4_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,L9,2.362221,1.846845,6.16529,3.328489,0.185769,0.279057,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,wind_farms_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,L9,3.213431,3.112034,4.914725,5.00783,0.189969,0.032582,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,monash_electricity_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,v2,L3,2.725788,2.307422,1.305823,1.125404,0.330542,0.181313,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,uber_tlc_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,v2,L3,4.237521,3.66897,1.309918,0.99267,0.306649,0.184403,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,m4_hourly,m4_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,v2,L3,1.992143,2.023229,2.896855,3.711017,0.0,0.005377,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,wind_farms_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,v2,L3,3.945611,3.754075,5.993592,5.063748,0.461103,0.180919,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,monash_electricity_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,v2,L5,2.587119,2.190788,1.219593,1.056632,0.262854,0.180908,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,uber_tlc_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,v2,L5,3.994216,3.288672,1.102043,0.919779,0.231625,0.214538,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,m4_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,v2,L5,2.520085,1.788002,5.675355,2.684851,0.265012,0.409442,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,v2,L5,2.700433,2.956924,4.669592,4.739728,0.0,0.0,262,262
