,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.550099,0.553000,0.536794,0.445012,0.285826,0.264834,0.191602,0.208876,0.126156,0.112869,0.071715,0.038304,0.035497
L1,0.550099,1.000000,0.990848,0.941073,0.793733,0.571817,0.512867,0.429126,0.439612,0.350339,0.329899,0.278194,0.224159,0.214574
L2,0.553000,0.990848,1.000000,0.960197,0.820645,0.600442,0.541247,0.455495,0.466342,0.374164,0.353572,0.301263,0.250982,0.227180
L3,0.536794,0.941073,0.960197,1.000000,0.940265,0.783235,0.733983,0.661131,0.669625,0.587194,0.566749,0.515983,0.459270,0.432308
L4,0.445012,0.793733,0.820645,0.940265,1.000000,0.940821,0.909908,0.862790,0.867935,0.807581,0.792015,0.750004,0.694259,0.670433
L5,0.285826,0.571817,0.600442,0.783235,0.940821,1.000000,0.992727,0.979049,0.979195,0.950112,0.940002,0.911376,0.858611,0.841940
L6,0.264834,0.512867,0.541247,0.733983,0.909908,0.992727,1.000000,0.989761,0.988727,0.962745,0.952422,0.925354,0.872998,0.859131
L7,0.191602,0.429126,0.455495,0.661131,0.862790,0.979049,0.989761,1.000000,0.997948,0.988132,0.980579,0.959475,0.909793,0.900622
L8,0.208876,0.439612,0.466342,0.669625,0.867935,0.979195,0.988727,0.997948,1.000000,0.987959,0.980930,0.959058,0.910002,0.898593
L9,0.126156,0.350339,0.374164,0.587194,0.807581,0.950112,0.962745,0.988132,0.987959,1.000000,0.995926,0.981591,0.935309,0.931339
L10,0.112869,0.329899,0.353572,0.566749,0.792015,0.940002,0.952422,0.980579,0.980930,0.995926,1.000000,0.992035,0.954353,0.946980
L11,0.071715,0.278194,0.301263,0.515983,0.750004,0.911376,0.925354,0.959475,0.959058,0.981591,0.992035,1.000000,0.975191,0.961401
L12,0.038304,0.224159,0.250982,0.459270,0.694259,0.858611,0.872998,0.909793,0.910002,0.935309,0.954353,0.975191,1.000000,0.947548
L12+LN,0.035497,0.214574,0.227180,0.432308,0.670433,0.841940,0.859131,0.900622,0.898593,0.931339,0.946980,0.961401,0.947548,1.000000
