,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.547714,0.550553,0.533162,0.437624,0.276470,0.257660,0.186980,0.203855,0.122724,0.110106,0.070089,0.038365,0.035390
L1,0.547714,1.000000,0.990314,0.939289,0.786562,0.560431,0.502190,0.422009,0.432013,0.344686,0.324976,0.275333,0.222953,0.213516
L2,0.550553,0.990314,1.000000,0.958932,0.813886,0.588781,0.530063,0.447704,0.458078,0.367707,0.347944,0.297764,0.249249,0.225468
L3,0.533162,0.939289,0.958932,1.000000,0.937423,0.776278,0.727208,0.657206,0.665180,0.584184,0.564454,0.515645,0.460452,0.433013
L4,0.437624,0.786562,0.813886,0.937423,1.000000,0.939579,0.908548,0.863622,0.868340,0.809526,0.794470,0.754271,0.700107,0.675220
L5,0.276470,0.560431,0.588781,0.776278,0.939579,1.000000,0.992397,0.979968,0.979892,0.952055,0.942198,0.915107,0.864228,0.846640
L6,0.257660,0.502190,0.530063,0.727208,0.908548,0.992397,1.000000,0.990135,0.988860,0.963438,0.953151,0.927275,0.876703,0.861884
L7,0.186980,0.422009,0.447704,0.657206,0.863622,0.979968,0.990135,1.000000,0.997918,0.988089,0.980461,0.960157,0.911966,0.901580
L8,0.203855,0.432013,0.458078,0.665180,0.868340,0.979892,0.988860,0.997918,1.000000,0.988078,0.981049,0.960063,0.912629,0.900305
L9,0.122724,0.344686,0.367707,0.584184,0.809526,0.952055,0.963438,0.988089,0.988078,1.000000,0.996022,0.982289,0.937736,0.932688
L10,0.110106,0.324976,0.347944,0.564454,0.794470,0.942198,0.953151,0.980461,0.981049,0.996022,1.000000,0.992314,0.956246,0.948111
L11,0.070089,0.275333,0.297764,0.515645,0.754271,0.915107,0.927275,0.960157,0.960063,0.982289,0.992314,1.000000,0.976286,0.962222
L12,0.038365,0.222953,0.249249,0.460452,0.700107,0.864228,0.876703,0.911966,0.912629,0.937736,0.956246,0.976286,1.000000,0.949541
L12+LN,0.035390,0.213516,0.225468,0.433013,0.675220,0.846640,0.861884,0.901580,0.900305,0.932688,0.948111,0.962222,0.949541,1.000000
