,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.549946,0.552846,0.536660,0.444916,0.285777,0.264798,0.191580,0.208852,0.126144,0.112858,0.071711,0.038306,0.035497
L1,0.542627,0.999690,0.991253,0.942656,0.796276,0.575418,0.516458,0.432887,0.443125,0.354104,0.333291,0.281183,0.226238,0.216443
L2,0.547410,0.988567,0.999592,0.961267,0.822805,0.603055,0.543750,0.457922,0.468732,0.376185,0.355427,0.302873,0.252807,0.227488
L3,0.530596,0.937284,0.957684,0.999587,0.940955,0.784779,0.735587,0.662658,0.671016,0.588270,0.567529,0.516501,0.459584,0.431378
L4,0.436857,0.787006,0.815244,0.937105,0.999524,0.942290,0.911669,0.864772,0.869770,0.809368,0.793718,0.751765,0.696402,0.671308
L5,0.270905,0.554218,0.583105,0.769480,0.933355,0.999392,0.993369,0.982129,0.981973,0.954993,0.945442,0.918043,0.866450,0.851080
L6,0.254884,0.494903,0.523143,0.718797,0.900053,0.989421,0.999103,0.990386,0.988890,0.964265,0.954360,0.928266,0.877173,0.865232
L7,0.188526,0.422037,0.448290,0.655271,0.858666,0.977065,0.988954,0.999345,0.997057,0.987168,0.979781,0.958930,0.909887,0.901925
L8,0.204419,0.432936,0.459277,0.663671,0.863826,0.977362,0.987911,0.997422,0.999002,0.987161,0.980636,0.959384,0.911081,0.902044
L9,0.121578,0.345866,0.369353,0.583108,0.804562,0.948490,0.961381,0.987306,0.986851,0.998567,0.995404,0.981958,0.936517,0.934737
L10,0.106541,0.323036,0.346187,0.560184,0.786734,0.936454,0.949075,0.978296,0.978458,0.993769,0.998599,0.991542,0.954741,0.950557
L11,0.067559,0.273658,0.295990,0.511225,0.746202,0.908615,0.922799,0.957757,0.957250,0.979794,0.990662,0.998487,0.973817,0.964726
L12,0.038467,0.220695,0.246007,0.455282,0.691673,0.858164,0.873177,0.910839,0.911020,0.936861,0.956247,0.976657,0.997199,0.952507
L12+LN,0.034840,0.213385,0.225814,0.430359,0.667719,0.838553,0.855646,0.897145,0.895279,0.927795,0.943823,0.958489,0.945411,0.999304
