dataset,stage,layer,cka_to_pretrained_same_layer
SG-Carpark,stage1_ft_early,Emb,0.9999999622082595
SG-Carpark,stage1_ft_early,L1,0.9998580164662031
SG-Carpark,stage1_ft_early,L2,0.9998223571015452
SG-Carpark,stage1_ft_early,L3,0.9997964570819176
SG-Carpark,stage1_ft_early,L4,0.9997334520574901
SG-Carpark,stage1_ft_early,L5,0.999769473874355
SG-Carpark,stage1_ft_early,L6,0.9996171135483196
SG-Carpark,stage1_ft_early,L7,0.9996233508653576
SG-Carpark,stage1_ft_early,L8,0.9993784021342057
SG-Carpark,stage1_ft_early,L9,0.998874974236474
SG-Carpark,stage1_ft_early,L10,0.9989459993187632
SG-Carpark,stage1_ft_early,L11,0.9989156316042884
SG-Carpark,stage1_ft_early,L12,0.998183383380915
SG-Carpark,stage1_ft_early,L12+LN,0.9995102092975073
SG-Carpark,stage2_ft_late,Emb,0.9999999409071243
SG-Carpark,stage2_ft_late,L1,0.9996904078901523
SG-Carpark,stage2_ft_late,L2,0.9995916732708812
SG-Carpark,stage2_ft_late,L3,0.9995870843522382
SG-Carpark,stage2_ft_late,L4,0.9995236299439225
SG-Carpark,stage2_ft_late,L5,0.999392244983263
SG-Carpark,stage2_ft_late,L6,0.9991031202234971
SG-Carpark,stage2_ft_late,L7,0.9993453044145006
SG-Carpark,stage2_ft_late,L8,0.9990021560962291
SG-Carpark,stage2_ft_late,L9,0.9985674539991726
SG-Carpark,stage2_ft_late,L10,0.9985987549000012
SG-Carpark,stage2_ft_late,L11,0.9984865340821023
SG-Carpark,stage2_ft_late,L12,0.9971990124048028
SG-Carpark,stage2_ft_late,L12+LN,0.9993037038965734
