model,dataset,display_name,n_points,n_depth_points,wd_grid,wd_grid_min,wd_grid_max,lr,n_at_grid_max,n_at_grid_min,fraction_at_grid_max,fraction_at_grid_min,median_selected_wd,min_selected_wd,max_selected_wd,median_selected_wd_depth_axis,layers_at_grid_max,selected_wd_by_layer,constant_forecast_floor_val_loss,at_grid_max_val_over_floor,still_clipped_reading
chronos2,m4_hourly,M4,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,1,1,0.07142857142857142,0.07142857142857142,30.0,1e-05,90.0,30.0,Emb,Emb=90|L1=0.001|L2=1e-05|L3=0.1|L4=10|L5=45|L6=30|L7=30|L8=30|L9=30|L10=30|L11=30|L12=45|L12+LN=30,0.4292622189257891,"{""Emb"": 0.9116524804471589}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
chronos2,monash_electricity_hourly,Electricity,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,1.0,1e-05,30.0,1.0,,Emb=1e-05|L1=0.3|L2=0.01|L3=1|L4=1|L5=0.3|L6=3|L7=1|L8=30|L9=1|L10=10|L11=10|L12=10|L12+LN=10,0.36157585617922644,{},no depth at the grid maximum
chronos2,uber_tlc_hourly,Uber TLC,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,0.01,65.0,10.0,,Emb=0.3|L1=0.01|L2=1|L3=3|L4=10|L5=10|L6=10|L7=3|L8=10|L9=10|L10=30|L11=45|L12=65|L12+LN=45,0.2855820835617776,{},no depth at the grid maximum
chronos2,wind_farms_hourly,Wind Farms,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,0.1,45.0,30.0,,Emb=0.1|L1=45|L2=30|L3=30|L4=30|L5=1|L6=10|L7=30|L8=3|L9=30|L10=30|L11=45|L12=45|L12+LN=45,0.27805306173448685,{},no depth at the grid maximum
chronos2,sg_carpark,SG Carpark,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,1.0,1e-05,10.0,1.0,,Emb=10|L1=0.01|L2=3|L3=0.3|L4=1e-05|L5=0.001|L6=0.01|L7=1|L8=3|L9=1|L10=10|L11=0.0001|L12=3|L12+LN=1,0.3732831445496298,{},no depth at the grid maximum
chronos2,coastal_ts,Coastal T-S,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,1,0,0.07142857142857142,0.0,30.0,1.0,90.0,30.0,Emb,Emb=90|L1=45|L2=45|L3=1|L4=45|L5=30|L6=45|L7=65|L8=30|L9=30|L10=10|L11=10|L12=3|L12+LN=10,0.4472404293095072,"{""Emb"": 0.9993666274022478}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
chronos2,boom_hourly,BOOM,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,3.0,45.0,10.0,,Emb=30|L1=10|L2=10|L3=3|L4=3|L5=10|L6=10|L7=10|L8=10|L9=30|L10=30|L11=30|L12=45|L12+LN=30,0.22962636834978636,{},no depth at the grid maximum
chronos2,LOOP_SEATTLE_5T,Loop Seattle,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,3,0,0.21428571428571427,0.0,55.0,0.0001,90.0,45.0,L6|L7|L8,Emb=0.0001|L1=0.001|L2=1|L3=45|L4=0.001|L5=0.0001|L6=90|L7=90|L8=90|L9=65|L10=45|L11=65|L12=65|L12+LN=65,0.29474481672958563,"{""L6"": 0.8661786678460213, ""L7"": 0.8475970016635671, ""L8"": 0.7996883573832866}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
chronos2,electricity_15min,Electricity 15min,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,2.0,1e-05,30.0,1.0,,Emb=0.3|L1=1e-05|L2=3|L3=1|L4=0.3|L5=0.3|L6=3|L7=1|L8=1|L9=3|L10=3|L11=10|L12=30|L12+LN=10,0.3870271949936415,{},no depth at the grid maximum
chronos2,SZ_TAXI_15T,SZ Taxi,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,55.0,1e-05,65.0,65.0,,Emb=1e-05|L1=3|L2=10|L3=45|L4=30|L5=45|L6=65|L7=65|L8=65|L9=65|L10=65|L11=65|L12=65|L12+LN=30,0.3160539919940325,{},no depth at the grid maximum
