model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,n_probe_params,test_loss,test_loss_ci_hi,test_loss_ci_lo,test_loss_delta_ci_hi,test_loss_delta_ci_lo,test_loss_delta_vs_last,test_loss_point,test_mae,test_mae_ci_hi,test_mae_ci_lo,test_mae_delta_ci_hi,test_mae_delta_ci_lo,test_mae_delta_vs_last,test_mae_point,test_mase,test_mase_ci_hi,test_mase_ci_lo,test_mase_delta_ci_hi,test_mase_delta_ci_lo,test_mase_delta_vs_last,test_mase_point,test_ratio_to_final,test_suffix_excursion,test_wql,test_wql_ci_hi,test_wql_ci_lo,test_wql_delta_ci_hi,test_wql_delta_ci_lo,test_wql_delta_vs_last,test_wql_point,train_loss,val_loss,val_ratio_to_final,val_suffix_excursion,wd_at_grid_max,wd_at_grid_min,weight_decay
chronos2,m4_hourly,M4,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,12304,0.3723665869986738,0.37815267466833347,0.3668160102408351,-0.24332590277541344,-0.2589880198041219,-0.2512477416516715,0.3723665869986738,859.1607786121143,1212.6130520777351,550.4054253591681,-325.32757341967084,-715.79157799808,-510.3038195237024,859.1607786121143,10.061761838525772,11.895062758402767,8.393972960897297,-6.068590859429242,-8.840976423278274,-7.384833022753401,10.061761838525772,3.074390165558906,2.074390165558906,0.1757727621537036,0.18815751524851143,0.16808200071533413,-0.09706243507465429,-0.11474949956294117,-0.10440131128909691,0.1757727621537036,0.3653222372811528,0.39133796664594694,3.524413867116713,2.524413867116713,True,False,90.0
chronos2,m4_hourly,M4,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,False,False,False,False,False,False,False,False,12304,0.252090695136376,0.263339923937869,0.2413975083532224,-0.12314411482830598,-0.1391702353079867,-0.13097184978937373,0.252090695136376,635.7529698262282,897.5027383648536,411.37730632663437,-188.67655863826545,-395.9168417495072,-286.89601073781625,635.7529698262282,5.5995549054292155,6.616813911129831,4.726638385934045,-2.3681474427810096,-3.583689816452045,-2.9226260896568452,5.5995549054292155,2.0813498874939147,1.0813498874939147,0.1300665234443008,0.142849196281976,0.12141947426131569,-0.053936507271563294,-0.06653102311110855,-0.05869507257969411,0.1300665234443008,0.20515860222718296,0.2932124781983954,2.640689665332232,1.640689665332232,False,False,0.001
chronos2,m4_hourly,M4,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,12304,0.152335062281776,0.16129355767016648,0.14349734253136315,-0.025710041622297102,-0.03704771118039507,-0.03121621693477375,0.152335062281776,398.3444406726477,571.3646057048898,250.96697930166343,-29.094175878020653,-73.42035303303335,-49.48748158423575,398.3444406726477,2.877079883509871,3.251990079693941,2.5436060944310026,-0.12711530043100777,-0.27974254101175267,-0.2001510677375009,2.877079883509871,1.2577321212511572,0.2577321212511572,0.08149592528968842,0.09134100243626998,0.07335217137539961,-0.007218250087754143,-0.013187511316133452,-0.010124474425081728,0.08149592528968842,0.12272767984766615,0.14830291373584106,1.3356251891023243,0.3356251891023243,False,True,1e-05
chronos2,m4_hourly,M4,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,False,False,False,False,False,False,False,False,12304,0.1383161811968525,0.14684347299261744,0.1300411782042614,-0.01367245682173957,-0.02079523583156063,-0.017197335849850226,0.1383161811968525,429.6135571802989,627.5193623444012,260.45152214489707,-36.098017593261254,-134.23395499855144,-80.75659809188699,429.6135571802989,3.025203030720065,3.464667480301741,2.624511075531299,-0.2796300133003962,-0.42431438924965476,-0.3482742149476947,3.025203030720065,1.141987283651692,0.141987283651692,0.08789316677868478,0.09629821100158843,0.07923323181051975,-0.010512551020725954,-0.021382522284363794,-0.016521715914078083,0.08789316677868478,0.10275622907560987,0.12731498531030336,1.1466066110711752,0.16262278972676225,False,False,0.1
chronos2,m4_hourly,M4,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,False,False,False,False,False,False,False,False,12304,0.13771652946433494,0.14646580465073974,0.12918813913093724,-0.012532829860481251,-0.02070226668102938,-0.016597684117332673,0.13771652946433494,452.8515744490627,668.1605932498925,268.71052921948245,-44.86572365943528,-176.34650230471624,-103.99461536065076,452.8515744490627,2.5519325426748187,2.8853770631401496,2.2495926253553353,0.21310356979802675,0.03968234451162626,0.12499627309755157,2.5519325426748187,1.1370363469844906,0.13703634698449063,0.09264735317078747,0.10153350572136842,0.08265744430808122,-0.01346278765848331,-0.027170263287306144,-0.021275902306180774,0.09264735317078747,0.10378769009909893,0.12909336294267923,1.1626227897267623,0.16262278972676225,False,False,10.0
chronos2,m4_hourly,M4,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,True,False,False,False,False,True,True,False,False,True,True,12304,0.1268573260318687,0.13526563070721584,0.1186446180688004,-0.002798515955299018,-0.008746429776971923,-0.005738480684866432,0.1268573260318687,402.597434177248,592.9177830059743,241.3997308693227,-16.868721508897142,-97.83260554792228,-53.740475088836035,402.597434177248,2.5538009032652025,2.925435674792035,2.21681442176637,0.19652658043624927,0.049486613848597476,0.12312791250716781,2.5538009032652025,1.0473789249594134,0.047378924959413427,0.08236603066965345,0.09118398347119824,0.07320018522246827,-0.004957589751670825,-0.015682939302429363,-0.010994579805046756,0.08236603066965345,0.0961733673868896,0.11573886822994428,1.0423513865779788,0.04235138657797877,False,False,45.0
chronos2,m4_hourly,M4,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,False,False,False,False,False,False,False,False,12304,0.12365539243999328,0.13202954985357765,0.11549929967150092,0.00021759489593843755,-0.005260902291647235,-0.0025365470929910178,0.12365539243999328,385.41050311656494,559.958068999903,234.4152012497811,-10.276417809947992,-66.60218104300296,-36.553544028153,385.41050311656494,2.4201911065922177,2.745672739323277,2.1221510118584583,0.34140443191875114,0.1771944052111488,0.2567377091801526,2.4201911065922177,1.0209426294126556,0.0391802935056087,0.07884981528752015,0.08694690490900388,0.0709195670811337,-0.0028844384339724244,-0.011136082215151383,-0.0074783644229134555,0.07884981528752015,0.09198236152251789,0.11357966039813201,1.022905427654931,0.022905427654930977,False,False,30.0
chronos2,m4_hourly,M4,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,False,True,False,False,False,True,False,False,12304,0.12298058175289904,0.13170734915512664,0.11454465883385873,0.00089793019032261,-0.004724274132087949,-0.0018617364058967772,0.12298058175289904,395.3658635181924,579.1037586504534,237.00421450729007,-13.823557454114496,-84.77258766676589,-46.50890442978044,395.3658635181924,2.477829613653569,2.8204210175546387,2.166243041655805,0.27408755455018485,0.1301524457356706,0.19909920211880117,2.477829613653569,1.015371153849452,0.0391802935056087,0.08088654838753016,0.08977902840157684,0.07156933539710758,-0.003998848865604479,-0.013642489277827265,-0.009515097522923469,0.08088654838753016,0.08967238314011518,0.11220433824617444,1.0105191915182838,0.010519191518283844,False,False,30.0
chronos2,m4_hourly,M4,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,True,False,False,False,True,False,False,False,12304,0.12160791529214564,0.1306270769448908,0.11284798246467102,0.002320717720542359,-0.003372111698641001,-0.000489069945143375,0.12160791529214564,380.42304227205483,553.3381872159074,231.45779313775836,-8.123040296478491,-59.041880554016835,-31.56608318364289,380.42304227205483,2.278209589946831,2.5943993527050146,1.9938111267810876,0.5010397284887685,0.29943485974601824,0.3987192258255394,2.278209589946831,1.0040379343424404,0.0391802935056087,0.07782944774910769,0.08719710758024803,0.06877582462142756,-0.0022177304257359133,-0.00972858456443823,-0.006457996884500994,0.07782944774910769,0.08666074927762643,0.10978994252629408,0.9887749947341465,0.0017680221165001786,False,False,30.0
chronos2,m4_hourly,M4,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,False,False,False,False,False,False,False,False,12304,0.12586431725675823,0.13427411184027677,0.11775158568079235,-0.0025051937996630243,-0.007226321921250166,-0.004745471909755966,0.12586431725675823,373.0140643444323,539.6354504945555,229.16100330071274,-8.47639397564478,-43.15518499170676,-24.157105256020373,373.0140643444323,2.840748100508722,3.258591844080868,2.4572683047963495,-0.11479593374374017,-0.21973868369019944,-0.16381928473635154,2.840748100508722,1.0391802935056087,0.0391802935056087,0.07631367032130452,0.0857427503632035,0.06775047617834738,-0.0022797354392893668,-0.007207944515672906,-0.00494221945669783,0.07631367032130452,0.09460503865605277,0.11123264054874428,1.0017680221165002,0.0017680221165001786,False,False,30.0
