model,dataset,display_name,definition,tolerance,is_headline_tolerance,tunnel_layer,tunnel_index,tunnel_depth_axis_index,normalized_tunnel,n_depth_points,reference_layer,val_ratio_at_tunnel,test_ratio_at_tunnel,suffix_excursion_at_tunnel,first_crossing_layer,first_crossing_depth_axis_index,sustained_minus_first_crossing,headline_val_ratio_at_tunnel,headline_test_ratio_at_tunnel
chronos2,boom_hourly,BOOM,sustained_suffix_v1,0.02,False,L4,4,4,0.3333333333333333,13,L12,1.0155216947530228,1.0077485011518612,0.017431526147486887,L4,4,0,1.0429840272998463,1.040112650931404
chronos2,boom_hourly,BOOM,sustained_suffix_v1,0.05,True,L2,2,2,0.16666666666666666,13,L12,1.0429840272998463,1.040112650931404,0.042984027299846295,L2,2,0,1.0429840272998463,1.040112650931404
chronos2,boom_hourly,BOOM,sustained_suffix_v1,0.1,False,L1,1,1,0.08333333333333333,13,L12,1.0578251126955698,1.045657972484647,0.05782511269556978,L1,1,0,1.0429840272998463,1.040112650931404
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L9,9,3,1.0220832626961145,0.9140228796620581
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L9,9,9,0.75,13,L12,1.003381583556705,0.9464642345920014,0.012778074880714474,L9,9,0,1.0220832626961145,0.9140228796620581
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L8,8,8,0.6666666666666666,13,L12,1.0220832626961145,0.9140228796620581,0.022083262696114492,L8,8,0,1.0220832626961145,0.9140228796620581
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L7,7,7,0.5833333333333334,13,L12,1.083315395195284,0.9239583538867369,0.08331539519528408,L7,7,0,1.0220832626961145,0.9140228796620581
chronos2,electricity_15min,Electricity 15min,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,0.9817562922245194,1.0443553750551708,0.0,L11,11,0,1.047201273485056,1.0336921631843028
chronos2,electricity_15min,Electricity 15min,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,0.9817562922245194,1.0443553750551708,0.0,L11,11,0,1.047201273485056,1.0336921631843028
chronos2,electricity_15min,Electricity 15min,sustained_suffix_v1,0.05,True,L10,10,10,0.8333333333333334,13,L12,1.047201273485056,1.0336921631843028,0.04720127348505598,L10,10,0,1.047201273485056,1.0336921631843028
chronos2,electricity_15min,Electricity 15min,sustained_suffix_v1,0.1,False,L9,9,9,0.75,13,L12,1.0791458193891208,1.0512972969268592,0.0791458193891208,L3,3,6,1.047201273485056,1.0336921631843028
chronos2,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.01,False,L10,10,10,0.8333333333333334,13,L12,1.0088671876924018,1.0014933702517548,0.008867187692401801,L10,10,0,1.0381438019210507,1.0383070415954665
chronos2,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.02,False,L4,4,4,0.3333333333333333,13,L12,1.0162154927198965,1.0179521824465787,0.01913041024374751,L4,4,0,1.0381438019210507,1.0383070415954665
chronos2,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.05,True,L2,2,2,0.16666666666666666,13,L12,1.0381438019210507,1.0383070415954665,0.03814380192105071,L2,2,0,1.0381438019210507,1.0383070415954665
chronos2,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,13,L12,1.0997225475128911,1.0946077829299306,0.09972254751289111,Emb,0,0,1.0381438019210507,1.0383070415954665
chronos2,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,1.0008177470932111,0.9997799781455633,0.0008177470932111408,L11,11,0,1.0402822667821534,1.0339164301113115
chronos2,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.02,False,L9,9,9,0.75,13,L12,1.0138473447896577,1.0103248277734773,0.013847344789657656,L9,9,0,1.0402822667821534,1.0339164301113115
chronos2,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.05,True,L4,4,4,0.3333333333333333,13,L12,1.0402822667821534,1.0339164301113115,0.04028226678215341,L4,4,0,1.0402822667821534,1.0339164301113115
chronos2,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.1,False,L3,3,3,0.25,13,L12,1.0585846486905452,1.0499552474574882,0.05858464869054525,L3,3,0,1.0402822667821534,1.0339164301113115
chronos2,m5,M5,sustained_suffix_v1,0.01,False,L1,1,1,0.08333333333333333,13,L12,0.9932516819392758,1.0095062218887951,0.0,L1,1,0,1.0408684780344546,1.07037834759462
chronos2,m5,M5,sustained_suffix_v1,0.02,False,L1,1,1,0.08333333333333333,13,L12,0.9932516819392758,1.0095062218887951,0.0,L1,1,0,1.0408684780344546,1.07037834759462
chronos2,m5,M5,sustained_suffix_v1,0.05,True,Emb,0,0,0.0,13,L12,1.0408684780344546,1.07037834759462,0.04086847803445459,Emb,0,0,1.0408684780344546,1.07037834759462
chronos2,m5,M5,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,13,L12,1.0408684780344546,1.07037834759462,0.04086847803445459,Emb,0,0,1.0408684780344546,1.07037834759462
chronos2,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.01,False,L8,8,8,0.6666666666666666,13,L12,1.0073212799111753,1.018299757287649,0.00732127991117526,L8,8,0,1.0392462808899432,1.0745027157806808
chronos2,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.02,False,L5,5,5,0.4166666666666667,13,L12,1.014882513899447,1.0188950501214853,0.014882513899447058,L5,5,0,1.0392462808899432,1.0745027157806808
chronos2,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.05,True,L2,2,2,0.16666666666666666,13,L12,1.0392462808899432,1.0745027157806808,0.0392462808899432,L2,2,0,1.0392462808899432,1.0745027157806808
chronos2,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.1,False,L1,1,1,0.08333333333333333,13,L12,1.0515584273313796,1.0812182398179353,0.05155842733137961,L1,1,0,1.0392462808899432,1.0745027157806808
chronos2,monash_traffic,Traffic,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0404081582851372,1.051217742920908
chronos2,monash_traffic,Traffic,sustained_suffix_v1,0.02,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0404081582851372,1.051217742920908
chronos2,monash_traffic,Traffic,sustained_suffix_v1,0.05,True,L11,11,11,0.9166666666666666,13,L12,1.0404081582851372,1.051217742920908,0.04040815828513722,L11,11,0,1.0404081582851372,1.051217742920908
chronos2,monash_traffic,Traffic,sustained_suffix_v1,0.1,False,L10,10,10,0.8333333333333334,13,L12,1.0881102415506005,1.0165777300772423,0.08811024155060054,L10,10,0,1.0404081582851372,1.051217742920908
timesfm3,m4_hourly,M4,sustained_suffix_v1,0.01,False,L18,18,18,0.9,21,L20,1.009249881579104,0.9834215846311484,0.009249881579104002,L18,18,0,1.0464567058992884,1.0144942229478917
timesfm3,m4_hourly,M4,sustained_suffix_v1,0.02,False,L16,16,16,0.8,21,L20,1.0128781427409492,0.9841328807340424,0.017119451160513943,L16,16,0,1.0464567058992884,1.0144942229478917
timesfm3,m4_hourly,M4,sustained_suffix_v1,0.05,True,L14,14,14,0.7,21,L20,1.0464567058992884,1.0144942229478917,0.04645670589928841,L14,14,0,1.0464567058992884,1.0144942229478917
timesfm3,m4_hourly,M4,sustained_suffix_v1,0.1,False,L12,12,12,0.6,21,L20,1.0824172301557213,1.0507726951824958,0.08241723015572133,L5,5,7,1.0464567058992884,1.0144942229478917
timesfm3,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.01,False,L16,16,16,0.8,21,L20,0.9960954447253437,0.9800451712798414,0.0,L16,16,0,1.0356290783709017,0.9851759846425144
timesfm3,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.02,False,L16,16,16,0.8,21,L20,0.9960954447253437,0.9800451712798414,0.0,L16,16,0,1.0356290783709017,0.9851759846425144
timesfm3,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.05,True,L15,15,15,0.75,21,L20,1.0356290783709017,0.9851759846425144,0.03562907837090168,L15,15,0,1.0356290783709017,0.9851759846425144
timesfm3,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.1,False,L14,14,14,0.7,21,L20,1.095728933656294,1.0154234306591017,0.09572893365629409,L1,1,13,1.0356290783709017,0.9851759846425144
timesfm3,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.01,False,L15,15,15,0.75,21,L20,1.0080268824968397,1.0192477947419587,0.009116120387612892,L15,15,0,1.030819423750533,1.1253214208008158
timesfm3,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.02,False,L13,13,13,0.65,21,L20,1.0147502639802093,1.0151928561434045,0.014750263980209288,L2,2,11,1.030819423750533,1.1253214208008158
timesfm3,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.05,True,L1,1,1,0.05,21,L20,1.030819423750533,1.1253214208008158,0.03219679671461684,L1,1,0,1.030819423750533,1.1253214208008158
timesfm3,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.1,False,L1,1,1,0.05,21,L20,1.030819423750533,1.1253214208008158,0.03219679671461684,L1,1,0,1.030819423750533,1.1253214208008158
timesfm3,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.01,False,L14,14,14,0.7,21,L20,1.0043041919035232,1.0054319615635237,0.004304191903523158,Emb,0,14,0.9655527638959223,1.0403180451274294
timesfm3,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.02,False,Emb,0,0,0.0,21,L20,0.9655527638959223,1.0403180451274294,0.011372079802368651,Emb,0,0,0.9655527638959223,1.0403180451274294
timesfm3,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.05,True,Emb,0,0,0.0,21,L20,0.9655527638959223,1.0403180451274294,0.011372079802368651,Emb,0,0,0.9655527638959223,1.0403180451274294
timesfm3,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,0.9655527638959223,1.0403180451274294,0.011372079802368651,Emb,0,0,0.9655527638959223,1.0403180451274294
timesfm3,sg_carpark,SG Carpark,sustained_suffix_v1,0.01,False,L13,13,13,0.65,21,L20,0.981003263455796,0.9754230117307762,0.0,L13,13,0,1.0242007133663003,0.9869937390255681
timesfm3,sg_carpark,SG Carpark,sustained_suffix_v1,0.02,False,L13,13,13,0.65,21,L20,0.981003263455796,0.9754230117307762,0.0,L5,5,8,1.0242007133663003,0.9869937390255681
timesfm3,sg_carpark,SG Carpark,sustained_suffix_v1,0.05,True,L11,11,11,0.55,21,L20,1.0242007133663003,0.9869937390255681,0.030542854707596323,L3,3,8,1.0242007133663003,0.9869937390255681
timesfm3,sg_carpark,SG Carpark,sustained_suffix_v1,0.1,False,L2,2,2,0.1,21,L20,1.0842507559111312,1.0987327444140031,0.08425075591113118,L2,2,0,1.0242007133663003,0.9869937390255681
timesfm3,coastal_ts,Coastal T-S,sustained_suffix_v1,0.01,False,L20,20,20,1.0,21,L20,1.0,1.0,0.0,L11,11,9,1.0347931166867643,0.9799224781331755
timesfm3,coastal_ts,Coastal T-S,sustained_suffix_v1,0.02,False,L20,20,20,1.0,21,L20,1.0,1.0,0.0,L8,8,12,1.0347931166867643,0.9799224781331755
timesfm3,coastal_ts,Coastal T-S,sustained_suffix_v1,0.05,True,L18,18,18,0.9,21,L20,1.0347931166867643,0.9799224781331755,0.034793116686764325,Emb,0,18,1.0347931166867643,0.9799224781331755
timesfm3,coastal_ts,Coastal T-S,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,1.04696464213271,0.9320063522432634,0.07925238264025491,Emb,0,0,1.0347931166867643,0.9799224781331755
timesfm3,boom_hourly,BOOM,sustained_suffix_v1,0.01,False,Emb,0,0,0.0,21,L20,0.9117484424746208,0.9415013688524169,0.0,Emb,0,0,0.9117484424746208,0.9415013688524169
timesfm3,boom_hourly,BOOM,sustained_suffix_v1,0.02,False,Emb,0,0,0.0,21,L20,0.9117484424746208,0.9415013688524169,0.0,Emb,0,0,0.9117484424746208,0.9415013688524169
timesfm3,boom_hourly,BOOM,sustained_suffix_v1,0.05,True,Emb,0,0,0.0,21,L20,0.9117484424746208,0.9415013688524169,0.0,Emb,0,0,0.9117484424746208,0.9415013688524169
timesfm3,boom_hourly,BOOM,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,0.9117484424746208,0.9415013688524169,0.0,Emb,0,0,0.9117484424746208,0.9415013688524169
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L17,17,17,0.85,21,L20,1.0075401481986408,0.9404436769311146,0.007540148198640795,L17,17,0,1.042877301087024,0.9060856715898058
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L17,17,17,0.85,21,L20,1.0075401481986408,0.9404436769311146,0.007540148198640795,L17,17,0,1.042877301087024,0.9060856715898058
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L14,14,14,0.7,21,L20,1.042877301087024,0.9060856715898058,0.04367784968831012,L1,1,13,1.042877301087024,0.9060856715898058
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L1,1,1,0.05,21,L20,1.0496888270617157,0.9855711665264077,0.05959327638998402,L1,1,0,1.042877301087024,0.9060856715898058
