model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,first_crossing_layer,median_selected_wd,n_depth_points,n_layers_at_wd_grid_max,n_layers_at_wd_grid_min,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,test_ratio_at_tunnel,tunnel_definition,tunnel_index,tunnel_relative_position,val_ratio_at_tunnel,wd_grid_max
chronos2,monash_traffic,Traffic,complete,L11,0.9166666666666666,L12,0.10504977825943751,0.10009908802693582,0.7007749812404075,0.4892326155438858,63.85262084007263,2026-09-22T13:07:20+00:00,L11,2.0,13,0,1,14,262,262,1394,262,0.07371770658349007,L12+LN,True,chronos2/monash_traffic,source_family,undocumented,24,1.051217742920908,sustained_suffix_v1,11,0.9166666666666666,1.0404081582851372,90.0
timesfm3,m4_hourly,M4,complete,L14,0.7,L20,0.13643355667591095,0.15711981058120728,1.9893889466439358,0.8294984882692394,109.2347617149353,2026-09-22T12:03:18+00:00,L14,30.0,21,0,0,21,262,262,1394,262,0.10901168826967478,L20,True,timesfm3/m4_hourly,source_family,undocumented,24,1.0144942229478917,sustained_suffix_v1,14,0.7,1.0464567058992884,90.0
timesfm3,monash_electricity_hourly,Electricity,complete,L15,0.75,L20,0.16211485862731934,0.20675641298294067,1.106024679717857,0.9474402281762001,135.05964040756226,2026-09-22T11:59:20+00:00,L15,30.0,21,0,0,21,262,262,1394,262,0.1786667092619748,L20,True,timesfm3/monash_electricity_hourly,source_family,undocumented,24,0.9851759846425144,sustained_suffix_v1,15,0.75,1.0356290783709017,90.0
timesfm3,uber_tlc_hourly,Uber TLC,complete,L1,0.05,L20,0.2594068944454193,0.32544922828674316,0.9410786152001108,0.8170108598282969,96.8168694972992,2026-09-22T12:06:49+00:00,L1,30.0,21,0,0,21,262,262,1394,262,0.29751935218719017,L20,True,timesfm3/uber_tlc_hourly,source_family,undocumented,24,1.1253214208008158,sustained_suffix_v1,1,0.05,1.030819423750533,90.0
timesfm3,wind_farms_hourly,Wind Farms,complete,Emb,0.0,L20,0.25341230630874634,0.6547559499740601,4.74280797228747,4.313073160635614,97.3855390548706,2026-09-22T12:10:21+00:00,Emb,30.0,21,0,0,21,262,262,1394,262,0.6102584484547602,L20,True,timesfm3/wind_farms_hourly,source_family,undocumented,24,1.0403180451274294,sustained_suffix_v1,0,0.0,0.9655527638959223,90.0
timesfm3,sg_carpark,SG Carpark,complete,L11,0.55,L20,0.2062949538230896,0.16097651422023773,0.8107820794395556,0.6031922346259811,98.04697346687317,2026-09-22T12:13:55+00:00,L3,10.0,21,0,0,21,354,354,1394,354,0.12254660213096488,L20,True,timesfm3/sg_carpark,source_family,undocumented,24,0.9869937390255681,sustained_suffix_v1,11,0.55,1.0242007133663003,90.0
timesfm3,coastal_ts,Coastal T-S,complete,L18,0.9,L20,0.3965195417404175,0.4087340831756592,1.3214395473872182,1.0858325172364742,93.60418581962585,2026-09-22T12:17:19+00:00,Emb,90.0,21,11,0,21,48,24,1394,48,0.3505494121151666,L20,True,timesfm3/coastal_ts,source_family,undocumented,24,0.9799224781331755,sustained_suffix_v1,18,0.9,1.0347931166867643,90.0
timesfm3,boom_hourly,BOOM,complete,Emb,0.0,L20,0.2255563735961914,0.2721143066883087,1.340686230908069,0.9327029110293222,104.14193320274353,2026-09-22T12:21:39+00:00,Emb,30.0,21,0,0,21,354,354,1394,354,0.2122537235431452,L20,True,timesfm3/boom_hourly,source_family,undocumented,24,0.9415013688524169,sustained_suffix_v1,0,0.0,0.9117484424746208,90.0
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,complete,L14,0.7,L20,0.3343762755393982,0.2857866883277893,1.182254438612058,1.2305916869620719,102.11939787864685,2026-09-22T12:26:49+00:00,L1,90.0,21,11,0,21,262,262,1394,262,0.28684746613370554,L20,True,timesfm3/LOOP_SEATTLE_5T,benchmark_exclusion,explicitly_held_out,288,0.9060856715898058,sustained_suffix_v1,14,0.7,1.042877301087024,90.0
timesfm3,electricity_15min,Electricity 15min,complete,L1,0.05,L20,0.20670409500598907,0.2476707100868225,1.341557003908189,1.2037670286285254,101.32648992538452,2026-09-22T12:32:23+00:00,L1,10.0,21,0,0,21,262,262,1394,262,0.21763597680824517,L20,True,timesfm3/electricity_15min,source_family,undocumented,96,1.0109950724689998,sustained_suffix_v1,1,0.05,0.9488034503686901,90.0
