model,quantity,m4_hourly,monash_electricity_hourly,uber_tlc_hourly,wind_farms_hourly,sg_carpark,coastal_ts,boom_hourly,LOOP_SEATTLE_5T,electricity_15min,SZ_TAXI_15T,monash_london_smart_meters,m5,wiki_daily_100k,monash_traffic
chronos2,normalized_tunnel_entrance_sustained_0.1 (block_index/num_blocks),0.4166666666666667,0.75,0.25,0.25,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.75,0.0,0.25,0.0,0.08333333333333333,0.8333333333333334
chronos2,tunnel_entrance_representation_label_sustained_0.1,L5,L9,L3,L3,L11,L1,L1,L7,L9,Emb,L3,Emb,L1,L10
chronos2,tunnel_entrance_relative_position_sustained_0.1,0.4166666666666667,0.75,0.25,0.25,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.75,0.0,0.25,0.0,0.08333333333333333,0.8333333333333334
timesfm3,normalized_tunnel_entrance_sustained_0.1 (block_index/num_blocks),0.6,0.7,0.05,0.0,0.1,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0
timesfm3,tunnel_entrance_representation_label_sustained_0.1,L12,L14,L1,Emb,L2,Emb,Emb,L1,L1,Emb,Emb,Emb,Emb,Emb
timesfm3,tunnel_entrance_relative_position_sustained_0.1,0.6,0.7,0.05,0.0,0.1,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0
tirex,normalized_tunnel_entrance_sustained_0.1 (block_index/num_blocks),0.9166666666666666,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.5,0.75,0.0,0.16666666666666666,0.0,0.0,0.9166666666666666
tirex,tunnel_entrance_representation_label_sustained_0.1,L11,L10,L7,L8,L10,L1,L1,L6,L9,Emb,L2,Emb,Emb,L11
tirex,tunnel_entrance_relative_position_sustained_0.1,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.5,0.75,0.0,0.16666666666666666,0.0,0.0,0.9166666666666666
