active_fraction,active_params,adapter_source,batch_size,block_flops_fraction,depth,depth_label,dtype,encode_iqr_ms,encode_median_ms,encode_min_ms,encode_p95_ms,end_to_end_flops_fraction,peak_mib,predict_iqr_ms,predict_median_ms,predict_min_ms,predict_p95_ms,predicted_weight_mib,reps,throughput_series_per_s,transfer_included_in_encode,transfer_included_in_predict,warmup,weights_mib
0.1358738316142505,16233888,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L01.pt,1,0.08333333333333333,1,L1,float32,0.011982243449892849,2.8031930123688653,2.7814969944301993,2.8388291801093146,0.10639575710537015,72.3232421875,0.009771014447323978,3.6876470112474635,3.6604350025299937,3.710523461631965,61.9273681640625,100,271.17562959523025,False,True,20,70.99365234375
0.29388642884748734,35112864,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L03.pt,1,0.25,3,L3,float32,0.022679749235976487,5.606115504633635,5.573364003794268,5.657154801883735,0.2689685023923853,144.451171875,0.025377761630807072,6.493735010735691,6.465907004894689,6.583367033454124,133.9449462890625,100,153.99458067610732,False,True,20,143.01318359375
0.5309053246973426,63431328,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L06.pt,1,0.5,6,L6,float32,0.028801739972550422,9.740234483615495,9.698656009277329,9.790648634952959,0.5128276203229081,252.48046875,0.029423987143673003,10.650521508068778,10.600145993521437,10.753095743712038,241.9713134765625,100,93.89211591586435,False,True,20,251.04248046875
0.6889179219305794,82310304,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L08.pt,1,0.6666666666666666,8,L8,float32,0.03614251909311861,12.522563498350792,12.47812999645248,12.609701808833051,0.6754003656099232,324.5,0.03976950392825529,13.429559490759857,13.377405004575849,13.582253408094402,313.9888916015625,100,74.4626062148982,False,True,20,323.06201171875
0.8469305191638162,101189280,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L10.pt,1,0.8333333333333334,10,L10,float32,0.033619995519984514,15.336366501287557,15.285184985259548,15.394376202311832,0.8379731108969384,396.51953125,0.05239799793343991,16.195521500776522,16.139236016897485,16.28041846997803,386.0064697265625,100,61.74546463058033,False,True,20,395.08154296875
0.9259368177804347,110628768,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L11.pt,1,0.9166666666666666,11,L11,float32,0.05277049058349803,16.718287995900027,16.65547999436967,16.79678652290022,0.919259483540446,432.529296875,0.05015199712943286,17.601218496565707,17.514670005766675,17.732024150609504,422.0152587890625,100,56.814248410990224,False,True,20,431.09130859375
1.004943116397053,120068256,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L12.pt,1,1.0,12,L12,float32,0.04424124927027151,18.08610350417439,18.013370980042964,18.235662196821067,1.0005458561839535,468.5390625,0.058142730267718434,18.96697550546378,18.86532799107954,19.11605209024856,458.0240478515625,100,52.72321882378832,False,True,20,467.10107421875
0.1358738316142505,16233888,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L01.pt,32,0.08333333333333333,1,L1,float32,0.011764488590415567,3.5247189953224733,3.5040299990214407,3.548610850702971,0.10639575710537015,113.71923828125,0.024396766093559563,5.420329500338994,5.386802018620074,5.975948099512607,61.9273681640625,100,5903.700134465752,False,True,20,71.05419921875
0.29388642884748734,35112864,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L03.pt,32,0.25,3,L3,float32,0.009840754501055926,7.329511514399201,7.307215011678636,7.375917845638469,0.2689685023923853,189.98876953125,0.020033498003613204,9.232080992660485,9.19638798222877,9.312470509030389,133.9449462890625,100,3466.1740971986746,False,True,20,143.07373046875
0.5309053246973426,63431328,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L06.pt,32,0.5,6,L6,float32,0.01237597462022677,13.016946002608165,12.992650008527562,13.044688805530313,0.5128276203229081,298.01806640625,0.02165124169550836,14.907462013070472,14.8619860119652,15.205168996180873,241.9713134765625,100,2146.5759880483506,False,True,20,251.10302734375
0.6889179219305794,82310304,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L08.pt,32,0.6666666666666666,8,L8,float32,0.012590739061124623,16.790644003776833,16.7618409905117,16.836636689549778,0.6754003656099232,370.03759765625,0.020298772142268717,18.665556504856795,18.62341200467199,18.88129715807736,313.9888916015625,100,1714.3876739851592,False,True,20,323.12255859375
0.8469305191638162,101189280,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L10.pt,32,0.8333333333333334,10,L10,float32,0.013396725989878178,20.572348483256064,20.554515009280294,20.610990007116925,0.8379731108969384,442.05712890625,0.01800924655981362,22.458907013060525,22.419291984988376,22.577003863989376,386.0064697265625,100,1424.8244574587286,False,True,20,395.14208984375
0.9259368177804347,110628768,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L11.pt,32,0.9166666666666666,11,L11,float32,0.010766023478936404,22.479566003312357,22.457754996139556,22.50281639280729,0.919259483540446,478.06689453125,0.018825252482201904,24.364537006476894,24.33514699805528,24.394238551030867,422.0152587890625,100,1313.3842843594093,False,True,20,431.15185546875
1.004943116397053,120068256,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L12.pt,32,1.0,12,L12,float32,0.01211548806168139,24.39340100681875,24.374190979870036,24.414261312631425,1.0005458561839535,513.29541015625,0.027181260520592332,26.289498506230302,26.256440993165597,26.33789334940957,458.0240478515625,100,1217.2160679450153,False,True,20,467.16162109375
0.1358738316142505,16233888,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L01.pt,256,0.08333333333333333,1,L1,float32,0.015116253052838147,18.297988004633226,18.270386004587635,18.352215104096103,0.10639575710537015,534.74560546875,0.0704377525835298,28.08658900903538,27.989219001028687,28.6604592052754,61.9273681640625,100,9114.670347390547,False,True,20,71.49169921875
0.29388642884748734,35112864,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L03.pt,256,0.25,3,L3,float32,0.021806772565469146,45.7033569982741,45.664122997550294,45.74251034791814,0.2689685023923853,634.51513671875,0.060633508837781847,55.454461500630714,55.39331599720754,56.0589765504119,133.9449462890625,100,4616.400431497985,False,True,20,143.51123046875
0.5309053246973426,63431328,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L06.pt,256,0.5,6,L6,float32,0.4662967548938468,86.85517199046444,86.7158540058881,87.52071476628771,0.5128276203229081,742.54443359375,0.06785524601582438,96.58247249899432,96.49321899632923,97.12563314969884,241.9713134765625,100,2650.5844526051624,False,True,20,251.54052734375
0.6889179219305794,82310304,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L08.pt,256,0.6666666666666666,8,L8,float32,0.5759884879807942,114.41601850674488,114.13376597920433,115.16038878762629,0.6754003656099232,814.56396484375,0.05716775922337547,123.97491099545732,123.88572300551459,124.49050824943697,313.9888916015625,100,2064.9339285218794,False,True,20,323.56005859375
0.8469305191638162,101189280,results/ext_v5_native_head_adapter/adapters/native_head_adapter__monash_electricity_hourly__L10.pt,256,0.8333333333333334,10,L10,float32,0.5536542521440424,142.6406500104349,141.56905398704112,142.88016764185159,0.8379731108969384,886.58349609375,0.5415195046225563,151.90578749752603,151.3012180221267,152.62812194996513,386.0064697265625,100,1685.2550795944444,False,True,20,395.57958984375
