,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.245324,0.197828,0.207224,0.212060,0.190975,0.165881,0.152725,0.155048,0.112662,0.012957,0.004352,0.000692,0.012578
L1,0.245324,1.000000,0.977949,0.964984,0.928547,0.847492,0.681912,0.666815,0.639708,0.578416,0.415654,0.484074,0.536716,0.343265
L2,0.197828,0.977949,1.000000,0.992700,0.961678,0.882485,0.711216,0.699811,0.670463,0.611772,0.448149,0.528554,0.589748,0.366528
L3,0.207224,0.964984,0.992700,1.000000,0.982264,0.919517,0.758779,0.749852,0.719069,0.662592,0.437912,0.513575,0.575058,0.406949
L4,0.212060,0.928547,0.961678,0.982264,1.000000,0.966913,0.830233,0.825396,0.795821,0.744494,0.446466,0.514550,0.570252,0.468623
L5,0.190975,0.847492,0.882485,0.919517,0.966913,1.000000,0.918426,0.917937,0.889142,0.840377,0.433034,0.485528,0.530618,0.534921
L6,0.165881,0.681912,0.711216,0.758779,0.830233,0.918426,1.000000,0.989109,0.965411,0.890217,0.363874,0.396364,0.436808,0.544783
L7,0.152725,0.666815,0.699811,0.749852,0.825396,0.917937,0.989109,1.000000,0.979016,0.926245,0.374129,0.406196,0.445159,0.587195
L8,0.155048,0.639708,0.670463,0.719069,0.795821,0.889142,0.965411,0.979016,1.000000,0.957944,0.379286,0.408014,0.441791,0.579377
L9,0.112662,0.578416,0.611772,0.662592,0.744494,0.840377,0.890217,0.926245,0.957944,1.000000,0.381650,0.403875,0.428578,0.660323
L10,0.012957,0.415654,0.448149,0.437912,0.446466,0.433034,0.363874,0.374129,0.379286,0.381650,1.000000,0.938536,0.779463,0.232993
L11,0.004352,0.484074,0.528554,0.513575,0.514550,0.485528,0.396364,0.406196,0.408014,0.403875,0.938536,1.000000,0.932295,0.262981
L12,0.000692,0.536716,0.589748,0.575058,0.570252,0.530618,0.436808,0.445159,0.441791,0.428578,0.779463,0.932295,1.000000,0.305707
L12+LN,0.012578,0.343265,0.366528,0.406949,0.468623,0.534921,0.544783,0.587195,0.579377,0.660323,0.232993,0.262981,0.305707,1.000000
