,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.252358,0.203795,0.213425,0.219460,0.199022,0.177504,0.162295,0.164406,0.119090,0.013048,0.004486,0.000680,0.012788
L1,0.233881,0.998844,0.981250,0.969022,0.935065,0.861485,0.710504,0.692824,0.664278,0.599044,0.417502,0.487789,0.538237,0.350534
L2,0.186842,0.971667,0.999103,0.992808,0.964489,0.893624,0.738391,0.724641,0.693707,0.631390,0.452247,0.535148,0.594445,0.374389
L3,0.198982,0.958275,0.990799,0.999144,0.984206,0.929829,0.787042,0.775655,0.743413,0.682477,0.442439,0.520735,0.579984,0.415591
L4,0.202449,0.919458,0.957358,0.978684,0.998317,0.973211,0.859285,0.851781,0.821539,0.764250,0.449089,0.519812,0.573909,0.477669
L5,0.181039,0.828768,0.867165,0.905375,0.954924,0.996161,0.943536,0.939825,0.910673,0.854549,0.426417,0.480156,0.523226,0.542977
L6,0.150420,0.641492,0.672185,0.719295,0.788915,0.880503,0.991403,0.977464,0.954384,0.872323,0.344770,0.378056,0.416397,0.537725
L7,0.140638,0.632906,0.667168,0.716687,0.790114,0.885577,0.985070,0.991996,0.971551,0.910439,0.357096,0.390140,0.426967,0.579767
L8,0.143130,0.610971,0.643025,0.690954,0.764648,0.859847,0.963002,0.972179,0.989555,0.937040,0.357197,0.386722,0.419806,0.573297
L9,0.103407,0.562383,0.597485,0.647352,0.725643,0.822282,0.899039,0.930436,0.958192,0.983562,0.366510,0.390693,0.416653,0.661473
L10,0.009212,0.403612,0.438836,0.427079,0.434626,0.424663,0.362773,0.371836,0.379955,0.380408,0.995265,0.930248,0.767352,0.222419
L11,0.003288,0.473049,0.519233,0.503669,0.504924,0.482422,0.402465,0.411760,0.417610,0.413757,0.946279,0.993548,0.911493,0.257803
L12,0.000630,0.529030,0.582949,0.567698,0.563065,0.530780,0.446497,0.454501,0.454883,0.442189,0.796750,0.940800,0.990040,0.303887
L12+LN,0.012234,0.332161,0.354346,0.392706,0.449550,0.513117,0.531609,0.572923,0.565192,0.640192,0.224838,0.255878,0.293135,0.953885
