,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.233827,0.186799,0.198940,0.202411,0.181008,0.150394,0.140614,0.143107,0.103391,0.009210,0.003288,0.000629,0.012232
L1,0.233827,1.000000,0.977388,0.964407,0.925776,0.835226,0.645905,0.638123,0.615442,0.567797,0.402724,0.472400,0.528555,0.336001
L2,0.186799,0.977388,1.000000,0.992305,0.959514,0.870077,0.674991,0.670662,0.646125,0.601654,0.437685,0.518359,0.582828,0.358111
L3,0.198940,0.964407,0.992305,1.000000,0.981222,0.910204,0.726420,0.724307,0.698368,0.654981,0.427332,0.503849,0.567945,0.398058
L4,0.202411,0.925776,0.959514,0.981222,1.000000,0.961874,0.805770,0.806778,0.782104,0.741928,0.433702,0.503232,0.561858,0.457892
L5,0.181008,0.835226,0.870077,0.910204,0.961874,1.000000,0.906897,0.910165,0.885046,0.842804,0.411283,0.465375,0.512649,0.521775
L6,0.150394,0.645905,0.674991,0.726420,0.805770,0.906897,1.000000,0.989131,0.968395,0.895927,0.333603,0.367307,0.409643,0.519605
L7,0.140614,0.638123,0.670662,0.724307,0.806778,0.910165,0.989131,1.000000,0.981420,0.930561,0.345401,0.379454,0.420208,0.561716
L8,0.143107,0.615442,0.646125,0.698368,0.782104,0.885046,0.968395,0.981420,1.000000,0.957724,0.345628,0.376589,0.413687,0.556365
L9,0.103391,0.567797,0.601654,0.654981,0.741928,0.842804,0.895927,0.930561,0.957724,1.000000,0.354635,0.382166,0.412663,0.650773
L10,0.009210,0.402724,0.437685,0.427332,0.433702,0.411283,0.333603,0.345401,0.345628,0.354635,1.000000,0.946615,0.791274,0.216105
L11,0.003288,0.472400,0.518359,0.503849,0.503232,0.465375,0.367307,0.379454,0.376589,0.382166,0.946615,1.000000,0.932213,0.250508
L12,0.000629,0.528555,0.582828,0.567945,0.561858,0.512649,0.409643,0.420208,0.413687,0.412663,0.791274,0.932213,1.000000,0.293337
L12+LN,0.012232,0.336001,0.358111,0.398058,0.457892,0.521775,0.519605,0.561716,0.556365,0.650773,0.216105,0.250508,0.293337,1.000000
