source_dataset,target_dataset,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_best_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
m4_hourly,wind_farms_hourly,0,True,q9,1,-0.6060703798440787,-0.9585947513695432,-0.2643515953122124,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,2,-1.6155585938233603,-2.0560893055812697,-1.195183730467861,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,3,-0.12469922615931672,-0.4718000236633265,0.20717053534232854,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,4,-1.8538051553872918,-2.3456674687476236,-1.3769559978487347,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,5,-0.4844407921571001,-0.7722361290541503,-0.19132814038080487,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,6,-0.3660548675977271,-0.6581541936424488,-0.06323740436086055,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,7,-0.4975148498094999,-0.8101456206691036,-0.18080717192705273,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,8,-0.7691792348714976,-1.1164256162070643,-0.4159181000945188,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,9,-0.11835208159226696,-0.4034520192675123,0.16410055967715068,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,10,0.11435796297513434,-0.09538356085663166,0.3326798676549769,False,True,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,11,-0.15913320321303104,-0.37735271147003246,0.06349704447937683,False,False,False,261,650,5000
m4_hourly,wind_farms_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,261,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,0,-0.5515530872344971,-0.6993770067907006,-0.4122486993155634,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,1,0.41579274929486765,0.29695414612765003,0.5442787821848402,True,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,2,0.4290027400163501,0.3294396359552964,0.5348895210783445,True,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,3,0.8037873669771045,0.6876776361177066,0.9164491308090137,True,True,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,4,-0.18467187331273038,-0.28055986442750724,-0.08345362811388367,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,5,-0.17274640431770916,-0.2654974715036874,-0.07607474648435465,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,6,-0.3993369621496936,-0.5224637845801678,-0.2792622180315965,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,7,-0.4676075988549453,-0.5866792035797375,-0.3549785864592253,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,8,-0.8657671088438765,-1.01512279682475,-0.721184743882603,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,9,-1.3365677842727073,-1.4982154543141055,-1.1701284258988485,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,10,-1.2236805869982796,-1.3829061520884582,-1.0528773595530614,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,11,-0.8718201365837683,-0.991518415550858,-0.7481592049416099,False,False,False,124,650,5000
monash_electricity_hourly,m4_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,124,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,0,-1.1895849156379699,-1.293506394455355,-1.0905721782261868,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,1,0.018269799947738807,-0.06290960214322965,0.09203589906233366,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,2,0.07174449682235728,-0.015769727863153716,0.15228543917160528,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,3,0.14039674502152666,0.025322318532107493,0.23089144813713355,True,True,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,4,0.04209512031995333,-0.026939092981363454,0.10539709093991959,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,5,0.041990899306077356,-0.013777197372722571,0.09696032856669469,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,6,-0.04497716133411078,-0.1094452129242857,0.0154286136469755,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,7,-0.16443365720602143,-0.22805614603311863,-0.10316342981876293,False,False,False,286,650,5000
