source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
monash_electricity_hourly,wind_farms_hourly,best_layer,0,seasonal_naive,mase,3.566641,1.321993,-2.244647,-2.577658,-1.942077,False,-1.697927,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,best_layer,0,last_value,mase,3.566641,2.042901,-1.52374,-1.920401,-1.15583,False,-0.745871,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,final_layer,12,native_chronos2,mase,4.894102,1.149311,-3.74479,-4.541339,-3.072722,False,-3.25829,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,final_layer,12,seasonal_naive,mase,4.894102,1.321993,-3.572109,-4.372881,-2.886043,False,-2.702063,261,650,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,final_layer,12,last_value,mase,4.894102,2.042901,-2.851201,-3.6962,-2.117111,False,-1.395663,261,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,source_val_selected,3,native_chronos2,mase,4.103186,0.823018,-3.280169,-3.680799,-2.92353,False,-3.985539,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,source_val_selected,3,seasonal_naive,mase,4.103186,1.194593,-2.908593,-3.315817,-2.540364,False,-2.434799,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,source_val_selected,3,last_value,mase,4.103186,4.378633,0.275447,-0.047454,0.53383,False,0.062907,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,best_layer,3,native_chronos2,mase,4.103186,0.823018,-3.280169,-3.680799,-2.92353,False,-3.985539,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,best_layer,3,seasonal_naive,mase,4.103186,1.194593,-2.908593,-3.315817,-2.540364,False,-2.434799,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,best_layer,3,last_value,mase,4.103186,4.378633,0.275447,-0.047454,0.53383,False,0.062907,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,4.180464,0.823018,-3.357447,-3.659829,-3.0832,False,-4.079435,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,4.180464,1.194593,-2.985872,-3.30174,-2.691195,False,-2.499489,286,650,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,4.180464,4.378633,0.198169,-0.059283,0.430363,False,0.045258,286,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,source_val_selected,3,native_chronos2,mase,1.123598,0.690195,-0.433402,-0.4888,-0.38052,False,-0.627942,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,source_val_selected,3,seasonal_naive,mase,1.123598,1.144082,0.020484,-0.037381,0.070556,False,0.017904,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,source_val_selected,3,last_value,mase,1.123598,1.448756,0.325158,0.225785,0.424238,True,0.22444,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,best_layer,3,native_chronos2,mase,1.123598,0.690195,-0.433402,-0.4888,-0.38052,False,-0.627942,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,best_layer,3,seasonal_naive,mase,1.123598,1.144082,0.020484,-0.037381,0.070556,False,0.017904,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,best_layer,3,last_value,mase,1.123598,1.448756,0.325158,0.225785,0.424238,True,0.22444,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,final_layer,12,native_chronos2,mase,1.26582,0.690195,-0.575625,-0.660771,-0.498934,False,-0.834003,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,final_layer,12,seasonal_naive,mase,1.26582,1.144082,-0.121739,-0.210782,-0.048078,False,-0.106407,245,650,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,final_layer,12,last_value,mase,1.26582,1.448756,0.182936,0.065058,0.295579,True,0.126271,245,650,0,9,512,64
uber_tlc_hourly,m4_hourly,source_val_selected,3,native_chronos2,mase,19.719112,0.96565,-18.753461,-23.119312,-14.72383,False,-19.420549,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,source_val_selected,3,seasonal_naive,mase,19.719112,1.598819,-18.120293,-22.586638,-14.055092,False,-11.333552,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,source_val_selected,3,last_value,mase,19.719112,21.042695,1.323583,0.552356,2.18507,True,0.0629,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,best_layer,0,native_chronos2,mase,19.583513,0.96565,-18.617863,-23.040225,-14.590092,False,-19.280127,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,best_layer,0,seasonal_naive,mase,19.583513,1.598819,-17.984695,-22.483421,-13.919957,False,-11.248741,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,best_layer,0,last_value,mase,19.583513,21.042695,1.459181,0.788735,2.210162,True,0.069344,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,final_layer,12,native_chronos2,mase,34.309182,0.96565,-33.343531,-40.07371,-26.641234,False,-34.529608,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,final_layer,12,seasonal_naive,mase,34.309182,1.598819,-32.710363,-39.499718,-25.965555,False,-20.459084,124,650,0,9,512,64
uber_tlc_hourly,m4_hourly,final_layer,12,last_value,mase,34.309182,21.042695,-13.266487,-16.01757,-10.405777,False,-0.630456,124,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,source_val_selected,3,native_chronos2,mase,4.507798,1.149311,-3.358487,-3.866967,-2.905082,False,-2.922173,261,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,source_val_selected,3,seasonal_naive,mase,4.507798,1.321993,-3.185805,-3.699466,-2.720543,False,-2.40985,261,650,0,9,512,64
