source_dataset,target_dataset,layer,seed,split,is_ood,pooling,quantile_config,quantile_set,context_length,prediction_length,probe_run_id,probe_checkpoint,selected_source_hyperparameters,quantile_loss,mean_pinball_loss,mase,mae_median_raw,n_test_windows,n_test_series
monash_electricity_hourly,uber_tlc_hourly,0,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L00.pt,"{""weight_decay"": 1e-05}",6.163277626037598,0.342404305934906,1.9545650873431004,9.405557360970745,650,245
monash_electricity_hourly,uber_tlc_hourly,1,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L01.pt,"{""weight_decay"": 0.01}",5.363816261291504,0.29798978567123413,1.5202750402134044,6.871767197439518,650,245
monash_electricity_hourly,uber_tlc_hourly,2,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L02.pt,"{""weight_decay"": 0.1}",5.769047260284424,0.3205026388168335,4.213061662121458,6.900312459941846,650,245
monash_electricity_hourly,uber_tlc_hourly,3,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L03.pt,"{""weight_decay"": 0.1}",6.1877970695495605,0.3437664806842804,2.2419398501165184,7.179369521206775,650,245
monash_electricity_hourly,uber_tlc_hourly,4,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L04.pt,"{""weight_decay"": 0.1}",6.166765213012695,0.3425980806350708,2.4100793073507827,7.261030873794831,650,245
monash_electricity_hourly,uber_tlc_hourly,5,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L05.pt,"{""weight_decay"": 0.1}",6.170627593994141,0.3428126275539398,1.8742297102971932,7.004737910292387,650,245
monash_electricity_hourly,uber_tlc_hourly,6,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L06.pt,"{""weight_decay"": 0.1}",6.186502933502197,0.34369462728500366,1.96113592018604,7.215756774838877,650,245
monash_electricity_hourly,uber_tlc_hourly,7,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L07.pt,"{""weight_decay"": 0.1}",6.204436779022217,0.3446909487247467,2.0027297287317016,8.179725790753011,650,245
monash_electricity_hourly,uber_tlc_hourly,8,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L08.pt,"{""weight_decay"": 0.1}",7.063443660736084,0.39241352677345276,2.6343148180044387,8.74919726346934,650,245
monash_electricity_hourly,uber_tlc_hourly,9,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L09.pt,"{""weight_decay"": 0.1}",7.20045804977417,0.40002545714378357,2.4088928548161204,8.834036151450347,650,245
