target_dataset,baseline,metric,loss,seed,quantile_config,context_length,prediction_length,number_of_windows,number_of_series
monash_electricity_hourly,last_value,mase,4.378633,0,9,512,64,650,286
monash_electricity_hourly,last_value,mae,1204.761802,0,9,512,64,650,286
monash_electricity_hourly,last_value,q9_quantile_loss_degenerate,7.964696,0,9,512,64,650,286
monash_electricity_hourly,seasonal_naive,mase,1.194593,0,9,512,64,650,286
monash_electricity_hourly,seasonal_naive,mae,272.740312,0,9,512,64,650,286
monash_electricity_hourly,seasonal_naive,q9_quantile_loss_degenerate,2.662616,0,9,512,64,650,286
monash_electricity_hourly,native_chronos2,mase,0.823018,0,9,512,64,650,286
monash_electricity_hourly,native_chronos2,mae,177.62769,0,9,512,64,650,286
uber_tlc_hourly,last_value,mase,1.448756,0,9,512,64,650,245
uber_tlc_hourly,last_value,mae,11.48851,0,9,512,64,650,245
uber_tlc_hourly,last_value,q9_quantile_loss_degenerate,6.891965,0,9,512,64,650,245
uber_tlc_hourly,seasonal_naive,mase,1.144082,0,9,512,64,650,245
uber_tlc_hourly,seasonal_naive,mae,6.623654,0,9,512,64,650,245
uber_tlc_hourly,seasonal_naive,q9_quantile_loss_degenerate,5.611895,0,9,512,64,650,245
uber_tlc_hourly,native_chronos2,mase,0.690195,0,9,512,64,650,245
uber_tlc_hourly,native_chronos2,mae,3.203355,0,9,512,64,650,245
m4_hourly,last_value,mase,21.042695,0,9,512,64,650,124
m4_hourly,last_value,mae,1506.881315,0,9,512,64,650,124
m4_hourly,last_value,q9_quantile_loss_degenerate,8.656103,0,9,512,64,650,124
m4_hourly,seasonal_naive,mase,1.598819,0,9,512,64,650,124
m4_hourly,seasonal_naive,mae,458.635815,0,9,512,64,650,124
m4_hourly,seasonal_naive,q9_quantile_loss_degenerate,1.843272,0,9,512,64,650,124
m4_hourly,native_chronos2,mase,0.96565,0,9,512,64,650,124
m4_hourly,native_chronos2,mae,205.336548,0,9,512,64,650,124
wind_farms_hourly,last_value,mase,2.042901,0,9,512,64,650,261
wind_farms_hourly,last_value,mae,29.048523,0,9,512,64,650,261
wind_farms_hourly,last_value,q9_quantile_loss_degenerate,5.200382,0,9,512,64,650,261
wind_farms_hourly,seasonal_naive,mase,1.321993,0,9,512,64,650,261
wind_farms_hourly,seasonal_naive,mae,23.529764,0,9,512,64,650,261
wind_farms_hourly,seasonal_naive,q9_quantile_loss_degenerate,3.889918,0,9,512,64,650,261
wind_farms_hourly,native_chronos2,mase,1.149311,0,9,512,64,650,261
wind_farms_hourly,native_chronos2,mae,18.608819,0,9,512,64,650,261
