dataset,kind,condition,layer,layer_label,mase,mase_ci_lo,mase_ci_hi,relative_regret_mase,wql,relative_regret_wql
sg_carpark,PT-OOD,zero_shot,7,L7,0.815039,0.738249,0.903624,0.363262,0.927464,0.718536
sg_carpark,PT-OOD,zero_shot,8,L8,0.82185,0.745954,0.910291,0.374653,0.941382,0.744327
sg_carpark,PT-OOD,zero_shot,9,L9,1.004921,0.92965,1.089944,0.680865,1.180861,1.188067
sg_carpark,PT-OOD,zero_shot,10,L10,1.220166,1.140884,1.307032,1.04089,1.437016,1.662708
sg_carpark,PT-OOD,zero_shot,11,L11,1.597763,1.513637,1.68755,1.672472,1.894572,2.510532
sg_carpark,PT-OOD,zero_shot,12,L12,0.59786,0.520924,0.689827,0.0,0.539682,0.0
sg_carpark,PT-OOD,zero_shot,13,L12+RMS,0.59786,0.520924,0.689827,0.0,0.539682,0.0
sg_carpark,PT-OOD,linear_adapter,0,Emb,2.347218,2.244376,2.451082,2.926035,1.868148,2.46157
sg_carpark,PT-OOD,linear_adapter,1,L1,1.673359,1.586591,1.766091,1.798916,1.330718,1.465743
sg_carpark,PT-OOD,linear_adapter,2,L2,0.871016,0.772008,0.991237,0.456891,0.794437,0.472045
sg_carpark,PT-OOD,linear_adapter,3,L3,0.755464,0.673013,0.851296,0.263615,0.692448,0.283066
sg_carpark,PT-OOD,linear_adapter,4,L4,0.714465,0.632013,0.811632,0.195039,0.658171,0.219552
sg_carpark,PT-OOD,linear_adapter,5,L5,0.673234,0.588997,0.77397,0.126073,0.621682,0.151941
sg_carpark,PT-OOD,linear_adapter,6,L6,0.673201,0.591296,0.77085,0.126019,0.623709,0.155696
sg_carpark,PT-OOD,linear_adapter,7,L7,0.666191,0.582963,0.765792,0.114293,0.615625,0.140718
sg_carpark,PT-OOD,linear_adapter,8,L8,0.665976,0.58729,0.758978,0.113933,0.614343,0.138342
sg_carpark,PT-OOD,linear_adapter,9,L9,0.643215,0.565834,0.733047,0.075863,0.589627,0.092544
sg_carpark,PT-OOD,linear_adapter,10,L10,0.636248,0.555642,0.730965,0.06421,0.585609,0.0851
sg_carpark,PT-OOD,linear_adapter,11,L11,0.636657,0.559552,0.729075,0.064894,0.580618,0.075851
sg_carpark,PT-OOD,linear_adapter,12,L12,0.603758,0.525237,0.698455,0.009866,0.555974,0.030187
sg_carpark,PT-OOD,linear_adapter,13,L12+RMS,0.59786,0.520924,0.689827,0.0,0.539682,0.0
coastal_ts,PT-OOD,native,13,L12+RMS,1.130997,0.942115,1.355057,0.0,0.154884,0.0
coastal_ts,PT-OOD,zero_shot,0,Emb,2.44994,1.732882,3.244747,1.166177,0.299886,0.9362
coastal_ts,PT-OOD,zero_shot,1,L1,1.783027,1.343852,2.258049,0.57651,0.225285,0.454546
coastal_ts,PT-OOD,zero_shot,2,L2,1.589656,1.23735,1.979306,0.405536,0.212868,0.374374
coastal_ts,PT-OOD,zero_shot,3,L3,1.513956,1.195844,1.865348,0.338603,0.203738,0.315424
coastal_ts,PT-OOD,zero_shot,4,L4,1.441734,1.160802,1.754049,0.274746,0.20131,0.299753
coastal_ts,PT-OOD,zero_shot,5,L5,1.389702,1.130625,1.683902,0.228741,0.198674,0.28273
coastal_ts,PT-OOD,zero_shot,6,L6,1.395477,1.13844,1.680535,0.233847,0.205822,0.328883
coastal_ts,PT-OOD,zero_shot,7,L7,1.397216,1.131379,1.688875,0.235384,0.202878,0.309877
coastal_ts,PT-OOD,zero_shot,8,L8,1.345194,1.102225,1.608823,0.189388,0.199003,0.284856
coastal_ts,PT-OOD,zero_shot,9,L9,1.29756,1.067255,1.564563,0.147271,0.198081,0.278899
coastal_ts,PT-OOD,zero_shot,10,L10,1.235932,1.01898,1.504342,0.092781,0.187919,0.213292
coastal_ts,PT-OOD,zero_shot,11,L11,1.347588,1.088717,1.645674,0.191505,0.199502,0.288077
coastal_ts,PT-OOD,zero_shot,12,L12,1.130997,0.942115,1.355057,0.0,0.154884,0.0
coastal_ts,PT-OOD,zero_shot,13,L12+RMS,1.130997,0.942115,1.355057,0.0,0.154884,0.0
coastal_ts,PT-OOD,linear_adapter,0,Emb,2.451252,1.736581,3.247219,1.167338,0.267145,0.724811
coastal_ts,PT-OOD,linear_adapter,1,L1,1.149244,0.988422,1.322464,0.016134,0.162194,0.047199
coastal_ts,PT-OOD,linear_adapter,2,L2,1.137919,0.973827,1.325356,0.00612,0.160385,0.035521
coastal_ts,PT-OOD,linear_adapter,3,L3,1.148133,0.99801,1.324236,0.015151,0.162369,0.048332
coastal_ts,PT-OOD,linear_adapter,4,L4,1.14399,0.979528,1.334072,0.011488,0.16,0.033032
coastal_ts,PT-OOD,linear_adapter,5,L5,1.170242,0.990258,1.389014,0.0347,0.165281,0.067127
coastal_ts,PT-OOD,linear_adapter,6,L6,1.168883,0.976934,1.398031,0.033498,0.160762,0.037956
coastal_ts,PT-OOD,linear_adapter,7,L7,1.166192,0.981091,1.382787,0.031119,0.157839,0.019079
coastal_ts,PT-OOD,linear_adapter,8,L8,1.129308,0.956973,1.332094,-0.001494,0.156514,0.010524
coastal_ts,PT-OOD,linear_adapter,9,L9,1.200094,0.980708,1.463634,0.061094,0.156732,0.011933
