dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
wind_farms_hourly,PT-ID,native,13,L12+RMS,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,0,Emb,5.584051,26.103673,5.278831,0.282428,0.773744,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,1,L1,5.282333,22.86195,4.834842,0.213136,0.624559,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,2,L2,5.196997,22.007007,4.914128,0.193538,0.6512,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,3,L3,5.102434,20.654144,4.616327,0.17182,0.551136,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,4,L4,5.009656,19.356267,4.396626,0.150513,0.477314,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,5,L5,4.895868,17.602691,4.040363,0.124381,0.357606,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,6,L6,4.846871,17.024168,3.970916,0.113128,0.334271,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,7,L7,4.767815,16.269843,3.861324,0.094972,0.297447,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,8,L8,4.828735,16.439489,3.855429,0.108963,0.295466,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,9,L9,4.768344,16.294294,3.896233,0.095094,0.309177,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,10,L10,4.521526,16.347649,3.885596,0.03841,0.305602,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,11,L11,4.649293,18.233735,4.700766,0.067752,0.579508,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,12,L12,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
wind_farms_hourly,PT-ID,zero_shot,13,L12+RMS,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,0,Emb,5.379104,24.999085,4.899546,0.23536,0.6463,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,1,L1,4.735352,18.440022,3.715351,0.087517,0.248398,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,2,L2,4.48339,15.923726,3.24253,0.029651,0.089525,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,3,L3,4.418114,14.811081,3.046782,0.01466,0.023752,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,4,L4,4.413305,14.722835,3.005679,0.013556,0.009941,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,5,L5,4.405138,14.794,3.066797,0.01168,0.030477,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,6,L6,4.504692,16.099953,3.37934,0.034544,0.135495,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,7,L7,4.441162,15.858994,3.274074,0.019953,0.100124,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,8,L8,4.496231,16.727643,3.494721,0.0326,0.174264,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,9,L9,4.477521,16.231057,3.446553,0.028303,0.158079,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,10,L10,4.519503,16.421192,3.407836,0.037945,0.14507,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,11,L11,4.496559,16.407627,3.399489,0.032676,0.142265,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,12,L12,4.407126,14.859261,3.046633,0.012136,0.023702,4.35428,2.976095
wind_farms_hourly,PT-ID,linear_adapter,13,L12+RMS,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
