dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
boom_hourly,PT-OOD,native,13,L12+RMS,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,0,Emb,1.86986,0.712352,14.064407,0.981544,1.576865,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,1,L1,1.462581,0.518067,10.863172,0.549939,0.990338,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,2,L2,1.407462,0.474195,11.499398,0.491528,1.106907,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,3,L3,1.373351,0.465898,10.937975,0.45538,1.004044,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,4,L4,1.32395,0.441686,10.760027,0.403028,0.97144,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,5,L5,1.332987,0.430478,10.498646,0.412605,0.92355,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,6,L6,1.335096,0.431301,10.584791,0.41484,0.939333,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,7,L7,1.322154,0.428767,10.65677,0.401125,0.952521,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,8,L8,1.325232,0.413808,10.441334,0.404386,0.913049,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,9,L9,1.286377,0.389774,10.999389,0.363211,1.015296,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,10,L10,1.073616,0.307644,9.767001,0.137742,0.789499,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,11,L11,1.106311,0.330084,15.633855,0.17239,1.864417,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,12,L12,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
boom_hourly,PT-OOD,zero_shot,13,L12+RMS,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,0,Emb,1.696245,0.603876,12.838565,0.79756,1.352267,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,1,L1,1.04812,0.314238,6.63666,0.110723,0.215961,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,2,L2,1.048731,0.304474,6.478377,0.11137,0.186961,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,3,L3,1.04433,0.29779,6.446249,0.106706,0.181075,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,4,L4,1.049617,0.297365,6.317049,0.11231,0.157403,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,5,L5,1.046489,0.298802,6.389934,0.108994,0.170757,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,6,L6,1.073654,0.325273,6.868366,0.137782,0.258414,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,7,L7,1.074853,0.320601,6.766505,0.139052,0.239751,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,8,L8,1.085046,0.320405,7.014114,0.149855,0.285118,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,9,L9,1.094322,0.336192,7.144666,0.159685,0.309038,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,10,L10,1.021004,0.29738,6.199339,0.081987,0.135836,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,11,L11,0.977547,0.267532,5.937772,0.035934,0.087912,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,12,L12,0.972166,0.264072,5.703968,0.030232,0.045075,0.943638,5.457953
boom_hourly,PT-OOD,linear_adapter,13,L12+RMS,0.943638,0.251575,5.457953,0.0,0.0,0.943638,5.457953
