dataset,short,kind,layer,layer_label,condition,experiment,mase,mase_ci_lo,mase_ci_hi
uber_tlc_hourly,Uber,PT-ID,3,L3,zero_shot,ext_v5,1.258932,1.194334,1.325036
uber_tlc_hourly,Uber,PT-ID,3,L3,linear_adapter,ext_v5,0.875001,0.835014,0.91721
uber_tlc_hourly,Uber,PT-ID,3,L3,linear_probe_q9,ext_v4,1.027405,,
uber_tlc_hourly,Uber,PT-ID,4,L4,zero_shot,ext_v5,1.193092,1.135486,1.253331
uber_tlc_hourly,Uber,PT-ID,4,L4,linear_adapter,ext_v5,0.849292,0.812377,0.889503
uber_tlc_hourly,Uber,PT-ID,4,L4,linear_probe_q9,ext_v4,0.969056,,
uber_tlc_hourly,Uber,PT-ID,5,L5,zero_shot,ext_v5,1.109737,1.058356,1.16418
uber_tlc_hourly,Uber,PT-ID,5,L5,linear_adapter,ext_v5,0.841491,0.804079,0.881984
uber_tlc_hourly,Uber,PT-ID,5,L5,linear_probe_q9,ext_v4,0.951808,,
uber_tlc_hourly,Uber,PT-ID,6,L6,zero_shot,ext_v5,1.066211,1.016412,1.120113
uber_tlc_hourly,Uber,PT-ID,6,L6,linear_adapter,ext_v5,0.837064,0.799961,0.877157
uber_tlc_hourly,Uber,PT-ID,6,L6,linear_probe_q9,ext_v4,0.938273,,
uber_tlc_hourly,Uber,PT-ID,7,L7,zero_shot,ext_v5,0.981175,0.937709,1.030172
uber_tlc_hourly,Uber,PT-ID,7,L7,linear_adapter,ext_v5,0.826546,0.790975,0.865683
uber_tlc_hourly,Uber,PT-ID,7,L7,linear_probe_q9,ext_v4,0.907378,,
uber_tlc_hourly,Uber,PT-ID,8,L8,zero_shot,ext_v5,0.987733,0.93775,1.044494
uber_tlc_hourly,Uber,PT-ID,8,L8,linear_adapter,ext_v5,0.830504,0.794277,0.869747
uber_tlc_hourly,Uber,PT-ID,8,L8,linear_probe_q9,ext_v4,0.904525,,
uber_tlc_hourly,Uber,PT-ID,9,L9,zero_shot,ext_v5,0.951666,0.909686,1.000261
uber_tlc_hourly,Uber,PT-ID,9,L9,linear_adapter,ext_v5,0.821794,0.78589,0.861599
uber_tlc_hourly,Uber,PT-ID,9,L9,linear_probe_q9,ext_v4,0.898869,,
uber_tlc_hourly,Uber,PT-ID,10,L10,zero_shot,ext_v5,0.891868,0.855213,0.931045
uber_tlc_hourly,Uber,PT-ID,10,L10,linear_adapter,ext_v5,0.820255,0.784437,0.859559
uber_tlc_hourly,Uber,PT-ID,10,L10,linear_probe_q9,ext_v4,1.013123,,
uber_tlc_hourly,Uber,PT-ID,11,L11,zero_shot,ext_v5,0.94909,0.911249,0.990001
uber_tlc_hourly,Uber,PT-ID,11,L11,linear_adapter,ext_v5,0.821691,0.786361,0.860666
uber_tlc_hourly,Uber,PT-ID,11,L11,linear_probe_q9,ext_v4,1.051632,,
uber_tlc_hourly,Uber,PT-ID,12,L12,zero_shot,ext_v5,0.805776,0.770208,0.84448
uber_tlc_hourly,Uber,PT-ID,12,L12,linear_adapter,ext_v5,0.811686,0.777265,0.849714
uber_tlc_hourly,Uber,PT-ID,12,L12,linear_probe_q9,ext_v4,0.991005,,
