dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
m4_hourly,PT-ID,native,13,L12+RMS,0.928949,256.579066,0.765341,0.0,0.0,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,0,Emb,10.360437,876.529161,2.760657,10.152861,2.607096,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,1,L1,10.473442,867.459535,2.826991,10.274509,2.693768,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,2,L2,10.125133,850.52129,2.895271,9.899559,2.782984,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,3,L3,8.789148,759.143514,2.66125,8.46139,2.477211,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,4,L4,7.782415,677.77551,2.481986,7.377657,2.242982,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,5,L5,4.554395,463.664525,1.788941,3.90274,1.337444,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,6,L6,3.434023,405.183824,1.669911,2.696676,1.181919,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,7,L7,2.544844,366.898746,1.718553,1.739488,1.245474,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,8,L8,2.541323,335.398817,1.552435,1.735698,1.028424,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,9,L9,3.971303,363.430704,1.722171,3.27505,1.250202,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,10,L10,4.965995,397.446036,1.757166,4.345822,1.295927,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,11,L11,6.194788,473.260052,1.939005,5.668599,1.53352,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,12,L12,0.928949,256.579066,0.765341,0.0,0.0,0.928949,0.765341
m4_hourly,PT-ID,zero_shot,13,L12+RMS,0.928949,256.579066,0.765341,0.0,0.0,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,0,Emb,10.060636,850.677286,2.309774,9.830129,2.017969,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,1,L1,5.960736,668.518449,1.992802,5.416646,1.60381,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,2,L2,1.813981,438.689015,1.366657,0.952724,0.785685,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,3,L3,1.442686,433.404366,1.32885,0.55303,0.736286,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,4,L4,1.369873,416.968466,1.321058,0.474648,0.726105,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,5,L5,1.215723,343.835524,1.133134,0.308708,0.480562,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,6,L6,1.243032,332.965597,1.069389,0.338106,0.397272,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,7,L7,1.18442,341.030898,1.14768,0.275011,0.499568,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,8,L8,1.066142,305.148307,0.991465,0.147686,0.295456,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,9,L9,1.042198,280.747927,0.905309,0.121911,0.182884,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,10,L10,1.198825,298.82836,0.892231,0.290518,0.165796,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,11,L11,1.126278,277.10381,0.839117,0.212422,0.096396,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,12,L12,0.934288,266.659833,0.799793,0.005748,0.045016,0.928949,0.765341
m4_hourly,PT-ID,linear_adapter,13,L12+RMS,0.928949,256.579066,0.765341,0.0,0.0,0.928949,0.765341
