experiment,stage,target,short,pt_status,ft_status,probe_status,ft_source,quantile_set,readout,l_start,l_start_label,last_label,loss_at_l_start,loss_at_last,D_last_vs_lstart,D_ci_lo,D_ci_hi,n_clusters,n_windows,C,H,P,K
ft_specialization_stageB,stage0_pretrained,monash_electricity_hourly,Electricity,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,5,L5,L12+LN,2.26942777474418,2.144787132057525,-0.054921616838281846,-0.07664373726732295,-0.034888507833368644,262,262,512,64,16,4
ft_specialization_stageB,stage1_ft_early,monash_electricity_hourly,Electricity,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.1244978436835242,2.1244978436835242,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage2_ft_late,monash_electricity_hourly,Electricity,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.118421068704159,2.118421068704159,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage0_pretrained,uber_tlc_hourly,Uber,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,5,L5,L12+LN,3.4016595175703066,3.3081220130580675,-0.02749760933717698,-0.035863260600782924,-0.019311032150780155,262,262,512,64,16,4
ft_specialization_stageB,stage1_ft_early,uber_tlc_hourly,Uber,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,3.297372903229323,3.297372903229323,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage2_ft_late,uber_tlc_hourly,Uber,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,3.296283751801983,3.296283751801983,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage0_pretrained,m4_hourly,M4,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,5,L5,L12+LN,2.0270209069015412,2.095288239665917,0.033678652515097926,0.012346632248010662,0.05442705629410694,262,262,512,64,16,4
ft_specialization_stageB,stage1_ft_early,m4_hourly,M4,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.1380034688168204,2.1380034688168204,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage2_ft_late,m4_hourly,M4,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.1372430147105503,2.1372430147105503,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage0_pretrained,wind_farms_hourly,WindFarms,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,5,L5,L12+LN,2.7476764425218256,3.023892623322611,0.10052718599838935,0.03889612477029385,0.16547401597678302,262,262,512,64,16,4
ft_specialization_stageB,stage1_ft_early,wind_farms_hourly,WindFarms,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.9671035433998547,2.9671035433998547,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage2_ft_late,wind_farms_hourly,WindFarms,PT-ID,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.908274337763095,2.908274337763095,0.0,0.0,0.0,262,262,512,64,16,4
ft_specialization_stageB,stage0_pretrained,boom_hourly,BOOM,PT-OOD,FT-ID,probe-ID,boom,q9,fslot,5,L5,L12+LN,2.417131179666564,2.4134805545968527,-0.00151031317638934,-0.026157684381244786,0.025315641492459465,354,354,512,64,16,4
ft_specialization_stageB,stage1_ft_early,boom_hourly,BOOM,PT-OOD,FT-ID,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.336633847875559,2.336633847875559,0.0,0.0,0.0,354,354,512,64,16,4
ft_specialization_stageB,stage2_ft_late,boom_hourly,BOOM,PT-OOD,FT-ID,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,2.3504354508695404,2.3504354508695404,0.0,0.0,0.0,354,354,512,64,16,4
ft_specialization_stageB,stage0_pretrained,sg_carpark,SG-Carpark,PT-OOD,FT-OOD,probe-ID,boom,q9,fslot,5,L5,L12+LN,1.8010042209858723,1.8166094130490908,0.008664717095818788,-0.018271565361852593,0.036876228114665725,354,354,512,64,16,4
ft_specialization_stageB,stage1_ft_early,sg_carpark,SG-Carpark,PT-OOD,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,1.8192656469547142,1.8192656469547142,0.0,0.0,0.0,354,354,512,64,16,4
ft_specialization_stageB,stage2_ft_late,sg_carpark,SG-Carpark,PT-OOD,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,1.7745845985726898,1.7745845985726898,0.0,0.0,0.0,354,354,512,64,16,4
ft_specialization_stageB,stage0_pretrained,coastal_ts,Coastal-TS,PT-OOD,FT-OOD,probe-ID,boom,q9,fslot,5,L5,L12+LN,3.842544655005137,3.6918707717623978,-0.03921200578540519,-0.08764137455200817,0.014427498687598092,24,48,512,64,16,4
ft_specialization_stageB,stage1_ft_early,coastal_ts,Coastal-TS,PT-OOD,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,3.6483366373512482,3.6483366373512482,0.0,0.0,0.0,24,48,512,64,16,4
ft_specialization_stageB,stage2_ft_late,coastal_ts,Coastal-TS,PT-OOD,FT-OOD,probe-ID,boom,q9,fslot,13,L12+LN,L12+LN,3.6453817081120277,3.6453817081120277,0.0,0.0,0.0,24,48,512,64,16,4
