source,target,ood_category,target_frequency,selection_method,selected_layer,q9_loss,l12_loss,raw_gain,relative_gain_pct,relative_ci,relative_ci_lo,relative_ci_hi,relative_ci_excludes_zero,mase,cluster_count,window_count,preprocessing_notes
monash_electricity_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,3,3.167711,3.363353,0.195641,5.8169,"[+3.422, +8.186]",3.4217,8.1857,True,1.464612,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
monash_electricity_hourly,coastal_ts,pretraining_ood,H,source_selected,3,7.37073,7.325276,-0.045454,-0.6205,"[-5.482, +3.521]",-5.4818,3.5214,False,3.47142,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
monash_electricity_hourly,boom_hourly,pretraining_ood,H,source_selected,3,7.923431,7.429853,-0.493579,-6.6432,"[-9.220, -4.095]",-9.2199,-4.0954,True,204.112594,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
uber_tlc_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,4,5.758189,6.522784,0.764595,11.7219,"[+10.056, +13.328]",10.0557,13.3277,True,2.779803,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
uber_tlc_hourly,coastal_ts,pretraining_ood,H,source_selected,4,10.003532,9.559836,-0.443696,-4.6412,"[-10.002, +0.498]",-10.0017,0.4979,False,4.705353,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
uber_tlc_hourly,boom_hourly,pretraining_ood,H,source_selected,4,7.632481,7.251306,-0.381175,-5.2566,"[-8.007, -2.603]",-8.0075,-2.603,True,202.544242,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
m4_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,2,3.831445,3.983441,0.151997,3.8157,"[+0.910, +6.592]",0.9104,6.5921,True,1.921992,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
m4_hourly,coastal_ts,pretraining_ood,H,source_selected,2,9.097382,6.571162,-2.52622,-38.444,"[-48.408, -29.111]",-48.4078,-29.1107,True,8.030097,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
m4_hourly,boom_hourly,pretraining_ood,H,source_selected,2,12.332721,8.790522,-3.542199,-40.2957,"[-44.211, -36.372]",-44.2105,-36.3723,True,360.967221,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
wind_farms_hourly,sg_carpark,pretraining_ood,H (agg 15min),source_selected,4,4.070179,4.244851,0.174672,4.1149,"[+1.545, +6.614]",1.5455,6.6136,True,1.87436,354,650,"SG Carpark; target = available-lot count; 15min->hourly mean of available samples (>=3 of 4 required; <=1 missing tolerated, no fill)"
wind_farms_hourly,coastal_ts,pretraining_ood,H,source_selected,4,5.215879,4.864082,-0.351797,-7.2325,"[-11.570, -2.605]",-11.5695,-2.6051,True,2.220847,24,650,"Coastal T-S; variates=['TEMP', 'PSAL']; cluster by station"
wind_farms_hourly,boom_hourly,pretraining_ood,H,source_selected,4,4.866126,4.173376,-0.692749,-16.5993,"[-19.604, -13.514]",-19.6045,-13.5137,True,198.667554,356,650,BOOM native-hourly; one quality-passing variate per query (manifest-pinned)
