source_dataset,target_dataset,probe_family,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_oracle_best_layer,is_source_selected_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,4,-0.6517843645413715,-0.8080967354475712,-0.4798638823400732,False,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,5,-0.33928939835230487,-0.47424607918015066,-0.17625324666100828,False,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,6,0.011212575515111567,-0.1420633396410042,0.18780874611040024,False,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,7,-0.080709848006566,-0.23691580808830076,0.09741156791905395,False,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,8,0.01575162911415129,-0.14364384054277538,0.1999608497319727,False,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,9,-0.21942379363377906,-0.36387742303111875,-0.0506649284897066,False,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,10,-3.962834676096705e-05,-0.10547233137073891,0.11455534824859613,False,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,11,-0.20055426581700608,-0.2736476442595096,-0.13224176647357125,False,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,forecast_slot_native_head,0,True,q9,12,0.0,0.0,0.0,False,False,True,True,260,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,0,-2.6122838727633164,-2.695350679116322,-2.514709506538815,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,1,-2.261583126068116,-2.378076325428312,-2.1358707372283074,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,2,-0.9979431630770366,-1.0948395534729427,-0.89787178598488,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,3,-0.5594826650619513,-0.6490369634789028,-0.4676978739651665,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,4,-0.33920630725224843,-0.44712378207164993,-0.23300389368485222,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,5,-0.009788172165553277,-0.09636377031402017,0.075803551364298,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,6,0.3512520819505056,0.27992678036410146,0.42714381786052846,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,forecast_slot_native_head,0,True,q9,7,-0.13095787874857656,-0.22260592054466313,-0.04093233730602353,False,False,False,False,318,1500,5000
