,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.948054,0.855037,0.820878,0.783831,0.750290,0.717131,0.683169,0.627504,0.557610,0.475935,0.408881,0.237925,0.503407
L1,0.948054,1.000000,0.967823,0.945575,0.917954,0.892149,0.860796,0.830942,0.777440,0.711520,0.631270,0.561204,0.393692,0.601580
L2,0.855037,0.967823,1.000000,0.992888,0.977317,0.960976,0.934975,0.913044,0.868424,0.811746,0.740597,0.674203,0.528397,0.654531
L3,0.820878,0.945575,0.992888,1.000000,0.992764,0.980994,0.959130,0.940196,0.900553,0.846941,0.778618,0.711166,0.549155,0.668715
L4,0.783831,0.917954,0.977317,0.992764,1.000000,0.994307,0.978398,0.963122,0.930172,0.880812,0.815696,0.746733,0.568422,0.681151
L5,0.750290,0.892149,0.960976,0.980994,0.994307,1.000000,0.990753,0.979110,0.951820,0.905690,0.841671,0.770830,0.585297,0.687129
L6,0.717131,0.860796,0.934975,0.959130,0.978398,0.990753,1.000000,0.990641,0.969482,0.924544,0.861432,0.789311,0.584734,0.686334
L7,0.683169,0.830942,0.913044,0.940196,0.963122,0.979110,0.990641,1.000000,0.984293,0.949095,0.889510,0.816626,0.602019,0.692837
L8,0.627504,0.777440,0.868424,0.900553,0.930172,0.951820,0.969482,0.984293,1.000000,0.975155,0.924213,0.852511,0.613674,0.700743
L9,0.557610,0.711520,0.811746,0.846941,0.880812,0.905690,0.924544,0.949095,0.975155,1.000000,0.963395,0.894712,0.625719,0.709952
L10,0.475935,0.631270,0.740597,0.778618,0.815696,0.841671,0.861432,0.889510,0.924213,0.963395,1.000000,0.951181,0.640138,0.718215
L11,0.408881,0.561204,0.674203,0.711166,0.746733,0.770830,0.789311,0.816626,0.852511,0.894712,0.951181,1.000000,0.657935,0.755558
L12,0.237925,0.393692,0.528397,0.549155,0.568422,0.585297,0.584734,0.602019,0.613674,0.625719,0.640138,0.657935,1.000000,0.646048
L12+LN,0.503407,0.601580,0.654531,0.668715,0.681151,0.687129,0.686334,0.692837,0.700743,0.709952,0.718215,0.755558,0.646048,1.000000
