,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.984354,0.956034,0.923913,0.892775,0.860669,0.819861,0.769952,0.704210,0.631133,0.549140,0.541542,0.302093,0.604500
L1,0.984354,1.000000,0.989728,0.969453,0.945160,0.918564,0.882491,0.837809,0.776540,0.705169,0.628402,0.613566,0.379258,0.625054
L2,0.956034,0.989728,1.000000,0.991273,0.974518,0.954065,0.923520,0.885417,0.829673,0.762707,0.692153,0.672742,0.453661,0.647054
L3,0.923913,0.969453,0.991273,1.000000,0.993103,0.979835,0.955511,0.923782,0.874914,0.812768,0.747366,0.722244,0.486226,0.665606
L4,0.892775,0.945160,0.974518,0.993103,1.000000,0.993734,0.977569,0.952465,0.910330,0.855987,0.796238,0.769610,0.507734,0.689663
L5,0.860669,0.918564,0.954065,0.979835,0.993734,1.000000,0.992209,0.973263,0.939513,0.890094,0.837114,0.806032,0.523751,0.698131
L6,0.819861,0.882491,0.923520,0.955511,0.977569,0.992209,1.000000,0.985746,0.958882,0.915060,0.867912,0.836559,0.526841,0.703430
L7,0.769952,0.837809,0.885417,0.923782,0.952465,0.973263,0.985746,1.000000,0.982731,0.953179,0.911827,0.878764,0.547142,0.724150
L8,0.704210,0.776540,0.829673,0.874914,0.910330,0.939513,0.958882,0.982731,1.000000,0.979138,0.949815,0.908757,0.559675,0.720624
L9,0.631133,0.705169,0.762707,0.812768,0.855987,0.890094,0.915060,0.953179,0.979138,1.000000,0.981423,0.952811,0.579195,0.762394
L10,0.549140,0.628402,0.692153,0.747366,0.796238,0.837114,0.867912,0.911827,0.949815,0.981423,1.000000,0.971947,0.615307,0.743947
L11,0.541542,0.613566,0.672742,0.722244,0.769610,0.806032,0.836559,0.878764,0.908757,0.952811,0.971947,1.000000,0.624064,0.819282
L12,0.302093,0.379258,0.453661,0.486226,0.507734,0.523751,0.526841,0.547142,0.559675,0.579195,0.615307,0.624064,1.000000,0.512626
L12+LN,0.604500,0.625054,0.647054,0.665606,0.689663,0.698131,0.703430,0.724150,0.720624,0.762394,0.743947,0.819282,0.512626,1.000000
