dataset,short,kind,layer,cka_to_final
monash_electricity_hourly,Electricity,PT-ID,Emb,0.936625464996474
monash_electricity_hourly,Electricity,PT-ID,L1,0.9322676206453709
monash_electricity_hourly,Electricity,PT-ID,L2,0.9259268394786331
monash_electricity_hourly,Electricity,PT-ID,L3,0.919168890185547
monash_electricity_hourly,Electricity,PT-ID,L4,0.9102164675307277
monash_electricity_hourly,Electricity,PT-ID,L5,0.9017470489433835
monash_electricity_hourly,Electricity,PT-ID,L6,0.8956387064582296
monash_electricity_hourly,Electricity,PT-ID,L7,0.886010979755315
monash_electricity_hourly,Electricity,PT-ID,L8,0.861912635117521
monash_electricity_hourly,Electricity,PT-ID,L9,0.84403157322345
monash_electricity_hourly,Electricity,PT-ID,L10,0.8304667008765344
monash_electricity_hourly,Electricity,PT-ID,L11,0.8632466875940642
monash_electricity_hourly,Electricity,PT-ID,L12,0.9258478751029946
monash_electricity_hourly,Electricity,PT-ID,L12+LN,1.0
uber_tlc_hourly,Uber,PT-ID,Emb,0.6044999088990023
uber_tlc_hourly,Uber,PT-ID,L1,0.6250537305443553
uber_tlc_hourly,Uber,PT-ID,L2,0.6470536540338202
uber_tlc_hourly,Uber,PT-ID,L3,0.6656062767986516
uber_tlc_hourly,Uber,PT-ID,L4,0.6896626900136218
uber_tlc_hourly,Uber,PT-ID,L5,0.6981314039313785
uber_tlc_hourly,Uber,PT-ID,L6,0.7034295276213731
uber_tlc_hourly,Uber,PT-ID,L7,0.7241498349011003
uber_tlc_hourly,Uber,PT-ID,L8,0.7206242314325916
uber_tlc_hourly,Uber,PT-ID,L9,0.7623938556466355
uber_tlc_hourly,Uber,PT-ID,L10,0.743946657659313
uber_tlc_hourly,Uber,PT-ID,L11,0.8192824685152454
uber_tlc_hourly,Uber,PT-ID,L12,0.512625947202404
uber_tlc_hourly,Uber,PT-ID,L12+LN,0.9999999999999999
m4_hourly,M4,PT-ID,Emb,0.9430630911696015
m4_hourly,M4,PT-ID,L1,0.9462518312890223
m4_hourly,M4,PT-ID,L2,0.941733891820078
m4_hourly,M4,PT-ID,L3,0.9394230592582941
m4_hourly,M4,PT-ID,L4,0.9365047142273019
m4_hourly,M4,PT-ID,L5,0.9275037680333624
m4_hourly,M4,PT-ID,L6,0.9216581152757252
m4_hourly,M4,PT-ID,L7,0.9106840510093588
m4_hourly,M4,PT-ID,L8,0.8891166731097946
m4_hourly,M4,PT-ID,L9,0.8720289953137491
m4_hourly,M4,PT-ID,L10,0.8607076734300259
m4_hourly,M4,PT-ID,L11,0.8824825437311477
m4_hourly,M4,PT-ID,L12,0.9432612474892745
m4_hourly,M4,PT-ID,L12+LN,0.9999999999999998
wind_farms_hourly,WindFarms,PT-ID,Emb,0.5299341568378362
wind_farms_hourly,WindFarms,PT-ID,L1,0.5941197547707103
wind_farms_hourly,WindFarms,PT-ID,L2,0.614223470086053
wind_farms_hourly,WindFarms,PT-ID,L3,0.6162750392362409
wind_farms_hourly,WindFarms,PT-ID,L4,0.6267326556878687
wind_farms_hourly,WindFarms,PT-ID,L5,0.631686751878413
wind_farms_hourly,WindFarms,PT-ID,L6,0.6286665434002542
wind_farms_hourly,WindFarms,PT-ID,L7,0.6330428836121091
wind_farms_hourly,WindFarms,PT-ID,L8,0.6243235404120739
wind_farms_hourly,WindFarms,PT-ID,L9,0.6323890206024857
wind_farms_hourly,WindFarms,PT-ID,L10,0.6396697213488601
wind_farms_hourly,WindFarms,PT-ID,L11,0.7207670865230261
wind_farms_hourly,WindFarms,PT-ID,L12,0.40651208027112884
wind_farms_hourly,WindFarms,PT-ID,L12+LN,1.0000000000000002
sg_carpark,SG-Carpark,PT-OOD,Emb,0.9137745314519041
sg_carpark,SG-Carpark,PT-OOD,L1,0.9152402761925316
sg_carpark,SG-Carpark,PT-OOD,L2,0.9073937383967619
sg_carpark,SG-Carpark,PT-OOD,L3,0.9026838302795777
sg_carpark,SG-Carpark,PT-OOD,L4,0.8898918767283265
sg_carpark,SG-Carpark,PT-OOD,L5,0.8680049779041457
sg_carpark,SG-Carpark,PT-OOD,L6,0.854938884235048
sg_carpark,SG-Carpark,PT-OOD,L7,0.8475871686332382
sg_carpark,SG-Carpark,PT-OOD,L8,0.8314244704935171
sg_carpark,SG-Carpark,PT-OOD,L9,0.8187958449045039
sg_carpark,SG-Carpark,PT-OOD,L10,0.8252559590683495
sg_carpark,SG-Carpark,PT-OOD,L11,0.8615152287182593
sg_carpark,SG-Carpark,PT-OOD,L12,0.9397126388721331
sg_carpark,SG-Carpark,PT-OOD,L12+LN,1.0
coastal_ts,Coastal-TS,PT-OOD,Emb,0.7299820533632289
