model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,monash_traffic,0,Emb,block_depth,True,0.0,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2507624328136444,"{""1e-05"": 0.5078396201133728, ""0.0001"": 0.5239388346672058, ""0.001"": 0.5087458491325378, ""0.01"": 0.514674723148346, ""0.1"": 0.5121994614601135, ""0.3"": 0.5157530307769775, ""1"": 0.5264093279838562, ""3"": 0.5068386793136597, ""10"": 0.5015248656272888, ""30"": 0.5384485125541687, ""45"": 0.5565363764762878, ""65"": 0.5588892698287964, ""90"": 0.5807867646217346}","{""1e-05"": 0.2539198100566864, ""0.0001"": 0.2619694173336029, ""0.001"": 0.2543729245662689, ""0.01"": 0.257337361574173, ""0.1"": 0.25609973073005676, ""0.3"": 0.25787651538848877, ""1"": 0.2632046639919281, ""3"": 0.25341933965682983, ""10"": 0.2507624328136444, ""30"": 0.26922425627708435, ""45"": 0.2782681882381439, ""65"": 0.2794446349143982, ""90"": 0.2903933823108673}",0.31979975935440497,0.2507624534591464,0.2770542643736792,12304,0.25220810897818957,0.9942680053987947
chronos2,monash_traffic,1,L1,block_depth,True,0.08333333333333333,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.20441566407680511,"{""1e-05"": 0.4157547950744629, ""0.0001"": 0.41403234004974365, ""0.001"": 0.41268524527549744, ""0.01"": 0.41240742802619934, ""0.1"": 0.4207824766635895, ""0.3"": 0.4090369939804077, ""1"": 0.40883132815361023, ""3"": 0.41424456238746643, ""10"": 0.4347836375236511, ""30"": 0.43844616413116455, ""45"": 0.4376704692840576, ""65"": 0.4427459239959717, ""90"": 0.4524680972099304}","{""1e-05"": 0.20787739753723145, ""0.0001"": 0.20701617002487183, ""0.001"": 0.20634262263774872, ""0.01"": 0.20620371401309967, ""0.1"": 0.21039123833179474, ""0.3"": 0.20451849699020386, ""1"": 0.20441566407680511, ""3"": 0.20712228119373322, ""10"": 0.21739181876182556, ""30"": 0.21922308206558228, ""45"": 0.2188352346420288, ""65"": 0.22137296199798584, ""90"": 0.2262340486049652}",0.2399410474270454,0.20441567073114045,0.21118155551206974,12304,0.25220810897818957,0.8105039586527247
chronos2,monash_traffic,2,L2,block_depth,True,0.16666666666666666,0.1,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.12325549125671387,"{""1e-05"": 0.2508983016014099, ""0.0001"": 0.2491423636674881, ""0.001"": 0.24949343502521515, ""0.01"": 0.24791452288627625, ""0.1"": 0.24651098251342773, ""0.3"": 0.24767693877220154, ""1"": 0.2561756670475006, ""3"": 0.25561514496803284, ""10"": 0.2552134096622467, ""30"": 0.2778187096118927, ""45"": 0.29205235838890076, ""65"": 0.29992470145225525, ""90"": 0.33547309041023254}","{""1e-05"": 0.12544915080070496, ""0.0001"": 0.12457118183374405, ""0.001"": 0.12474671751260757, ""0.01"": 0.12395726144313812, ""0.1"": 0.12325549125671387, ""0.3"": 0.12383846938610077, ""1"": 0.1280878335237503, ""3"": 0.12780757248401642, ""10"": 0.12760670483112335, ""30"": 0.13890935480594635, ""45"": 0.14602617919445038, ""65"": 0.14996235072612762, ""90"": 0.16773654520511627}",0.14461673629687968,0.12325548246957874,0.13971681833153463,12304,0.25220810897818957,0.4887054701331495
chronos2,monash_traffic,3,L3,block_depth,True,0.25,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1310807168483734,"{""1e-05"": 0.2719210088253021, ""0.0001"": 0.2770463824272156, ""0.001"": 0.27587270736694336, ""0.01"": 0.2788349390029907, ""0.1"": 0.27721884846687317, ""0.3"": 0.2762448191642761, ""1"": 0.26896366477012634, ""3"": 0.2691957354545593, ""10"": 0.2667720317840576, ""30"": 0.26746666431427, ""45"": 0.2621614336967468, ""65"": 0.2712459862232208, ""90"": 0.2700396180152893}","{""1e-05"": 0.13596050441265106, ""0.0001"": 0.1385231912136078, ""0.001"": 0.13793635368347168, ""0.01"": 0.13941746950149536, ""0.1"": 0.13860942423343658, ""0.3"": 0.13812240958213806, ""1"": 0.13448183238506317, ""3"": 0.13459786772727966, ""10"": 0.1333860158920288, ""30"": 0.133733332157135, ""45"": 0.1310807168483734, ""65"": 0.1356229931116104, ""90"": 0.13501980900764465}",0.11963205305669708,0.13108071925132783,0.11540544587578483,12304,0.25220810897818957,0.5197323741191185
chronos2,monash_traffic,4,L4,block_depth,True,0.3333333333333333,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.13329455256462097,"{""1e-05"": 0.2747330665588379, ""0.0001"": 0.2801167666912079, ""0.001"": 0.2797296345233917, ""0.01"": 0.274502694606781, ""0.1"": 0.27771034836769104, ""0.3"": 0.26658910512924194, ""1"": 0.2781429886817932, ""3"": 0.27280300855636597, ""10"": 0.2731885015964508, ""30"": 0.2792121171951294, ""45"": 0.2705036699771881, ""65"": 0.28182336688041687, ""90"": 0.2801923155784607}","{""1e-05"": 0.13736653327941895, ""0.0001"": 0.14005838334560394, ""0.001"": 0.13986481726169586, ""0.01"": 0.1372513473033905, ""0.1"": 0.13885517418384552, ""0.3"": 0.13329455256462097, ""1"": 0.1390714943408966, ""3"": 0.13640150427818298, ""10"": 0.1365942507982254, ""30"": 0.1396060585975647, ""45"": 0.13525183498859406, ""65"": 0.14091168344020844, ""90"": 0.14009615778923035}",0.0931558093828399,0.13329455614772462,0.1063945138585249,12304,0.25220810897818957,0.5285101921891483
chronos2,monash_traffic,5,L5,block_depth,True,0.4166666666666667,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1349400281906128,"{""1e-05"": 0.2753927409648895, ""0.0001"": 0.2800578773021698, ""0.001"": 0.27748551964759827, ""0.01"": 0.2803876996040344, ""0.1"": 0.2805679738521576, ""0.3"": 0.2698800563812256, ""1"": 0.2712976038455963, ""3"": 0.2700914442539215, ""10"": 0.2747141718864441, ""30"": 0.26994746923446655, ""45"": 0.2715117335319519, ""65"": 0.2792198956012726, ""90"": 0.2916196584701538}","{""1e-05"": 0.13769637048244476, ""0.0001"": 0.1400289386510849, ""0.001"": 0.13874275982379913, ""0.01"": 0.1401938498020172, ""0.1"": 0.1402839869260788, ""0.3"": 0.1349400281906128, ""1"": 0.13564880192279816, ""3"": 0.13504572212696075, ""10"": 0.13735708594322205, ""30"": 0.13497373461723328, ""45"": 0.13575586676597595, ""65"": 0.1396099478006363, ""90"": 0.1458098292350769}",0.08997357772981249,0.1349400182802031,0.10967010686188254,12304,0.25220810897818957,0.535034415930982
chronos2,monash_traffic,6,L6,block_depth,True,0.5,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1315590739250183,"{""1e-05"": 0.2709466814994812, ""0.0001"": 0.26564735174179077, ""0.001"": 0.2634958028793335, ""0.01"": 0.2649799883365631, ""0.1"": 0.2670741081237793, ""0.3"": 0.26514947414398193, ""1"": 0.2631181478500366, ""3"": 0.26349276304244995, ""10"": 0.2662256360054016, ""30"": 0.2716842591762543, ""45"": 0.27392810583114624, ""65"": 0.27552324533462524, ""90"": 0.2843632102012634}","{""1e-05"": 0.1354733407497406, ""0.0001"": 0.13282367587089539, ""0.001"": 0.13174790143966675, ""0.01"": 0.13248999416828156, ""0.1"": 0.13353705406188965, ""0.3"": 0.13257473707199097, ""1"": 0.1315590739250183, ""3"": 0.13174638152122498, ""10"": 0.1331128180027008, ""30"": 0.13584212958812714, ""45"": 0.13696405291557312, ""65"": 0.13776162266731262, ""90"": 0.1421816051006317}",0.08942758469405442,0.13155905832714251,0.11224008089940966,12304,0.25220810897818957,0.5216289787832297
chronos2,monash_traffic,7,L7,block_depth,True,0.5833333333333334,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1235472708940506,"{""1e-05"": 0.25618499517440796, ""0.0001"": 0.24953454732894897, ""0.001"": 0.2527337372303009, ""0.01"": 0.2575818598270416, ""0.1"": 0.2541615962982178, ""0.3"": 0.2502997815608978, ""1"": 0.25837433338165283, ""3"": 0.2470945417881012, ""10"": 0.2585086524486542, ""30"": 0.26203951239585876, ""45"": 0.263868123292923, ""65"": 0.27654191851615906, ""90"": 0.2780696749687195}","{""1e-05"": 0.12809249758720398, ""0.0001"": 0.12476727366447449, ""0.001"": 0.12636686861515045, ""0.01"": 0.1287909299135208, ""0.1"": 0.1270807981491089, ""0.3"": 0.1251498907804489, ""1"": 0.12918716669082642, ""3"": 0.1235472708940506, ""10"": 0.1292543262243271, ""30"": 0.13101975619792938, ""45"": 0.1319340616464615, ""65"": 0.13827095925807953, ""90"": 0.13903483748435974}",0.08952612347013639,0.12354727143435988,0.11113083712358511,12304,0.25220810897818957,0.48986240741785186
chronos2,monash_traffic,8,L8,block_depth,True,0.6666666666666666,1e-05,False,True,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,1.0000000000000001e-07,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1237494945526123,"{""1e-05"": 0.2474989891052246, ""0.0001"": 0.25990861654281616, ""0.001"": 0.2536071538925171, ""0.01"": 0.25138187408447266, ""0.1"": 0.2548007071018219, ""0.3"": 0.25014764070510864, ""1"": 0.25142112374305725, ""3"": 0.24809536337852478, ""10"": 0.24963781237602234, ""30"": 0.2569430470466614, ""45"": 0.25578323006629944, ""65"": 0.26427146792411804, ""90"": 0.27165696024894714}","{""1e-05"": 0.1237494945526123, ""0.0001"": 0.12995430827140808, ""0.001"": 0.12680357694625854, ""0.01"": 0.12569093704223633, ""0.1"": 0.12740035355091095, ""0.3"": 0.12507382035255432, ""1"": 0.12571056187152863, ""3"": 0.12404768168926239, ""10"": 0.12481890618801117, ""30"": 0.1284715235233307, ""45"": 0.12789161503314972, ""65"": 0.13213573396205902, ""90"": 0.13582848012447357}",0.08470037913048797,0.12374949068513535,0.11085805770379441,12304,0.25220810897818957,0.49066420261624877
chronos2,monash_traffic,9,L9,block_depth,True,0.75,0.3,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.11877204477787018,"{""1e-05"": 0.24846304953098297, ""0.0001"": 0.24834296107292175, ""0.001"": 0.24527233839035034, ""0.01"": 0.2386488914489746, ""0.1"": 0.2402510643005371, ""0.3"": 0.23754408955574036, ""1"": 0.24148142337799072, ""3"": 0.24226707220077515, ""10"": 0.2408069223165512, ""30"": 0.2523109018802643, ""45"": 0.25432050228118896, ""65"": 0.2608473598957062, ""90"": 0.26785755157470703}","{""1e-05"": 0.12423152476549149, ""0.0001"": 0.12417148053646088, ""0.001"": 0.12263616919517517, ""0.01"": 0.1193244457244873, ""0.1"": 0.12012553215026855, ""0.3"": 0.11877204477787018, ""1"": 0.12074071168899536, ""3"": 0.12113353610038757, ""10"": 0.1204034611582756, ""30"": 0.12615545094013214, ""45"": 0.12716025114059448, ""65"": 0.1304236799478531, ""90"": 0.13392877578735352}",0.08298740747893814,0.1187720448489635,0.10400974292677777,12304,0.25220810897818957,0.47092873155491866
