model,dataset,display_name,role,domain,freq,seasonal_m,provenance_status,provenance_evidence_scope,layer,point_index,point_type,relative_depth,relative_position,kind,train_loss,val_loss,test_loss,test_loss_ci_lo,test_loss_ci_hi,test_mase,test_mae,test_wql,weight_decay,is_tunnel_entrance,is_reference_point,effective_rank_train_headline,normalized_effective_rank_train_headline,native_loss,native_mase
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,Emb,0,block_depth,0.0,0.0,embedding,0.25564915209025185,0.30412575574094103,0.26699543613513915,0.26247001649200463,0.27179992846177736,9.898665403954967,874.6110879550343,1.1631263214601963,3.0,False,False,1.0006743686280868,0.001302961417484488,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L1,1,block_depth,0.08333333333333333,0.08333333333333333,block,0.16281721079281106,0.2226796775828791,0.19756452773363536,0.19033174846420875,0.20533409896839894,5.8123028332341296,636.248836540324,0.941907822246326,0.1,False,False,7.316426440563481,0.009526596927817032,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L2,2,block_depth,0.16666666666666666,0.16666666666666666,block,0.09606005619393616,0.12371622075731972,0.12256940134324645,0.11544489313720349,0.12994754604945485,2.8794923164250346,401.4252715011128,0.6122797639798939,0.01,False,False,10.474237055566759,0.013638329499435884,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L3,3,block_depth,0.25,0.25,block,0.08086808181636389,0.10196871101458109,0.10989426478800428,0.1029799047079051,0.11719414154636383,2.7862569535161645,442.33210212046185,0.6828437290366843,1.0,True,False,14.232604803346586,0.018532037504357533,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L4,4,block_depth,0.3333333333333333,0.3333333333333333,block,0.08209695803319536,0.10319176651821792,0.11091930168958111,0.10419629221064046,0.11787082181802687,3.0480531405297877,442.90359510734163,0.6654054092699582,1.0,False,False,16.675247088513384,0.02171256131316847,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L5,5,block_depth,0.4166666666666667,0.4166666666666667,block,0.0883643872945047,0.10582561060103751,0.11050207551767807,0.10455368069419993,0.1166443269902428,3.547778870696138,390.46274822198995,0.5863147768275878,3.0,False,False,15.621520110326502,0.020340520976987634,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L6,6,block_depth,0.5,0.5,block,0.08923027067948962,0.10597727794683616,0.11268895793393369,0.1068537028659249,0.11882233020017734,3.3641996433014714,376.40902135461494,0.5797354354547053,3.0,False,False,18.85842213050857,0.0245552371490997,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L7,7,block_depth,0.5833333333333334,0.5833333333333334,block,0.09259648431343703,0.10911106244298338,0.11519893605745475,0.10948822176197671,0.12133615149810682,3.4599938822202003,381.0818110074762,0.5887586175862063,3.0,False,False,14.70385608552139,0.01914564594468931,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L8,8,block_depth,0.6666666666666666,0.6666666666666666,block,0.08665310627001857,0.10326130924220303,0.11122627397074954,0.10511257475213581,0.11773028817767177,3.4974332261423093,364.17698926752604,0.5613028484620074,3.0,False,False,15.517050102660422,0.020204492321172423,0.06638680642847512,0.9289487357509286
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L9,9,block_depth,0.75,0.75,block,0.09464507986667166,0.10915667321959524,0.11653690688482678,0.11068053341307144,0.122807963617601,3.456314274758526,359.6620801914818,0.5595615281157976,3.0,False,False,11.855104267264652,0.015436333681334182,0.06638680642847512,0.9289487357509286
