model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,n_depth_points,n_layers_at_wd_grid_max,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,tunnel_index,tunnel_relative_position
timesfm3,monash_electricity_hourly,Electricity,complete,L15,0.75,L20,0.13164617121219635,0.16827574372291565,1.0762814476770046,0.9474402281762001,123.38882446289062,2026-09-22T03:57:39+00:00,21,16,21,262,262,1394,262,0.1448194282535972,L20,True,timesfm3/monash_electricity_hourly,source_family,undocumented,24,15,0.75
timesfm3,uber_tlc_hourly,Uber TLC,complete,L1,0.05,L20,0.20720285177230835,0.26307129859924316,0.9416935706353478,0.8170108598282969,85.89898943901062,2026-09-22T04:03:10+00:00,21,19,21,262,262,1394,262,0.23748269561002341,L20,True,timesfm3/uber_tlc_hourly,source_family,undocumented,24,1,0.05
timesfm3,wind_farms_hourly,Wind Farms,complete,Emb,0.0,L20,0.20043906569480896,0.6077083349227905,4.730830030987012,4.313073160635614,85.3818690776825,2026-09-22T04:06:17+00:00,21,18,21,262,262,1394,262,0.5715493210097055,L20,True,timesfm3/wind_farms_hourly,source_family,undocumented,24,0,0.0
timesfm3,sg_carpark,SG Carpark,complete,L5,0.25,L20,0.16782620549201965,0.13341951370239258,0.7975385920607535,0.6031922346259811,84.9068443775177,2026-09-22T04:09:25+00:00,21,16,21,354,354,1394,354,0.09984461537635975,L20,True,timesfm3/sg_carpark,source_family,undocumented,24,5,0.25
timesfm3,coastal_ts,Coastal T-S,complete,Emb,0.0,L20,0.3168807029724121,0.3291597366333008,1.3211898786795857,1.0858325172364742,81.83599781990051,2026-09-22T04:12:23+00:00,21,21,21,48,24,1394,48,0.2727219187654555,L20,True,timesfm3/coastal_ts,source_family,undocumented,24,0,0.0
timesfm3,boom_hourly,BOOM,complete,Emb,0.0,L20,0.19227200746536255,0.23762404918670654,1.3427051153853997,0.9327029110293222,85.11538529396057,2026-09-22T04:15:26+00:00,21,18,21,354,354,1394,354,0.1865448418987907,L20,True,timesfm3/boom_hourly,source_family,undocumented,24,0,0.0
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,complete,L1,0.05,L20,0.27794763445854187,0.23756526410579681,1.2080773698223777,1.2305916869620719,83.72737526893616,2026-09-22T04:18:31+00:00,21,20,21,262,262,1394,262,0.23187647919163448,L20,True,timesfm3/LOOP_SEATTLE_5T,benchmark_exclusion,explicitly_held_out,288,1,0.05
timesfm3,electricity_15min,Electricity 15min,complete,L1,0.05,L20,0.168042853474617,0.20493243634700775,1.3530632142930108,1.2037670286285254,84.02369451522827,2026-09-22T04:21:40+00:00,21,13,21,262,262,1394,262,0.17785848934993856,L20,True,timesfm3/electricity_15min,source_family,undocumented,96,1,0.05
timesfm3,SZ_TAXI_15T,SZ Taxi,complete,Emb,0.0,L20,0.2943754196166992,0.33116278052330017,0.8375555652048811,0.757950397011711,82.48989486694336,2026-09-22T04:24:41+00:00,21,21,21,156,156,1394,156,0.29280442625093156,L20,True,timesfm3/SZ_TAXI_15T,benchmark_exclusion,explicitly_held_out,96,0,0.0
timesfm3,monash_london_smart_meters,London Smart Meters,complete,L1,0.05,L20,0.2593572437763214,0.21758228540420532,0.8985795941400927,0.7908213643464879,83.53529500961304,2026-09-22T04:27:44+00:00,21,20,21,262,262,1394,262,0.19158097312035652,L20,True,timesfm3/monash_london_smart_meters,source_family,undocumented,48,1,0.05
timesfm3,m5,M5,complete,Emb,0.0,L20,0.27857813239097595,0.29382410645484924,1.0734407533824102,0.9739977300024973,83.57247018814087,2026-09-22T04:30:49+00:00,21,21,21,262,262,1394,262,0.2667587627781171,L20,True,timesfm3/m5,benchmark_exclusion,explicitly_held_out,7,0,0.0
timesfm3,wiki_daily_100k,Wiki Daily,complete,Emb,0.0,L20,0.2609933316707611,0.24853195250034332,0.8675768915678509,0.7912765471622331,83.63708639144897,2026-09-22T04:33:54+00:00,21,21,21,262,262,1394,262,0.23198225653645022,L20,True,timesfm3/wiki_daily_100k,source_level,pretraining_exposed,7,0,0.0
timesfm3,monash_traffic,Traffic,complete,Emb,0.0,L20,0.1417350322008133,0.1156979650259018,0.7998611252057944,0.49362965807582715,83.46586918830872,2026-09-22T04:36:59+00:00,21,17,21,262,262,1394,262,0.07233969129103002,L20,True,timesfm3/monash_traffic,source_family,undocumented,24,0,0.0
tirex,m4_hourly,M4,complete,L12,1.0,L12,0.08870669897958522,0.10566483562428305,1.2359011609420771,0.8115398543446835,48.66951012611389,2026-09-22T04:01:40+00:00,13,1,14,262,262,1394,262,0.08313329270436563,L12+RMS,True,tirex/m4_hourly,source_family,undocumented,24,12,1.0
tirex,monash_electricity_hourly,Electricity,complete,L11,0.9166666666666666,L12,0.10572601802192116,0.15129490924700525,1.004968238245087,0.8125547099156809,52.744712352752686,2026-09-22T03:58:33+00:00,13,0,14,262,262,1394,262,0.12521859609836514,L12+RMS,True,tirex/monash_electricity_hourly,source_family,undocumented,24,11,0.9166666666666666
tirex,uber_tlc_hourly,Uber TLC,complete,L10,0.8333333333333334,L12,0.19447773935998441,0.24756686808896883,0.8949181497385142,0.8021043372682952,49.03097200393677,2026-09-22T04:04:00+00:00,13,0,14,262,262,1394,262,0.2316172328090672,L12+RMS,True,tirex/uber_tlc_hourly,source_family,undocumented,24,10,0.8333333333333334
tirex,wind_farms_hourly,Wind Farms,complete,L2,0.16666666666666666,L12,0.19035883379019514,0.5894423668301231,4.510614401458697,4.29954133505581,48.54361271858215,2026-09-22T04:07:07+00:00,13,1,14,262,262,1394,262,0.5669503775440251,L12+RMS,True,tirex/wind_farms_hourly,source_family,undocumented,24,2,0.16666666666666666
tirex,sg_carpark,SG Carpark,complete,L11,0.9166666666666666,L12,0.12693796195300286,0.12068319979444736,0.7215897227056953,0.6503373497883956,48.855196475982666,2026-09-22T04:10:15+00:00,13,0,14,354,354,1394,354,0.1077615816677568,L12+RMS,True,tirex/sg_carpark,source_family,undocumented,24,11,0.9166666666666666
tirex,coastal_ts,Coastal T-S,complete,L1,0.08333333333333333,L12,0.29150772172336775,0.2931974120438099,1.272508689689081,1.1318211957477553,45.34077215194702,2026-09-22T04:13:08+00:00,13,13,14,48,24,1394,48,0.27120972824438166,L12+RMS,True,tirex/coastal_ts,source_family,undocumented,24,1,0.08333333333333333
tirex,boom_hourly,BOOM,complete,L1,0.08333333333333333,L12,0.16780934535429975,0.2124392209090503,1.1735978869062436,0.9384848774585556,49.73552966117859,2026-09-22T04:16:17+00:00,13,1,14,354,354,1394,354,0.18503368223506278,L12+RMS,True,tirex/boom_hourly,source_family,undocumented,24,1,0.08333333333333333
tirex,LOOP_SEATTLE_5T,Loop Seattle,complete,L8,0.6666666666666666,L12,0.265585181040277,0.21597458543042644,1.137808315304656,1.20304473467509,50.75369048118591,2026-09-22T04:19:23+00:00,13,13,14,262,262,1394,262,0.22953103609269357,L12+RMS,True,tirex/LOOP_SEATTLE_5T,source_family,undocumented,288,8,0.6666666666666666
tirex,electricity_15min,Electricity 15min,complete,L10,0.8333333333333334,L12,0.13970855966153492,0.20106493616263374,1.3252179282229317,1.2409612395737233,48.49752879142761,2026-09-22T04:22:29+00:00,13,0,14,262,262,1394,262,0.186276756755662,L12+RMS,True,tirex/electricity_15min,source_family,undocumented,96,10,0.8333333333333334
tirex,SZ_TAXI_15T,SZ Taxi,complete,Emb,0.0,L12,0.2801620602512207,0.3144265403254674,0.8053912859123462,0.7665431299304459,46.35479760169983,2026-09-22T04:25:28+00:00,13,14,14,156,156,1394,156,0.2952124981257396,L12+RMS,True,tirex/SZ_TAXI_15T,source_family,undocumented,96,0,0.0
tirex,monash_london_smart_meters,London Smart Meters,complete,L8,0.6666666666666666,L12,0.24485745539760773,0.20255397652624219,0.8516940718098304,0.7783848242617092,48.494479179382324,2026-09-22T04:28:34+00:00,13,10,14,262,262,1394,262,0.18796463679870634,L12+RMS,True,tirex/monash_london_smart_meters,source_family,undocumented,48,8,0.6666666666666666
tirex,m5,M5,complete,Emb,0.0,L12,0.271815336856792,0.2881787173194057,1.0634081726343696,0.9941386830111403,48.543142557144165,2026-09-22T04:31:39+00:00,13,14,14,262,262,1394,262,0.2719629580165679,L12+RMS,True,tirex/m5,benchmark_exclusion,explicitly_held_out,7,0,0.0
tirex,wiki_daily_100k,Wiki Daily,complete,L1,0.08333333333333333,L12,0.2557360143151902,0.2416381415207195,0.8526871327819101,0.8145906532768644,48.5438449382782,2026-09-22T04:34:44+00:00,13,12,14,262,262,1394,262,0.23507278152734382,L12+RMS,True,tirex/wiki_daily_100k,source_family,undocumented,7,1,0.08333333333333333
tirex,monash_traffic,Traffic,complete,L12,1.0,L12,0.10341688495783405,0.09866984455867578,0.6981769395774609,0.5085091645489694,48.944889068603516,2026-09-22T04:37:49+00:00,13,1,14,262,262,1394,262,0.07530317072737037,L12+RMS,True,tirex/monash_traffic,source_family,undocumented,24,12,1.0
