model,dataset,display_name,geometry_variant,split,estimator,n_rows,feature_dim,null_floor_mean,null_floor_std,is_headline_estimator,is_headline_variant,axis,path,n_layers,labels,mean_offdiagonal_cka,mean_offdiagonal_above_null_floor,is_main_depth_axis
chronos2,m4_hourly,M4,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,block_depth,chronos2/m4_hourly/cka/cka_unbiased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6622073038705423,0.6627824425145338,True
chronos2,m4_hourly,M4,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,with_head_input,chronos2/m4_hourly/cka/cka_unbiased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,m4_hourly,M4,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,block_depth,chronos2/m4_hourly/cka/cka_biased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6632279974483356,0.24077716729206455,True
chronos2,m4_hourly,M4,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,with_head_input,chronos2/m4_hourly/cka/cka_biased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,m4_hourly,M4,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,block_depth,chronos2/m4_hourly/cka/cka_unbiased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6420654254081566,0.6419866433554283,True
chronos2,m4_hourly,M4,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,with_head_input,chronos2/m4_hourly/cka/cka_unbiased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,m4_hourly,M4,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,block_depth,chronos2/m4_hourly/cka/cka_biased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6422770052805306,0.5211463708640758,True
chronos2,m4_hourly,M4,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,with_head_input,chronos2/m4_hourly/cka/cka_biased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
timesfm3,monash_electricity_hourly,Electricity,headline,test,unbiased,262,1280,0.0033159827594816064,0.003989965507240931,True,True,block_depth,timesfm3/monash_electricity_hourly/cka/cka_unbiased_headline_test.npy,21,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L13|L14|L15|L16|L17|L18|L19|L20,0.7827666333437021,0.7794506505842205,True
timesfm3,monash_electricity_hourly,Electricity,headline,test,biased,262,1280,0.8304606782265673,0.0006649903837003008,False,True,block_depth,timesfm3/monash_electricity_hourly/cka/cka_biased_headline_test.npy,21,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L13|L14|L15|L16|L17|L18|L19|L20,0.7926387406709063,-0.03782193755566099,True
timesfm3,monash_electricity_hourly,Electricity,headline,train,unbiased,1394,1280,0.0004902292214002357,0.0005379021492911964,True,True,block_depth,timesfm3/monash_electricity_hourly/cka/cka_unbiased_headline_train.npy,21,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L13|L14|L15|L16|L17|L18|L19|L20,0.7129321473258455,0.7124419181044453,True
timesfm3,monash_electricity_hourly,Electricity,headline,train,biased,1394,1280,0.4789395362640259,7.806851082607157e-05,False,True,block_depth,timesfm3/monash_electricity_hourly/cka/cka_biased_headline_train.npy,21,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L13|L14|L15|L16|L17|L18|L19|L20,0.7152871562253229,0.236347619961297,True
tirex,monash_electricity_hourly,Electricity,pos0,test,unbiased,262,512,0.0009349510857923443,0.0013295209030434042,True,True,block_depth,tirex/monash_electricity_hourly/cka/cka_unbiased_pos0_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.8328737645288737,0.8319388134430814,True
tirex,monash_electricity_hourly,Electricity,pos0,test,unbiased,262,512,0.0009349510857923443,0.0013295209030434042,True,True,with_head_input,tirex/monash_electricity_hourly/cka/cka_unbiased_pos0_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,monash_electricity_hourly,Electricity,pos0,test,biased,262,512,0.661129511665416,0.0006940544160263476,False,True,block_depth,tirex/monash_electricity_hourly/cka/cka_biased_pos0_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.8348027438720644,0.17367323220664843,True
tirex,monash_electricity_hourly,Electricity,pos0,test,biased,262,512,0.661129511665416,0.0006940544160263476,False,True,with_head_input,tirex/monash_electricity_hourly/cka/cka_biased_pos0_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,monash_electricity_hourly,Electricity,all_positions_from_L1,test,unbiased,524,512,-0.0038770456645745616,0.001982255530296756,True,False,block_depth,tirex/monash_electricity_hourly/cka/cka_unbiased_all_positions_from_L1_test.npy,12,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.8590348798429626,0.8629119255075371,True
