model,dataset,display_name,role,domain,freq,seasonal_m,provenance_status,provenance_evidence_scope,layer,point_index,point_type,relative_depth,relative_position,kind,train_loss,val_loss,test_loss,test_loss_ci_lo,test_loss_ci_hi,test_mase,test_mae,test_wql,weight_decay,is_tunnel_entrance,is_reference_point,effective_rank_train_headline,normalized_effective_rank_train_headline,native_loss,native_mase
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,L12+LN,13,head_input_diagnostic,,,final_norm,0.09305398135981822,0.10519884657541304,0.11154310567347148,0.10591253286426645,0.11756690398128773,3.9788897088874573,371.15729872737217,0.5308368868373887,3.0,False,False,,,0.06638680642847512,0.9289487357509286
chronos2,monash_electricity_hourly,Electricity,primary,energy,1H,24,pretraining_exposed,exact_dataset,L12+LN,13,head_input_diagnostic,,,final_norm,0.0899676440104607,0.08163493149380648,0.11398394875057781,0.107504627496388,0.12104052802732655,0.9863408957473264,246.68154338950072,0.756014740640376,3.0,False,False,,,0.09895731385362705,0.836189238049318
chronos2,uber_tlc_hourly,Uber TLC,primary,transport / ride demand,1H,24,pretraining_exposed,source_family,L12+LN,13,head_input_diagnostic,,,final_norm,0.1616768137614645,0.16115180971740767,0.18117511650646917,0.17487858031655995,0.18741210306077513,0.9524772846526908,5.146714788042036,2.1883397211112894,3.0,False,False,,,0.16527190507244752,0.8060061844402894
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,L12+LN,13,head_input_diagnostic,,,final_norm,0.14312671893510107,0.15911684934590153,0.16487398309960166,0.1491006300823749,0.18142547304670945,4.753170365993777,16.231267844378017,1.6747555046531133,3.0,False,False,,,0.13527465271037017,4.3542799551847065
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L12+LN,13,head_input_diagnostic,,,final_norm,0.1013404237403076,0.0988886543881085,0.09853811070617646,0.09148414315350649,0.10644959157890518,0.7616693427285322,11.504220267350712,0.38036593081997366,3.0,False,False,,,0.07320929818923486,0.5977898889598999
chronos2,coastal_ts,Coastal T-S,primary,nature / oceanography,1H,24,not_listed,exact_dataset,L12+LN,13,head_input_diagnostic,,,final_norm,0.1697629372211149,0.2089557338040322,0.1984434463083744,0.17125005649480346,0.2256865635397844,1.1699210334830816,0.301655651570786,0.07662055814729787,3.0,False,False,,,0.19243897823616862,1.1274563050077802
chronos2,boom_hourly,BOOM,primary,cloud observability,1H,24,not_listed,benchmark_exclusion,L12+LN,13,head_input_diagnostic,,,final_norm,0.15024330467520178,0.11151615690208425,0.12816124143194682,0.11792899724227603,0.13873679267958144,1.2395016010112163,0.3667063350572478,3.529628602175519,3.0,False,False,,,0.1062024807498105,0.9436372748392822
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L12+LN,13,head_input_diagnostic,,,final_norm,0.16610749379612794,0.18832342980699684,0.16895444034278848,0.15923007112245238,0.17895321236987322,1.1248700585700988,4.916934767455802,0.6171085906301893,3.0,False,False,,,0.18841547164923816,1.2865068302940506
chronos2,electricity_15min,Electricity 15min,control,energy,15min,96,pretraining_exposed,source_level,L12+LN,13,head_input_diagnostic,,,final_norm,0.09976545782757114,0.1003302363465533,0.16280197340796013,0.15149050098381764,0.17486112784516095,1.4655614675966666,95.47968635652424,1.1974170869037737,3.0,False,False,,,0.1460116737404881,1.2667803585358441
chronos2,SZ_TAXI_15T,SZ Taxi,primary,road speed,15min,96,explicitly_held_out,benchmark_exclusion,L12+LN,13,head_input_diagnostic,,,final_norm,0.1969138830499336,0.22208003093225834,0.23955826432659075,0.23025880771426435,0.25088801252631804,0.7920588415275255,2.7800332692347056,1.8404705404217458,3.0,False,False,,,0.23294557592807671,0.7733281950337813
chronos2,monash_london_smart_meters,London Smart Meters,primary,residential energy,30min,48,pretraining_exposed,exact_dataset,L12+LN,13,head_input_diagnostic,,,final_norm,0.15061927873539702,0.1540395856358623,0.1453201860217875,0.1386499843677463,0.15208016107292516,0.8516733131222557,0.09528281084768328,3.3578903152631727,3.0,False,False,,,0.1321126546467235,0.7762674154725767
chronos2,m5,M5,primary,retail,1D,7,explicitly_held_out,benchmark_exclusion,L12+LN,13,head_input_diagnostic,,,final_norm,0.20208180702987583,0.21703002037380942,0.223825252949054,0.2156892703654145,0.23203766579377172,1.1206151928045966,1.061535669815556,5.453398236755523,3.0,False,False,,,0.19601279744018182,0.9809678116775947
chronos2,wiki_daily_100k,Wiki Daily,primary,web traffic,1D,7,pretraining_exposed,exact_dataset,L12+LN,13,head_input_diagnostic,,,final_norm,0.16833725820430467,0.17453010310596637,0.18307814515330864,0.17265115230138064,0.19385563298661743,0.8451729023854658,41.28003735261143,2.293318348814582,3.0,False,False,,,0.17472419494457314,0.7975885759832922
chronos2,monash_traffic,Traffic,primary,road volume,1H,24,undocumented,source_family,L12+LN,13,head_input_diagnostic,,,final_norm,0.08091858112476392,0.09122938500674627,0.08403686143969762,0.07980334721256815,0.08816529859909575,0.7175747221284089,0.011977532833062033,1.9976820923404195,3.0,False,False,,,0.06062586568180429,0.4892326155438858
tirex,m4_hourly,M4,primary,mixed hourly,1H,24,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.06061561405658722,0.0892325185580563,0.10897964881804154,0.09894440368027604,0.11975319372518485,1.556753136521596,313.0871243933053,0.4485849286917658,3.0,False,False,,,0.08313329270436563,0.8115398543446835
tirex,monash_electricity_hourly,Electricity,primary,energy,1H,24,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.09305763989686966,0.10096476844135131,0.1519131691884676,0.14268827730619155,0.16246429534756954,1.0040281958243804,256.2205396842563,0.758196201490464,10.0,False,False,,,0.12521859609836514,0.8125547099156809
tirex,uber_tlc_hourly,Uber TLC,primary,transport / ride demand,1H,24,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.1913171261548996,0.191359251062208,0.2430937081390551,0.23347103218050347,0.2526978185606537,0.8621482912197036,4.911470369601884,2.080667836718201,10.0,False,False,,,0.2316172328090672,0.8021043372682952
tirex,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,11.955171585083008,0.18572006308836222,0.5835196546826312,0.16109853997339588,1.4041065263344181,4.444617687650775,13.913947763192834,1.4064476828896562,10.0,False,False,,,0.5669503775440251,4.29954133505581
tirex,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.1031898558139801,0.12382406638251187,0.11634276729434898,0.10358887350523455,0.13067514107267944,0.6915618996264857,10.682326614991307,0.31493581131236825,10.0,False,False,,,0.1077615816677568,0.6503373497883956
tirex,coastal_ts,Coastal T-S,primary,nature / oceanography,1H,24,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.2462759017944336,0.29093548834013444,0.28456913951473933,0.2429445550350162,0.3302222175795274,1.1865975249827332,0.31081093895399725,0.07850954550577524,30.0,False,False,,,0.27120972824438166,1.1318211957477553
tirex,boom_hourly,BOOM,primary,cloud observability,1H,24,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,10.76634693145752,0.1568050439585274,0.20172691528585418,0.15593171177049153,0.26384608425025036,1.0697681401221109,0.32207538276470654,3.107167626302573,10.0,False,False,,,0.18503368223506278,0.9384848774585556
tirex,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.2547367215156555,0.26501099975736997,0.21579995259415102,0.19827443278956278,0.2341123760837834,1.1182887737273195,4.939775421155114,0.5872602292980943,30.0,False,False,,,0.22953103609269357,1.20304473467509
tirex,electricity_15min,Electricity 15min,control,energy,15min,96,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.11042903363704681,0.13511895289545067,0.19911970100756593,0.18015879237320528,0.22085758841735176,1.3143382440583564,84.0525291322753,1.0500540225975836,10.0,False,False,,,0.186276756755662,1.2409612395737233
tirex,SZ_TAXI_15T,SZ Taxi,primary,road speed,15min,96,undocumented,source_family,L12+RMS,13,head_input_diagnostic,,,final_norm,0.2464745193719864,0.2803823373113305,0.31279893071414566,0.2903844838496298,0.3402287042198272,0.8033380236902121,2.791055732223031,1.8321940952265787,30.0,False,False,,,0.2952124981257396,0.7665431299304459
