model,quantity,m4_hourly,monash_electricity_hourly,uber_tlc_hourly,wind_farms_hourly,sg_carpark,coastal_ts,boom_hourly,LOOP_SEATTLE_5T,electricity_15min,SZ_TAXI_15T,monash_london_smart_meters,m5,wiki_daily_100k,monash_traffic
chronos2,normalized_tunnel_entrance (block_index/num_blocks),0.25,,,,,,,,,,,,,
chronos2,tunnel_entrance_representation_label,L3,,,,,,,,,,,,,
chronos2,tunnel_entrance_relative_position,0.25,,,,,,,,,,,,,
timesfm3,normalized_tunnel_entrance (block_index/num_blocks),,0.75,,,,,,,,,,,,
timesfm3,tunnel_entrance_representation_label,,L15,,,,,,,,,,,,
timesfm3,tunnel_entrance_relative_position,,0.75,,,,,,,,,,,,
tirex,normalized_tunnel_entrance (block_index/num_blocks),,0.9166666666666666,,,,,,,,,,,,
tirex,tunnel_entrance_representation_label,,L11,,,,,,,,,,,,
tirex,tunnel_entrance_relative_position,,0.9166666666666666,,,,,,,,,,,,
