model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,Emb,block_depth,True,0,624,768,1.0006743612112372,0.0013029614078271317,0.0016062188783486954,0.0006741339318888356,0.9999377120215225,7,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L1,block_depth,True,1,624,768,12.082975765367204,0.015733041361155213,0.01939482466351076,2.4917975003630475,0.23639819304470905,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L2,block_depth,True,2,624,768,15.25050004848819,0.019857421938135663,0.0244791333041544,2.7246122925806375,0.22419751518269784,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L3,block_depth,True,3,624,768,26.386987733571974,0.034358056944755175,0.04235471546319739,3.2728709997627683,0.19023957234173372,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L4,block_depth,True,4,624,768,44.110718907411325,0.05743583191069183,0.07080372216277901,3.78670281204369,0.163547092456687,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L5,block_depth,True,5,624,768,63.535324200179716,0.08272828671898401,0.10198286388471864,4.151596037845607,0.13735822888777338,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L6,block_depth,True,6,624,768,85.33564612843297,0.11111412256306376,0.13697535494130492,4.446592258511745,0.09271960562320601,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L7,block_depth,True,7,624,768,87.9964820059984,0.11457875261197709,0.14124635956019005,4.477296836474533,0.09987905116852865,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L8,block_depth,True,8,624,768,91.15332979399011,0.1186892315025913,0.14631353096948654,4.512543031384369,0.10649361303415421,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L9,block_depth,True,9,624,768,82.45709488347053,0.10736600896285226,0.13235488745340374,4.41227809604294,0.11483448747177467,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L10,block_depth,True,10,624,768,72.72976789163961,0.09470021860890575,0.11674120046812136,4.286750762791078,0.11855166770551848,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L11,block_depth,True,11,624,768,51.29227476967318,0.06678681610634528,0.0823310991487531,3.9375401515518957,0.18202719509897472,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L12,block_depth,True,12,624,768,12.046345764713891,0.015685346047804544,0.019336028514789553,2.4887613579049117,0.3447733402540349,623,623.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,test,L12+LN,head_input_diagnostic,False,13,624,768,26.92878792095794,0.03506352593874732,0.04322437868532575,3.293195897305505,0.17595779060198133,623,623.0,False
chronos2,SZ_TAXI_15T,SZ Taxi,headline,train,Emb,block_depth,True,0,5576,768,1.0006743686280868,0.001302961417484488,0.001302961417484488,0.0006741413437400113,0.9999377112495059,3,768.0,True
chronos2,SZ_TAXI_15T,SZ Taxi,headline,train,L1,block_depth,True,1,5576,768,13.408070706182144,0.017458425398674666,0.017458425398674666,2.595856817158262,0.2560009506637198,768,768.0,True
