model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
timesfm3,coastal_ts,hard,8,L8,0.4,False,121.06986562410991,101.99534014624408,79.30934680349387,139.06563337643942,114.99107600240957,26.91951775696874,2.8973540955984602,105.90118905517446,83.83991705481115,131.0257085838045,343.8969157066545,247.21936653329115,471.4415153834902,509.91653339904855,False,False,,,,,,,0
timesfm3,coastal_ts,hard,9,L9,0.45,False,97.74737071990967,110.49266101547691,85.916677753636,142.73563059171042,113.99918351491083,28.863226928967634,4.489357554908247,104.98770430929025,83.55286916546669,127.64143275380899,532.8572779498048,368.77388338537276,697.6889917109431,523.3734329374804,False,False,,,,,,,0
timesfm3,coastal_ts,hard,10,L10,0.5,False,78.6091176668803,114.54547736691013,89.06805915092157,82.46530063947041,115.90683135537802,29.860068668012165,2.320249607734775,106.74455520265678,84.94332001317947,130.8680601617463,275.3984005550931,205.42613248525964,362.98668218552825,302.3782311044599,False,False,,,,,,,0
timesfm3,coastal_ts,hard,11,L11,0.55,False,61.66893402735392,132.70776780538162,103.1906591546587,68.2225975592931,128.06160944497083,30.99837269306704,1.8030557812444288,117.93851474402751,95.38090811463869,142.43219172360318,214.01088771268547,162.6844490488062,279.77016958764,250.1540431110344,False,False,,,,,,,0
timesfm3,coastal_ts,hard,12,L12,0.6,False,59.67111659049988,138.3579933478933,107.58415101837028,57.02309079964956,117.342191653167,30.511887330254453,2.0106908124110654,108.06645223626013,92.95008880313966,122.97987828265478,238.6558031958627,160.9479647665289,337.8956105502208,209.08844319248416,False,False,,,,,,,0
timesfm3,coastal_ts,hard,13,L13,0.65,False,55.45173887411753,128.26496997690245,99.7360366861082,59.49477914969126,119.84326968816056,28.73239585618174,1.7540557623986375,110.36982348065172,90.4810457910368,132.40801917928832,208.19490706460562,150.26200179374078,290.988384139895,218.15146418836457,False,False,,,,,,,0
timesfm3,coastal_ts,hard,14,L14,0.7,False,38.793153484662376,123.11165480895222,95.72893146682414,43.12886309623718,105.64395395731094,26.846935479583028,1.4071981678719507,97.29294419625134,83.64293846760017,112.34301579738727,167.025187033365,114.96092302163439,234.73870501353937,158.1420213284797,False,False,,,,,,,0
timesfm3,coastal_ts,hard,15,L15,0.75,False,90.56719835599263,137.20907087770695,106.69077402185567,89.54563045501709,128.98792615033176,30.797386594329385,2.8106365248124834,118.79160738347146,96.91636447292414,142.77317317820186,333.60410918494733,263.71813988884065,415.0774517788689,328.33990939410955,False,False,,,,,,,0
timesfm3,coastal_ts,hard,16,L16,0.8,False,29.02412297328313,101.21876784958573,78.70550116206208,27.451388041178387,85.91292901221489,19.898082818306438,0.7790874701653205,79.12162972903829,66.33713270213383,92.07622622030897,92.47256952906642,72.49793025168816,116.16492219159966,100.65690772829943,False,False,,,,,,,0
timesfm3,coastal_ts,hard,17,L17,0.85,False,21.651610056559246,76.71607693054216,59.65274435051663,21.716752628485363,70.69498273800092,18.60846292417609,0.6602626201178383,65.10664124955619,55.74785945303524,75.43765797682708,78.36883968026645,62.147365873614824,97.9564238685105,79.62953138124527,False,False,,,,,,,0
timesfm3,coastal_ts,hard,18,L18,0.9,False,15.053256452083588,56.74445855643313,44.12325049728621,14.780165076255798,51.185686025304456,13.778911322210655,0.47425960052776317,47.13952770187995,39.6398823837653,54.765948329595275,56.29150199954403,43.396243989892774,70.8428957964886,54.19491757786726,False,False,,,,,,,0
timesfm3,coastal_ts,hard,19,L19,0.95,False,1.5300747727354367,5.690982102653777,4.425183273909262,1.4165588070948918,4.632346322441113,1.2357093315920926,0.04770166012224698,4.26616569490661,3.4990278868783187,5.204503076931785,5.6618739887709335,4.223626552833693,7.662807787995274,5.194142785187183,False,False,,,,,,,0
timesfm3,coastal_ts,hard,20,L20,1.0,False,0.30225678517793614,1.2860443851461756,1.0,0.27272234624251723,1.0858336627599081,0.3048477848723003,0.008425065661449302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
timesfm3,coastal_ts,noa,0,Emb,0.0,False,0.39602519820133847,1.4366449516057551,1.1171037082382362,0.3831191312832137,1.3136911372720095,0.37157271712956863,0.013408792313683374,1.2098456534612738,1.0875555145743627,1.3496907019776931,1.5915356452399159,1.2975286640050714,1.9145629623574212,1.404795523952139,False,False,0.9900245363220704,True,False,0.0,1425,,1803584
timesfm3,coastal_ts,noa,1,L1,0.05,False,1.4902430673440297,2.6654015269171447,2.0725579596649673,1.5127319681147735,2.685451149068701,0.8255948126511928,0.05032256413595697,2.473169916507266,2.0883226692204158,2.8921501528567397,5.972958094109423,4.317002950234122,7.890343327900653,5.546784078960595,False,False,0.9390950864476193,True,False,0.1,1475,,1803584
timesfm3,coastal_ts,noa,2,L2,0.1,False,2.519848239297668,3.6995144146549115,2.876661534690666,1.717655726398031,3.3424325027604596,1.0502943284955963,0.04898060966728564,3.078217794671111,2.6343696875778395,3.5482713647795,5.813676905974388,4.347763246565949,8.092967354735261,6.298184765800646,False,False,0.908404148835861,True,False,0.0,1325,,1803584
timesfm3,coastal_ts,noa,3,L3,0.15,False,3.137736471990744,5.011357564037778,3.896722089780884,2.4883213937282562,4.356927569908401,1.3710231064645264,0.09041169048730162,4.012518417263118,3.406715187876455,4.660834089159779,10.73127428561177,6.050332922852259,17.231838843239803,9.124009924421545,False,False,0.9244756427888513,True,False,1.0,1500,,1803584
timesfm3,coastal_ts,noa,4,L4,0.2,False,4.852715894579887,5.612403101429112,4.36408196035255,3.2282126353432736,5.376682947544649,1.7681359295671664,0.11210283340669669,4.951663530009295,4.027051431102832,6.059097334423568,13.305870590379762,9.079082968915039,18.857927286615205,11.836993483741148,False,False,0.8643500285479676,True,False,0.0,1350,,1803584
