pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,5,L5,4.957555,1.651456,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,6,L6,5.025268,1.694865,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,7,L7,5.095009,1.662574,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,8,L8,5.186079,1.656704,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,9,L9,4.780732,1.610484,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,10,L10,4.974094,1.706765,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,11,L11,4.896364,1.6909,True,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,12,L12,4.796709,1.708811,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,13,L12+LN,4.660257,1.565664,False,True,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,0,Emb,4.680739,2.18919,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,1,L1,4.432387,2.911122,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,2,L2,4.208902,2.607156,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,3,L3,3.616477,1.964236,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,4,L4,3.604255,1.977427,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,5,L5,3.430197,1.88511,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,6,L6,3.427612,1.760321,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,7,L7,3.289897,1.650107,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,8,L8,3.443926,1.678465,False,False,True
