pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,val_selected_layer_label,quantile_loss_at_selected,quantile_loss_at_reference,mase_at_selected,mase_at_reference,transfer_gap,relative_regret_at_selected_supp,n_test_windows,n_test_clusters
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,L11,2.384793,2.334594,1.181491,1.120473,,0.021502,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,L11,4.896364,4.660257,1.6909,1.565664,,0.050664,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,L11,4.585136,3.815796,6.666787,2.055299,,0.393702,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,L12+LN,2.64756,2.64756,1.229059,1.229059,,0.0,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,L12+LN,5.42536,5.42536,1.994382,1.994382,,0.030714,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,L12+LN,3.532044,3.532044,1.813921,1.813921,,0.0,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,2,3,L12+LN,q9,fslot_mlp,native_mlp,L3,2.904235,2.786318,1.336433,1.307914,,0.103033,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,2,3,L12+LN,q9,fslot_mlp,native_mlp,L3,5.483702,4.773664,2.086681,1.711768,,0.148773,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,boom_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,2,3,L12+LN,q9,fslot_mlp,native_mlp,L3,4.566559,4.406535,2.491209,2.409034,,0.27942,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,sg_carpark,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,1,5,L12+LN,q9,fslot_mlp,native_mlp,L5,2.707577,2.582205,1.28644,1.148014,,0.048553,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,coastal_ts,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,1,5,L12+LN,q9,fslot_mlp,native_mlp,L5,5.294896,4.364968,1.697211,1.496409,,0.213044,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,boom_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,1,5,L12+LN,q9,fslot_mlp,native_mlp,L5,3.483501,2.887062,1.578868,1.408038,,0.20659,354,354
