,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.199466,0.207894,0.207641,0.201234,0.180283,0.186338,0.178642,0.205877,0.184483,0.162325,0.086188,0.026738,0.071101
L1,0.197707,0.995724,0.988940,0.978990,0.952126,0.919057,0.884545,0.876444,0.855641,0.823086,0.814803,0.812534,0.740919,0.643129
L2,0.199655,0.982176,0.996954,0.993545,0.976234,0.949001,0.914843,0.907923,0.887164,0.856903,0.853576,0.855174,0.792253,0.679954
L3,0.201780,0.968940,0.989872,0.996538,0.987652,0.967504,0.936219,0.930251,0.908976,0.878793,0.876770,0.878014,0.820356,0.705654
L4,0.197711,0.943898,0.970972,0.984537,0.996655,0.987183,0.962340,0.957417,0.936236,0.905404,0.899714,0.892042,0.838488,0.734448
L5,0.178958,0.911184,0.942001,0.961942,0.985140,0.996381,0.982714,0.979693,0.960253,0.929977,0.918442,0.896261,0.844180,0.757032
L6,0.187803,0.877185,0.908137,0.930509,0.960096,0.982327,0.994623,0.991611,0.973509,0.938530,0.917031,0.877515,0.818281,0.750331
L7,0.181873,0.864476,0.896893,0.920128,0.950435,0.974935,0.988023,0.994123,0.978804,0.948718,0.926758,0.880066,0.821519,0.760827
L8,0.206347,0.849875,0.884331,0.907282,0.937304,0.962167,0.976134,0.984084,0.990584,0.965766,0.939777,0.879387,0.815927,0.767878
L9,0.183555,0.828465,0.865586,0.888998,0.918345,0.943464,0.952379,0.965203,0.975906,0.980162,0.966543,0.904134,0.835942,0.803456
L10,0.166771,0.804178,0.843441,0.866767,0.892591,0.912857,0.913867,0.927350,0.933388,0.947151,0.980156,0.946441,0.876409,0.830599
L11,0.089107,0.791594,0.828548,0.851843,0.869427,0.876775,0.861436,0.870026,0.859757,0.867677,0.932922,0.985794,0.928941,0.812500
L12,0.027630,0.728244,0.769352,0.795091,0.816671,0.825469,0.802288,0.810228,0.794235,0.801626,0.866816,0.930551,0.978206,0.803772
L12+LN,0.057632,0.675066,0.711463,0.737770,0.768181,0.791138,0.779553,0.792980,0.789482,0.813653,0.863424,0.879652,0.874779,0.927796
