,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.199474,0.207902,0.207648,0.201240,0.180288,0.186343,0.178647,0.205883,0.184488,0.162330,0.086190,0.026738,0.071103
L1,0.199474,1.000000,0.989320,0.978244,0.948700,0.913522,0.878720,0.870045,0.849011,0.816796,0.809842,0.810182,0.738267,0.639031
L2,0.207902,0.989320,1.000000,0.994755,0.973721,0.943619,0.909482,0.901949,0.882595,0.852222,0.847584,0.847599,0.781620,0.673557
L3,0.207648,0.978244,0.994755,1.000000,0.987327,0.964052,0.932633,0.925745,0.905799,0.874856,0.870398,0.869922,0.807875,0.697810
L4,0.201240,0.948700,0.973721,0.987327,1.000000,0.988724,0.963983,0.957363,0.936827,0.904379,0.896017,0.886663,0.830008,0.728497
L5,0.180288,0.913522,0.943619,0.964052,0.988724,1.000000,0.986810,0.982081,0.962397,0.930180,0.916231,0.893541,0.839031,0.753600
L6,0.186343,0.878720,0.909482,0.932633,0.963983,0.986810,1.000000,0.995083,0.976636,0.939304,0.915737,0.876752,0.815248,0.747283
L7,0.178647,0.870045,0.901949,0.925745,0.957363,0.982081,0.995083,1.000000,0.983745,0.950969,0.928368,0.885130,0.823508,0.762147
L8,0.205883,0.849011,0.882595,0.905799,0.936827,0.962397,0.976636,0.983745,1.000000,0.977561,0.944597,0.877333,0.808829,0.768663
L9,0.184488,0.816796,0.852222,0.874856,0.904379,0.930180,0.939304,0.950969,0.977561,1.000000,0.972606,0.887660,0.816086,0.795806
L10,0.162330,0.809842,0.847584,0.870398,0.896017,0.916231,0.915737,0.928368,0.944597,0.972606,1.000000,0.949588,0.880596,0.832405
L11,0.086190,0.810182,0.847599,0.869922,0.886663,0.893541,0.876752,0.885130,0.877333,0.887660,0.949588,1.000000,0.945401,0.829879
L12,0.026738,0.738267,0.781620,0.807875,0.830008,0.839031,0.815248,0.823508,0.808829,0.816086,0.880596,0.945401,1.000000,0.839754
L12+LN,0.071103,0.639031,0.673557,0.697810,0.728497,0.753600,0.747283,0.762147,0.768663,0.795806,0.832405,0.829879,0.839754,1.000000
