,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.194599,0.200698,0.203724,0.199836,0.179293,0.187589,0.180741,0.208538,0.185854,0.167211,0.089020,0.025972,0.070404
L1,0.194599,1.000000,0.987996,0.976098,0.949002,0.913266,0.885741,0.876183,0.851673,0.812853,0.811714,0.808269,0.739467,0.638092
L2,0.200698,0.987996,1.000000,0.994738,0.975363,0.944724,0.917475,0.909415,0.886546,0.850717,0.852411,0.848599,0.786476,0.675641
L3,0.203724,0.976098,0.994738,1.000000,0.988445,0.965199,0.939999,0.933078,0.910275,0.875135,0.876610,0.871170,0.813832,0.702822
L4,0.199836,0.949002,0.975363,0.988445,1.000000,0.988256,0.968139,0.961685,0.938277,0.901708,0.898379,0.883736,0.831565,0.732347
L5,0.179293,0.913266,0.944724,0.965199,0.988256,1.000000,0.989346,0.984456,0.962538,0.926132,0.916556,0.888369,0.837968,0.755582
L6,0.187589,0.885741,0.917475,0.939999,0.968139,0.989346,1.000000,0.995406,0.974574,0.934427,0.917755,0.876021,0.817686,0.752970
L7,0.180741,0.876183,0.909415,0.933078,0.961685,0.984456,0.995406,1.000000,0.981137,0.945591,0.928946,0.881268,0.823238,0.765803
L8,0.208538,0.851673,0.886546,0.910275,0.938277,0.962538,0.974574,0.981137,1.000000,0.977608,0.944790,0.866551,0.803154,0.764022
L9,0.185854,0.812853,0.850717,0.875135,0.901708,0.926132,0.934427,0.945591,0.977608,1.000000,0.970460,0.873639,0.802879,0.789286
L10,0.167211,0.811714,0.852411,0.876610,0.898379,0.916556,0.917755,0.928946,0.944790,0.970460,1.000000,0.944672,0.872140,0.833000
L11,0.089020,0.808269,0.848599,0.871170,0.883736,0.888369,0.876021,0.881268,0.866551,0.873639,0.944672,1.000000,0.937125,0.825579
L12,0.025972,0.739467,0.786476,0.813832,0.831565,0.837968,0.817686,0.823238,0.803154,0.802879,0.872140,0.937125,1.000000,0.825770
L12+LN,0.070404,0.638092,0.675641,0.702822,0.732347,0.755582,0.752970,0.765803,0.764022,0.789286,0.833000,0.825579,0.825770,1.000000
