model,dataset,display_name,geometry_variant,split,estimator,n_rows,feature_dim,null_floor_mean,null_floor_std,is_headline_estimator,is_headline_variant,axis,path,n_layers,labels,mean_offdiagonal_cka,mean_offdiagonal_above_null_floor,is_main_depth_axis
tirex,LOOP_SEATTLE_5T,Loop Seattle,pos0,test,biased,262,512,0.661129511665416,0.0006940544160263476,False,True,with_head_input,tirex/LOOP_SEATTLE_5T/cka/cka_biased_pos0_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,test,unbiased,524,512,-0.0038770456645745616,0.001982255530296756,True,False,block_depth,tirex/LOOP_SEATTLE_5T/cka/cka_unbiased_all_positions_from_L1_test.npy,12,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.8574878295406496,0.8613648752052242,True
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,test,unbiased,524,512,-0.0038770456645745616,0.001982255530296756,True,False,with_head_input,tirex/LOOP_SEATTLE_5T/cka/cka_unbiased_all_positions_from_L1_test__with_head_input.npy,13,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,test,biased,524,512,0.4922150123212836,0.0006212922639564006,False,False,block_depth,tirex/LOOP_SEATTLE_5T/cka/cka_biased_all_positions_from_L1_test.npy,12,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.8588471103639685,0.36663209804268493,True
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,test,biased,524,512,0.4922150123212836,0.0006212922639564006,False,False,with_head_input,tirex/LOOP_SEATTLE_5T/cka/cka_biased_all_positions_from_L1_test__with_head_input.npy,13,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,LOOP_SEATTLE_5T,Loop Seattle,pos0,train,unbiased,1394,512,0.0009208223113989269,0.0005456137502421613,True,True,block_depth,tirex/LOOP_SEATTLE_5T/cka/cka_unbiased_pos0_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.8590428613234778,0.858122039012079,True
tirex,LOOP_SEATTLE_5T,Loop Seattle,pos0,train,unbiased,1394,512,0.0009208223113989269,0.0005456137502421613,True,True,with_head_input,tirex/LOOP_SEATTLE_5T/cka/cka_unbiased_pos0_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,LOOP_SEATTLE_5T,Loop Seattle,pos0,train,biased,1394,512,0.2692442783018815,0.0006315292890945907,False,True,block_depth,tirex/LOOP_SEATTLE_5T/cka/cka_biased_pos0_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.8593335541122636,0.5900892758103822,True
tirex,LOOP_SEATTLE_5T,Loop Seattle,pos0,train,biased,1394,512,0.2692442783018815,0.0006315292890945907,False,True,with_head_input,tirex/LOOP_SEATTLE_5T/cka/cka_biased_pos0_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,train,unbiased,2788,512,0.0006391908949593246,0.0004081319647584255,True,False,block_depth,tirex/LOOP_SEATTLE_5T/cka/cka_unbiased_all_positions_from_L1_train.npy,12,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.7953241645802744,0.7946849736853151,True
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,train,unbiased,2788,512,0.0006391908949593246,0.0004081319647584255,True,False,with_head_input,tirex/LOOP_SEATTLE_5T/cka/cka_unbiased_all_positions_from_L1_train__with_head_input.npy,13,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,train,biased,2788,512,0.15569405319525098,0.0003439107225723347,False,False,block_depth,tirex/LOOP_SEATTLE_5T/cka/cka_biased_all_positions_from_L1_train.npy,12,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.7956820983289147,0.6399880451336637,True
tirex,LOOP_SEATTLE_5T,Loop Seattle,all_positions_from_L1,train,biased,2788,512,0.15569405319525098,0.0003439107225723347,False,False,with_head_input,tirex/LOOP_SEATTLE_5T/cka/cka_biased_all_positions_from_L1_train__with_head_input.npy,13,L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+RMS,,,False
