dataset,display_name,domain_status,layer,layer_name,probe_q9_loss,native_head_q9_loss,probe_relative_to_L20,native_head_relative_to_L20,alignment_gap,native_head_mase,native_head_median_pinball
uber_tlc_hourly,Uber TLC,PT-ID,9,L9,0.276063,50.301216,1.049385,211.810027,50.025153,125.300319,38.240365
uber_tlc_hourly,Uber TLC,PT-ID,10,L10,0.276129,111.111039,1.049636,467.870042,110.834910,123.166433,37.205925
uber_tlc_hourly,Uber TLC,PT-ID,11,L11,0.277132,69.294203,1.053447,291.786324,69.017071,183.938888,56.565414
uber_tlc_hourly,Uber TLC,PT-ID,12,L12,0.276286,53.142921,1.050233,223.775972,52.866635,173.256477,54.378351
uber_tlc_hourly,Uber TLC,PT-ID,13,L13,0.266335,48.399764,1.012406,203.803331,48.133430,144.447829,46.374980
uber_tlc_hourly,Uber TLC,PT-ID,14,L14,0.265242,33.036077,1.008253,139.109408,32.770835,104.966155,31.327163
uber_tlc_hourly,Uber TLC,PT-ID,15,L15,0.263762,94.394154,1.002627,397.478031,94.130392,107.592716,33.710646
uber_tlc_hourly,Uber TLC,PT-ID,16,L16,0.263664,30.875599,1.002254,130.011996,30.611935,88.305779,25.909371
uber_tlc_hourly,Uber TLC,PT-ID,17,L17,0.262315,20.381930,0.997125,85.824904,20.119615,76.268231,22.401838
uber_tlc_hourly,Uber TLC,PT-ID,18,L18,0.260750,14.724551,0.991177,62.002625,14.463800,55.191761,15.831100
uber_tlc_hourly,Uber TLC,PT-ID,19,L19,0.262778,1.748926,0.998885,7.364434,1.486148,5.706820,1.870305
uber_tlc_hourly,Uber TLC,PT-ID,20,L20,0.263071,0.237483,1.000000,1.000000,-0.025589,0.817011,0.297519
m4_hourly,M4,PT-ID,0,Emb,0.173669,9.968013,1.320351,113.810564,9.794344,228.998720,9.827350
m4_hourly,M4,PT-ID,1,L1,0.154171,10.192016,1.172112,116.368131,10.037845,229.826657,9.781800
m4_hourly,M4,PT-ID,2,L2,0.151370,10.374049,1.150814,118.446504,10.222679,282.987184,11.779904
m4_hourly,M4,PT-ID,3,L3,0.146169,18.338572,1.111273,209.382068,18.192404,293.287940,13.203690
