,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.979569,0.949599,0.916721,0.879868,0.845568,0.822879,0.799928,0.730164,0.688257,0.650458,0.661512,0.534772,0.788062
L1,0.979569,1.000000,0.987907,0.966391,0.935793,0.905868,0.882577,0.862363,0.794892,0.753093,0.722164,0.729076,0.589452,0.820940
L2,0.949599,0.987907,1.000000,0.990728,0.967441,0.942280,0.921189,0.902678,0.837713,0.795938,0.767795,0.769455,0.627096,0.839499
L3,0.916721,0.966391,0.990728,1.000000,0.988860,0.970920,0.953598,0.938787,0.879446,0.838471,0.812844,0.810204,0.666434,0.857969
L4,0.879868,0.935793,0.967441,0.988860,1.000000,0.990420,0.979219,0.967385,0.916612,0.878225,0.856019,0.846857,0.693531,0.866781
L5,0.845568,0.905868,0.942280,0.970920,0.990420,1.000000,0.994173,0.987225,0.944871,0.908355,0.883341,0.869414,0.708097,0.874522
L6,0.822879,0.882577,0.921189,0.953598,0.979219,0.994173,1.000000,0.994324,0.956876,0.921744,0.897519,0.880381,0.716264,0.874205
L7,0.799928,0.862363,0.902678,0.938787,0.967385,0.987225,0.994324,1.000000,0.970334,0.939585,0.913607,0.892797,0.723165,0.873136
L8,0.730164,0.794892,0.837713,0.879446,0.916612,0.944871,0.956876,0.970334,1.000000,0.981075,0.955884,0.920880,0.708476,0.850931
L9,0.688257,0.753093,0.795938,0.838471,0.878225,0.908355,0.921744,0.939585,0.981075,1.000000,0.976336,0.933389,0.712578,0.842563
L10,0.650458,0.722164,0.767795,0.812844,0.856019,0.883341,0.897519,0.913607,0.955884,0.976336,1.000000,0.968518,0.737112,0.849017
L11,0.661512,0.729076,0.769455,0.810204,0.846857,0.869414,0.880381,0.892797,0.920880,0.933389,0.968518,1.000000,0.756303,0.893588
L12,0.534772,0.589452,0.627096,0.666434,0.693531,0.708097,0.716264,0.723165,0.708476,0.712578,0.737112,0.756303,1.000000,0.773683
L12+LN,0.788062,0.820940,0.839499,0.857969,0.866781,0.874522,0.874205,0.873136,0.850931,0.842563,0.849017,0.893588,0.773683,1.000000
