,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.938014,0.893796,0.856970,0.830940,0.835206,0.831266,0.795791,0.771822,0.732633,0.752688,0.755579,0.897150,0.681642
L1,0.938014,1.000000,0.989264,0.974562,0.959268,0.961112,0.956391,0.929881,0.898590,0.868433,0.878280,0.865804,0.895792,0.803293
L2,0.893796,0.989264,1.000000,0.993811,0.982483,0.979964,0.974244,0.947007,0.907952,0.876152,0.883983,0.869450,0.893397,0.809959
L3,0.856970,0.974562,0.993811,1.000000,0.996186,0.993189,0.988617,0.964947,0.926345,0.899434,0.905350,0.889909,0.861552,0.844302
L4,0.830940,0.959268,0.982483,0.996186,1.000000,0.997152,0.993506,0.973920,0.937114,0.914230,0.916826,0.899319,0.834278,0.861942
L5,0.835206,0.961112,0.979964,0.993189,0.997152,1.000000,0.998392,0.981832,0.951883,0.930729,0.935649,0.921110,0.832984,0.879348
L6,0.831266,0.956391,0.974244,0.988617,0.993506,0.998392,1.000000,0.987362,0.959459,0.938067,0.943103,0.928013,0.824621,0.883460
L7,0.795791,0.929881,0.947007,0.964947,0.973920,0.981832,0.987362,1.000000,0.985414,0.970033,0.964554,0.939896,0.769296,0.889549
L8,0.771822,0.898590,0.907952,0.926345,0.937114,0.951883,0.959459,0.985414,1.000000,0.993394,0.987433,0.963416,0.730369,0.898706
L9,0.732633,0.868433,0.876152,0.899434,0.914230,0.930729,0.938067,0.970033,0.993394,1.000000,0.992296,0.966080,0.683933,0.910240
L10,0.752688,0.878280,0.883983,0.905350,0.916826,0.935649,0.943103,0.964554,0.987433,0.992296,1.000000,0.986451,0.720282,0.926421
L11,0.755579,0.865804,0.869450,0.889909,0.899319,0.921110,0.928013,0.939896,0.963416,0.966080,0.986451,1.000000,0.730123,0.949607
L12,0.897150,0.895792,0.893397,0.861552,0.834278,0.832984,0.824621,0.769296,0.730369,0.683933,0.720282,0.730123,1.000000,0.633587
L12+LN,0.681642,0.803293,0.809959,0.844302,0.861942,0.879348,0.883460,0.889549,0.898706,0.910240,0.926421,0.949607,0.633587,1.000000
