dataset,short,kind,layer,cka_to_final
monash_electricity_hourly,Electricity,PT-ID,Emb,0.8500008139430546
monash_electricity_hourly,Electricity,PT-ID,L1,0.8820546280176561
monash_electricity_hourly,Electricity,PT-ID,L2,0.8864486730741472
monash_electricity_hourly,Electricity,PT-ID,L3,0.8902929263836915
monash_electricity_hourly,Electricity,PT-ID,L4,0.8892022028713182
monash_electricity_hourly,Electricity,PT-ID,L5,0.8833624782789623
monash_electricity_hourly,Electricity,PT-ID,L6,0.8810330336450468
monash_electricity_hourly,Electricity,PT-ID,L7,0.8722509054946936
monash_electricity_hourly,Electricity,PT-ID,L8,0.8165539400376741
monash_electricity_hourly,Electricity,PT-ID,L9,0.7917227671219985
monash_electricity_hourly,Electricity,PT-ID,L10,0.7913925106449675
monash_electricity_hourly,Electricity,PT-ID,L11,0.8552918585849798
monash_electricity_hourly,Electricity,PT-ID,L12,0.6031927296260264
monash_electricity_hourly,Electricity,PT-ID,L12+LN,1.0
uber_tlc_hourly,Uber,PT-ID,Emb,0.6816420340163046
uber_tlc_hourly,Uber,PT-ID,L1,0.8032928061948156
uber_tlc_hourly,Uber,PT-ID,L2,0.8099590747100872
uber_tlc_hourly,Uber,PT-ID,L3,0.8443017182094992
uber_tlc_hourly,Uber,PT-ID,L4,0.8619420369128614
uber_tlc_hourly,Uber,PT-ID,L5,0.8793480697549163
uber_tlc_hourly,Uber,PT-ID,L6,0.8834595493723044
uber_tlc_hourly,Uber,PT-ID,L7,0.8895486340942337
uber_tlc_hourly,Uber,PT-ID,L8,0.89870616805351
uber_tlc_hourly,Uber,PT-ID,L9,0.9102396889095454
uber_tlc_hourly,Uber,PT-ID,L10,0.9264205629393284
uber_tlc_hourly,Uber,PT-ID,L11,0.9496068705219142
uber_tlc_hourly,Uber,PT-ID,L12,0.6335874984278071
uber_tlc_hourly,Uber,PT-ID,L12+LN,1.0000000000000002
m4_hourly,M4,PT-ID,Emb,0.707521333183817
m4_hourly,M4,PT-ID,L1,0.7666569778620959
m4_hourly,M4,PT-ID,L2,0.7993126893654662
m4_hourly,M4,PT-ID,L3,0.818146770350409
m4_hourly,M4,PT-ID,L4,0.8520749621622856
m4_hourly,M4,PT-ID,L5,0.8608140430537852
m4_hourly,M4,PT-ID,L6,0.8500068104135245
m4_hourly,M4,PT-ID,L7,0.8416592501847479
m4_hourly,M4,PT-ID,L8,0.8327271812269867
m4_hourly,M4,PT-ID,L9,0.8382598649364139
m4_hourly,M4,PT-ID,L10,0.8397091839057186
m4_hourly,M4,PT-ID,L11,0.8652455306103769
m4_hourly,M4,PT-ID,L12,0.8277672761887497
m4_hourly,M4,PT-ID,L12+LN,1.0
wind_farms_hourly,WindFarms,PT-ID,Emb,0.7361393605542722
wind_farms_hourly,WindFarms,PT-ID,L1,0.7891397915763747
wind_farms_hourly,WindFarms,PT-ID,L2,0.7754292564218608
wind_farms_hourly,WindFarms,PT-ID,L3,0.7859232086300116
wind_farms_hourly,WindFarms,PT-ID,L4,0.7979816712157615
wind_farms_hourly,WindFarms,PT-ID,L5,0.8121767627375428
wind_farms_hourly,WindFarms,PT-ID,L6,0.8258311912742569
wind_farms_hourly,WindFarms,PT-ID,L7,0.8281265217595811
wind_farms_hourly,WindFarms,PT-ID,L8,0.8347766242489605
wind_farms_hourly,WindFarms,PT-ID,L9,0.8215255413782535
wind_farms_hourly,WindFarms,PT-ID,L10,0.8317008623733402
wind_farms_hourly,WindFarms,PT-ID,L11,0.8510272040955857
wind_farms_hourly,WindFarms,PT-ID,L12,0.6528421635636642
wind_farms_hourly,WindFarms,PT-ID,L12+LN,0.9999999999999998
sg_carpark,SG-Carpark,PT-OOD,Emb,0.7880620846233805
sg_carpark,SG-Carpark,PT-OOD,L1,0.8209397770657921
sg_carpark,SG-Carpark,PT-OOD,L2,0.8394991150211493
sg_carpark,SG-Carpark,PT-OOD,L3,0.8579691099214001
sg_carpark,SG-Carpark,PT-OOD,L4,0.8667807818964723
sg_carpark,SG-Carpark,PT-OOD,L5,0.8745217970175375
sg_carpark,SG-Carpark,PT-OOD,L6,0.8742054297644912
sg_carpark,SG-Carpark,PT-OOD,L7,0.8731357384807337
sg_carpark,SG-Carpark,PT-OOD,L8,0.8509309427109312
sg_carpark,SG-Carpark,PT-OOD,L9,0.84256283601483
sg_carpark,SG-Carpark,PT-OOD,L10,0.8490169568212682
sg_carpark,SG-Carpark,PT-OOD,L11,0.8935875090541174
sg_carpark,SG-Carpark,PT-OOD,L12,0.773682690013257
sg_carpark,SG-Carpark,PT-OOD,L12+LN,1.0
coastal_ts,Coastal-TS,PT-OOD,Emb,0.34870240797662644
coastal_ts,Coastal-TS,PT-OOD,L1,0.40634511488852393
coastal_ts,Coastal-TS,PT-OOD,L2,0.4682366303544772
coastal_ts,Coastal-TS,PT-OOD,L3,0.5102811175389471
coastal_ts,Coastal-TS,PT-OOD,L4,0.5503852958318608
coastal_ts,Coastal-TS,PT-OOD,L5,0.6084657662156383
coastal_ts,Coastal-TS,PT-OOD,L6,0.6297767787284199
coastal_ts,Coastal-TS,PT-OOD,L7,0.644813912606503
coastal_ts,Coastal-TS,PT-OOD,L8,0.656686119550962
coastal_ts,Coastal-TS,PT-OOD,L9,0.660321337673421
coastal_ts,Coastal-TS,PT-OOD,L10,0.71510015669081
coastal_ts,Coastal-TS,PT-OOD,L11,0.8623624284422718
coastal_ts,Coastal-TS,PT-OOD,L12,0.8181452089498694
coastal_ts,Coastal-TS,PT-OOD,L12+LN,1.0
boom_hourly,BOOM,PT-OOD,Emb,0.7321974868587188
boom_hourly,BOOM,PT-OOD,L1,0.7925738423924242
boom_hourly,BOOM,PT-OOD,L2,0.7944550262549005
boom_hourly,BOOM,PT-OOD,L3,0.8039616922441231
boom_hourly,BOOM,PT-OOD,L4,0.8117840437580742
boom_hourly,BOOM,PT-OOD,L5,0.8144209295913908
boom_hourly,BOOM,PT-OOD,L6,0.8166357804443208
boom_hourly,BOOM,PT-OOD,L7,0.8142890171583318
boom_hourly,BOOM,PT-OOD,L8,0.8141136873542335
boom_hourly,BOOM,PT-OOD,L9,0.8103985224231797
boom_hourly,BOOM,PT-OOD,L10,0.8063407649579653
boom_hourly,BOOM,PT-OOD,L11,0.8315336230725301
boom_hourly,BOOM,PT-OOD,L12,0.7809530982286106
boom_hourly,BOOM,PT-OOD,L12+LN,0.9999999999999998
