,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.960960,0.885641,0.801674,0.688571,0.611926,0.567966,0.526942,0.461422,0.430396,0.404877,0.398914,0.353829,0.707521
L1,0.960960,1.000000,0.973857,0.921347,0.824250,0.750248,0.706156,0.664062,0.598563,0.565259,0.537044,0.513525,0.446563,0.766657
L2,0.885641,0.973857,1.000000,0.982233,0.918102,0.854842,0.815913,0.776331,0.716448,0.682508,0.652559,0.616098,0.521946,0.799313
L3,0.801674,0.921347,0.982233,1.000000,0.968569,0.918113,0.884301,0.849384,0.798161,0.768400,0.738732,0.696110,0.580623,0.818147
L4,0.688571,0.824250,0.918102,0.968569,1.000000,0.984490,0.965924,0.942165,0.908330,0.886548,0.862516,0.823473,0.684442,0.852075
L5,0.611926,0.750248,0.854842,0.918113,0.984490,1.000000,0.994398,0.981121,0.958070,0.940231,0.921319,0.888150,0.741574,0.860814
L6,0.567966,0.706156,0.815913,0.884301,0.965924,0.994398,1.000000,0.993981,0.976795,0.960336,0.943406,0.909962,0.750732,0.850007
L7,0.526942,0.664062,0.776331,0.849384,0.942165,0.981121,0.993981,1.000000,0.988350,0.973733,0.958882,0.925906,0.758630,0.841659
L8,0.461422,0.598563,0.716448,0.798161,0.908330,0.958070,0.976795,0.988350,1.000000,0.993783,0.983006,0.953103,0.781395,0.832727
L9,0.430396,0.565259,0.682508,0.768400,0.886548,0.940231,0.960336,0.973733,0.993783,1.000000,0.992293,0.968157,0.801046,0.838260
L10,0.404877,0.537044,0.652559,0.738732,0.862516,0.921319,0.943406,0.958882,0.983006,0.992293,1.000000,0.984585,0.817463,0.839709
L11,0.398914,0.513525,0.616098,0.696110,0.823473,0.888150,0.909962,0.925906,0.953103,0.968157,0.984585,1.000000,0.851556,0.865246
L12,0.353829,0.446563,0.521946,0.580623,0.684442,0.741574,0.750732,0.758630,0.781395,0.801046,0.817463,0.851556,1.000000,0.827767
L12+LN,0.707521,0.766657,0.799313,0.818147,0.852075,0.860814,0.850007,0.841659,0.832727,0.838260,0.839709,0.865246,0.827767,1.000000
