,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.931503,0.870526,0.850605,0.837517,0.829622,0.820562,0.812181,0.782591,0.749689,0.705210,0.663581,0.796102,0.732197
L1,0.931503,1.000000,0.975534,0.963606,0.952957,0.944614,0.935904,0.927829,0.897919,0.868632,0.833514,0.802656,0.825466,0.792574
L2,0.870526,0.975534,1.000000,0.996807,0.989214,0.983097,0.975918,0.970131,0.940204,0.908061,0.880278,0.854780,0.858137,0.794455
L3,0.850605,0.963606,0.996807,1.000000,0.996114,0.990974,0.985131,0.979490,0.951753,0.920971,0.894169,0.870027,0.856455,0.803962
L4,0.837517,0.952957,0.989214,0.996114,1.000000,0.997290,0.993221,0.988993,0.965289,0.937421,0.911187,0.884996,0.853528,0.811784
L5,0.829622,0.944614,0.983097,0.990974,0.997290,1.000000,0.998054,0.994964,0.974974,0.948345,0.921648,0.893711,0.853126,0.814421
L6,0.820562,0.935904,0.975918,0.985131,0.993221,0.998054,1.000000,0.997866,0.981801,0.956166,0.929492,0.901443,0.849601,0.816636
L7,0.812181,0.927829,0.970131,0.979490,0.988993,0.994964,0.997866,1.000000,0.986785,0.963014,0.937419,0.909093,0.852343,0.814289
L8,0.782591,0.897919,0.940204,0.951753,0.965289,0.974974,0.981801,0.986785,1.000000,0.986295,0.961919,0.929318,0.827583,0.814114
L9,0.749689,0.868632,0.908061,0.920971,0.937421,0.948345,0.956166,0.963014,0.986295,1.000000,0.982871,0.943987,0.801245,0.810399
L10,0.705210,0.833514,0.880278,0.894169,0.911187,0.921648,0.929492,0.937419,0.961919,0.982871,1.000000,0.968104,0.786244,0.806341
L11,0.663581,0.802656,0.854780,0.870027,0.884996,0.893711,0.901443,0.909093,0.929318,0.943987,0.968104,1.000000,0.780355,0.831534
L12,0.796102,0.825466,0.858137,0.856455,0.853528,0.853126,0.849601,0.852343,0.827583,0.801245,0.786244,0.780355,1.000000,0.780953
L12+LN,0.732197,0.792574,0.794455,0.803962,0.811784,0.814421,0.816636,0.814289,0.814114,0.810399,0.806341,0.831534,0.780953,1.000000
