model,dataset,display_name,definition,tolerance,is_headline_tolerance,tunnel_layer,tunnel_index,tunnel_depth_axis_index,normalized_tunnel,n_depth_points,reference_layer,val_ratio_at_tunnel,test_ratio_at_tunnel,suffix_excursion_at_tunnel,first_crossing_layer,first_crossing_depth_axis_index,sustained_minus_first_crossing,headline_val_ratio_at_tunnel,headline_test_ratio_at_tunnel
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0411096256599108,0.9388088220388406
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0411096256599108,0.9388088220388406
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L9,9,9,0.75,13,L12,1.0411096256599108,0.9388088220388406,0.04110962565991083,L9,9,0,1.0411096256599108,0.9388088220388406
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L8,8,8,0.6666666666666666,13,L12,1.071978195905266,0.9124407710875702,0.0719781959052661,L8,8,0,1.0411096256599108,0.9388088220388406
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L17,17,17,0.85,21,L20,1.0047335251342047,0.9416043929284814,0.004733525134204664,L17,17,0,1.0433925993380375,0.9168520784544668
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L17,17,17,0.85,21,L20,1.0047335251342047,0.9416043929284814,0.004733525134204664,L17,17,0,1.0433925993380375,0.9168520784544668
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L14,14,14,0.7,21,L20,1.0433925993380375,0.9168520784544668,0.04339259933803752,L4,4,10,1.0433925993380375,0.9168520784544668
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L1,1,1,0.05,21,L20,1.0681275805997368,1.103729394138381,0.07012637308430114,L1,1,0,1.0433925993380375,0.9168520784544668
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,0.9888762919848146,0.9654499518154507,0.0,L11,11,0,1.0482721432491984,0.9890106995590373
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L10,10,10,0.8333333333333334,13,L12,1.01942266795688,0.9586114447746564,0.01942266795688008,L10,10,0,1.0482721432491984,0.9890106995590373
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L9,9,9,0.75,13,L12,1.0482721432491984,0.9890106995590373,0.048272143249198374,L9,9,0,1.0482721432491984,0.9890106995590373
tirex,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L6,6,6,0.5,13,L12,1.0939957148456627,1.0343463278553362,0.09399571484566271,L6,6,0,1.0482721432491984,0.9890106995590373
