source,target,tier,distance,gain,gain_version
m4_hourly,m4_hourly,near,0.0,7.8756,extended_v2
m4_hourly,monash_electricity_hourly,near,1.4097678083971257,-6.1337,extended_v2
m4_hourly,uber_tlc_hourly,near,2.9995974268063588,-5.3344,extended_v2
m4_hourly,wind_farms_hourly,near,2.332351559325204,-7.0017,extended_v2
monash_electricity_hourly,m4_hourly,near,1.4097678083971257,24.449,extended_v2
monash_electricity_hourly,monash_electricity_hourly,near,0.0,5.2848,extended_v2
monash_electricity_hourly,uber_tlc_hourly,near,2.7737894769977967,8.83,extended_v2
monash_electricity_hourly,wind_farms_hourly,near,1.834869462752481,0.5694,extended_v2
uber_tlc_hourly,m4_hourly,near,2.9995974268063588,14.3833,extended_v2
uber_tlc_hourly,monash_electricity_hourly,near,2.7737894769977967,2.5555,extended_v2
uber_tlc_hourly,uber_tlc_hourly,near,0.0,7.3632,extended_v2
uber_tlc_hourly,wind_farms_hourly,near,2.6147954165523988,10.2237,extended_v2
wind_farms_hourly,m4_hourly,near,2.332351559325204,18.2951,extended_v2
wind_farms_hourly,monash_electricity_hourly,near,1.834869462752481,16.3875,extended_v2
wind_farms_hourly,uber_tlc_hourly,near,2.6147954165523988,7.2112,extended_v2
wind_farms_hourly,wind_farms_hourly,near,0.0,4.2187,extended_v2
monash_electricity_hourly,sg_carpark,far,1.1934606318657401,4.8669,extended_v2
monash_electricity_hourly,coastal_ts,far,3.9080525690540657,3.734,extended_v2
monash_electricity_hourly,boom_hourly,far,2.3775200098952034,-25.9114,extended_v2
uber_tlc_hourly,sg_carpark,far,3.1561179674141977,5.0662,extended_v2
uber_tlc_hourly,coastal_ts,far,5.637716215490485,12.8226,extended_v2
uber_tlc_hourly,boom_hourly,far,2.61208723695178,-3.4095,extended_v2
m4_hourly,sg_carpark,far,0.5124594557879032,0.1122,extended_v2
m4_hourly,coastal_ts,far,4.436581612409084,-41.3378,extended_v2
m4_hourly,boom_hourly,far,3.4068725324339617,-23.7511,extended_v2
wind_farms_hourly,sg_carpark,far,1.9364085278936338,7.0407,extended_v2
wind_farms_hourly,coastal_ts,far,2.563193217046468,4.8173,extended_v2
wind_farms_hourly,boom_hourly,far,0.8573026479803847,-9.18,extended_v2
