model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
timesfm3,monash_electricity_hourly,hard,0,Emb,0.0,False,12.617883851509967,10.822524135349362,65.5860966499382,19574.09377176934,7.558423087888889,69.22452140829225,64.38600129774632,74.15700266776288,107.08695273704534,85.3274373890376,130.46923299731014,74.73116194276231,False,False,,,,,,,0
timesfm3,monash_electricity_hourly,hard,15,L15,0.75,True,77.05915998502542,85.79010143716826,205.5313671154754,58733.0360753816,58.792109062332926,216.93333266806337,202.71094702529956,231.89962816037212,832.9604907348117,641.6553034107855,1046.4321544576785,592.3935935283611,False,False,,,,,,,0
timesfm3,monash_electricity_hourly,hard,17,L17,0.85,False,19.599996730571483,17.694670262227532,110.08208701999206,29992.728038307352,10.98269400792127,116.18895129951464,108.85587958482616,123.78016944360088,155.60166723614677,128.87151637390454,183.52649471947046,122.18436774570608,False,False,,,,,,,0
timesfm3,monash_electricity_hourly,hard,20,L20,1.0,False,0.08699049139955216,0.14481942812074153,0.9474402323868113,212.58167607109644,0.07058211009560413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
timesfm3,monash_electricity_hourly,noa,0,Emb,0.0,False,0.2418366346991699,0.20165501185159646,1.237113965213399,272.6697097736449,0.09587000649445432,1.3057435423623878,1.2534439053902007,1.3688971360005968,1.3582762879233492,1.2567083240615387,1.5033276644710578,1.3924582804143442,False,False,0.9955185681621326,True,False,,,1e-08,1639680
timesfm3,monash_electricity_hourly,noa,15,L15,0.75,True,0.28455590288943916,0.2343475009023233,1.3661520255113255,327.3736724223773,0.13590040725241972,1.441940059975801,1.3938157201657144,1.4967696025565964,1.9254228453689095,1.6375255237231687,2.2373721802480038,1.6182048496071866,False,False,0.9979533495152638,True,False,,,1e-09,1639680
timesfm3,monash_electricity_hourly,noa,17,L17,0.85,False,0.2197503401179805,0.20955183766497912,1.2707422399178765,300.3884023465294,0.1150665862135676,1.3412373640884934,1.299279037461094,1.3819169087852474,1.6302514342190797,1.5079454694359213,1.806470913786492,1.4469870540454537,False,False,0.9970375859816519,True,False,,,1e-09,1639680
timesfm3,monash_electricity_hourly,noa,20,L20,1.0,False,0.08699049139955216,0.14481942812074153,0.9474402323868113,212.58167607109644,0.07058211009560413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,,,,,0
timesfm3,monash_electricity_hourly,ra,0,Emb,0.0,False,0.26748998736152213,0.23824201808630965,1.2947785256066264,285.61340143601893,0.11329221096541486,1.366607075936382,1.304902413588552,1.4321186560225512,1.6051122701199994,1.4490084718817289,1.8042875651292458,1.6450970783262457,False,False,0.9946264617417774,True,False,,,1e-05,1639680
timesfm3,monash_electricity_hourly,ra,15,L15,0.75,True,0.7420306252386734,0.6327798272134694,2.6973872904060032,738.4396020134976,0.42599636880867064,2.847026332849185,2.693855877788959,3.020493561233623,6.0354722780553685,4.698455532451667,7.533419317387363,4.369440174048308,False,False,0.9914463121092636,True,False,,,1e-05,1639680
