source_dataset,target_dataset,id_or_ood,best_layer,best_layer_q9_loss,last_layer_q9_loss,delta_vs_last,relative_gain_pct,relative_ci_lo,relative_ci_hi,relative_ci_excludes_zero,split_mode
m4_hourly,m4_hourly,ID,2,2.456179,2.613055,0.156876,6.0036,2.7511,9.2219,True,unknown
m4_hourly,monash_electricity_hourly,OOD,3,3.9416,4.178311,0.236711,5.6652,2.6352,8.6039,True,unknown
m4_hourly,uber_tlc_hourly,OOD,5,6.785612,7.710818,0.925206,11.9988,9.0391,14.8891,True,unknown
m4_hourly,wind_farms_hourly,OOD,3,8.480096,9.258976,0.778881,8.4122,4.5333,12.0839,True,unknown
monash_electricity_hourly,m4_hourly,OOD,1,2.794052,3.798232,1.00418,26.4381,22.289,30.3837,True,unknown
monash_electricity_hourly,monash_electricity_hourly,ID,2,3.056855,3.085876,0.029021,0.9404,-2.4995,4.1312,False,unknown
monash_electricity_hourly,uber_tlc_hourly,OOD,1,6.261124,6.841434,0.580309,8.4823,6.313,10.6352,True,unknown
monash_electricity_hourly,wind_farms_hourly,OOD,0,5.783727,7.091376,1.307649,18.44,13.0523,23.9173,True,unknown
uber_tlc_hourly,m4_hourly,OOD,0,5.550634,6.107077,0.556443,9.1114,5.3391,13.5064,True,unknown
uber_tlc_hourly,monash_electricity_hourly,OOD,1,5.083596,6.15155,1.067955,17.3607,14.6845,19.8826,True,unknown
uber_tlc_hourly,uber_tlc_hourly,ID,10,4.389427,4.595854,0.206427,4.4916,3.3349,5.6706,True,unknown
uber_tlc_hourly,wind_farms_hourly,OOD,0,5.620557,7.275504,1.654947,22.7468,20.0511,25.2424,True,unknown
wind_farms_hourly,m4_hourly,OOD,1,3.961497,5.616066,1.654569,29.4614,24.8276,34.8298,True,unknown
wind_farms_hourly,monash_electricity_hourly,OOD,3,3.997426,5.851446,1.85402,31.6848,29.3517,33.7712,True,unknown
wind_farms_hourly,uber_tlc_hourly,OOD,1,5.05901,5.592891,0.533881,9.5457,7.7164,11.2748,True,unknown
wind_farms_hourly,wind_farms_hourly,ID,4,3.525882,3.913325,0.387443,9.9006,7.1911,12.4967,True,unknown
