source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
monash_electricity_hourly,wind_farms_hourly,best_layer,0,seasonal_naive,mase,7.067191,4.542732,-2.524459,-2.911882,-2.158165,False,-0.555714,262,262,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,best_layer,0,last_value,mase,7.067191,5.233047,-1.834144,-2.226993,-1.471773,False,-0.350493,262,262,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,final_layer,12,native_chronos2,mase,12.584674,4.35428,-8.230394,-10.396846,-6.278203,False,-1.890185,262,262,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,final_layer,12,seasonal_naive,mase,12.584674,4.542732,-8.041941,-10.199809,-6.109092,False,-1.770287,262,262,0,9,512,64
monash_electricity_hourly,wind_farms_hourly,final_layer,12,last_value,mase,12.584674,5.233047,-7.351627,-9.571337,-5.385663,False,-1.404846,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,source_val_selected,4,native_chronos2,mase,3.540963,0.836189,-2.704774,-3.05961,-2.428549,False,-3.234644,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,source_val_selected,4,seasonal_naive,mase,3.540963,1.265484,-2.27548,-2.645572,-1.985652,False,-1.79811,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,source_val_selected,4,last_value,mase,3.540963,2.996198,-0.544765,-0.838973,-0.311743,False,-0.181819,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,best_layer,1,native_chronos2,mase,3.277001,0.836189,-2.440812,-2.784023,-2.158896,False,-2.918971,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,best_layer,1,seasonal_naive,mase,3.277001,1.265484,-2.011517,-2.370911,-1.718822,False,-1.589524,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,best_layer,1,last_value,mase,3.277001,2.996198,-0.280803,-0.578106,-0.023024,False,-0.09372,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,3.422981,0.836189,-2.586792,-2.785913,-2.398542,False,-3.093548,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,3.422981,1.265484,-2.157497,-2.378148,-1.943665,False,-1.704879,262,262,0,9,512,64
uber_tlc_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,3.422981,2.996198,-0.426783,-0.599753,-0.271127,False,-0.142441,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,source_val_selected,4,native_chronos2,mase,1.289078,0.806006,-0.483072,-0.606487,-0.386243,False,-0.59934,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,source_val_selected,4,seasonal_naive,mase,1.289078,1.25337,-0.035709,-0.16523,0.067958,False,-0.02849,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,source_val_selected,4,last_value,mase,1.289078,1.7105,0.421422,0.243074,0.597477,True,0.246373,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,best_layer,10,native_chronos2,mase,1.260425,0.806006,-0.454419,-0.548053,-0.377143,False,-0.563791,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,best_layer,10,seasonal_naive,mase,1.260425,1.25337,-0.007055,-0.107479,0.078331,False,-0.005629,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,best_layer,10,last_value,mase,1.260425,1.7105,0.450075,0.287624,0.614637,True,0.263125,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,final_layer,12,native_chronos2,mase,1.418651,0.806006,-0.612645,-0.789612,-0.472353,False,-0.7601,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,final_layer,12,seasonal_naive,mase,1.418651,1.25337,-0.165282,-0.3455,-0.01793,False,-0.13187,262,262,0,9,512,64
uber_tlc_hourly,uber_tlc_hourly,final_layer,12,last_value,mase,1.418651,1.7105,0.291849,0.064944,0.500875,True,0.170622,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,source_val_selected,4,native_chronos2,mase,19.30541,0.928949,-18.376462,-22.729809,-14.690081,False,-19.781997,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,source_val_selected,4,seasonal_naive,mase,19.30541,1.560496,-17.744915,-22.12723,-14.043807,False,-11.371332,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,source_val_selected,4,last_value,mase,19.30541,13.667144,-5.638267,-9.052912,-3.29405,False,-0.412542,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,best_layer,0,native_chronos2,mase,12.780263,0.928949,-11.851314,-14.807547,-9.337644,False,-12.757769,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,best_layer,0,seasonal_naive,mase,12.780263,1.560496,-11.219767,-14.188901,-8.695102,False,-7.189874,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,best_layer,0,last_value,mase,12.780263,13.667144,0.886881,-1.514879,2.3905,False,0.064891,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,final_layer,12,native_chronos2,mase,3368.819409,0.928949,-3367.890461,-10075.801818,-12.90089,False,-3625.485659,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,final_layer,12,seasonal_naive,mase,3368.819409,1.560496,-3367.258914,-10075.195446,-12.250763,False,-2157.813718,262,262,0,9,512,64
uber_tlc_hourly,m4_hourly,final_layer,12,last_value,mase,3368.819409,13.667144,-3355.152266,-10061.927994,-1.434219,False,-245.490373,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,source_val_selected,4,native_chronos2,mase,9.462767,4.35428,-5.108488,-6.138751,-4.215073,False,-1.173211,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,source_val_selected,4,seasonal_naive,mase,9.462767,4.542732,-4.920035,-5.980211,-4.022036,False,-1.083056,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,source_val_selected,4,last_value,mase,9.462767,5.233047,-4.22972,-5.293636,-3.317299,False,-0.808271,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,best_layer,0,native_chronos2,mase,7.357195,4.35428,-3.002916,-3.580933,-2.484307,False,-0.689647,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,best_layer,0,seasonal_naive,mase,7.357195,4.542732,-2.814463,-3.409597,-2.280691,False,-0.619553,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,best_layer,0,last_value,mase,7.357195,5.233047,-2.124148,-2.773261,-1.533498,False,-0.40591,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,final_layer,12,native_chronos2,mase,11.559117,4.35428,-7.204837,-9.372686,-5.450058,False,-1.654656,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,final_layer,12,seasonal_naive,mase,11.559117,4.542732,-7.016385,-9.161751,-5.249143,False,-1.54453,262,262,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,final_layer,12,last_value,mase,11.559117,5.233047,-6.32607,-8.527862,-4.516504,False,-1.208869,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,source_val_selected,2,native_chronos2,mase,2.850571,0.836189,-2.014382,-3.048185,-1.389542,False,-2.409002,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,source_val_selected,2,seasonal_naive,mase,2.850571,1.265484,-1.585087,-2.61044,-0.950568,False,-1.252554,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,source_val_selected,2,last_value,mase,2.850571,2.996198,0.145628,-0.914817,0.813785,False,0.048604,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,best_layer,3,native_chronos2,mase,2.166552,0.836189,-1.330363,-1.655428,-1.112837,False,-1.590983,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,best_layer,3,seasonal_naive,mase,2.166552,1.265484,-0.901068,-1.236586,-0.672398,False,-0.712035,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,best_layer,3,last_value,mase,2.166552,2.996198,0.829646,0.452032,1.109939,True,0.2769,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,2.016061,0.836189,-1.179872,-1.32696,-1.059492,False,-1.411011,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,2.016061,1.265484,-0.750577,-0.907168,-0.612838,False,-0.593115,262,262,0,9,512,64
m4_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,2.016061,2.996198,0.980137,0.771701,1.156587,True,0.327127,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,source_val_selected,2,native_chronos2,mase,55.028114,0.806006,-54.222108,-94.392099,-21.953661,False,-67.272571,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,source_val_selected,2,seasonal_naive,mase,55.028114,1.25337,-53.774745,-93.928372,-21.491267,False,-42.904141,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,source_val_selected,2,last_value,mase,55.028114,1.7105,-53.317614,-93.476523,-21.052829,False,-31.170773,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,best_layer,5,native_chronos2,mase,6.926566,0.806006,-6.12056,-10.889581,-2.42374,False,-7.593688,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,best_layer,5,seasonal_naive,mase,6.926566,1.25337,-5.673196,-10.439075,-1.966776,False,-4.526356,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,best_layer,5,last_value,mase,6.926566,1.7105,-5.216066,-10.036647,-1.484035,False,-3.049439,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,final_layer,12,native_chronos2,mase,11.109928,0.806006,-10.303922,-18.52311,-3.867056,False,-12.783924,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,final_layer,12,seasonal_naive,mase,11.109928,1.25337,-9.856558,-18.087132,-3.400568,False,-7.864048,262,262,0,9,512,64
m4_hourly,uber_tlc_hourly,final_layer,12,last_value,mase,11.109928,1.7105,-9.399428,-17.712107,-2.929145,False,-5.495134,262,262,0,9,512,64
m4_hourly,m4_hourly,source_val_selected,2,native_chronos2,mase,2.974278,0.928949,-2.045329,-2.358213,-1.754559,False,-2.201767,262,262,0,9,512,64
m4_hourly,m4_hourly,source_val_selected,2,seasonal_naive,mase,2.974278,1.560496,-1.413782,-1.76827,-1.088724,False,-0.905983,262,262,0,9,512,64
m4_hourly,m4_hourly,source_val_selected,2,last_value,mase,2.974278,13.667144,10.692866,8.559872,13.039303,True,0.782378,262,262,0,9,512,64
m4_hourly,m4_hourly,best_layer,2,native_chronos2,mase,2.974278,0.928949,-2.045329,-2.358213,-1.754559,False,-2.201767,262,262,0,9,512,64
m4_hourly,m4_hourly,best_layer,2,seasonal_naive,mase,2.974278,1.560496,-1.413782,-1.76827,-1.088724,False,-0.905983,262,262,0,9,512,64
m4_hourly,m4_hourly,best_layer,2,last_value,mase,2.974278,13.667144,10.692866,8.559872,13.039303,True,0.782378,262,262,0,9,512,64
m4_hourly,m4_hourly,final_layer,12,native_chronos2,mase,3.070585,0.928949,-2.141636,-2.493013,-1.827726,False,-2.305441,262,262,0,9,512,64
m4_hourly,m4_hourly,final_layer,12,seasonal_naive,mase,3.070585,1.560496,-1.51009,-1.902993,-1.163993,False,-0.967699,262,262,0,9,512,64
